candidate_score,world66_path,world66_title,wikivoyage_title,wv_type,wv_name,wv_lat,wv_lng,reason,best_w66_title,best_match_score,best_distance_km,source_url
1.0,africa/swaziland/lobamba,Lobamba,Lobamba,see,Mlilwane Wildlife Sanctuary,-26.48,31.1942,has coordinates; has description; high-value type,Somhlolo National Stadium,0.385,3.727,https://en.wikivoyage.org/wiki/Lobamba
1.0,africa/tunisia/kairouan,Kairouan,Kairouan,see,Sidi Amor Abada Museum,35.676978,10.094947,has coordinates; has description; high-value type,Al Bey Mosque,0.491,0.509,https://en.wikivoyage.org/wiki/Kairouan
1.0,africa/tunisia/tunis,Tunis,Tunis,see,Bab Saadoun,36.80861,10.15899,has coordinates; has description; high-value type,Place Bab Souika,0.519,0.883,https://en.wikivoyage.org/wiki/Tunis
1.0,africa/tunisia/tunis,Tunis,Tunis,see,Chambre des Conseillers,36.8114,10.12961,has coordinates; has description; high-value type,Bardo Museum,0.508,0.492,https://en.wikivoyage.org/wiki/Tunis
1.0,africa/zimbabwe/victoriafalls,Victoria Falls,Victoria Falls,see,Boiling Pot,-17.9280678,25.8595928,has coordinates; has description; high-value type,Tour of the Falls,0.505,0.495,https://en.wikivoyage.org/wiki/Victoria_Falls
1.0,africa/zimbabwe/victoriafalls,Victoria Falls,Victoria Falls,see,Victoria Falls National Park,-17.9248,25.8471,has coordinates; has description; high-value type,Tour of the Falls,0.439,1.027,https://en.wikivoyage.org/wiki/Victoria_Falls
1.0,asia/bangladesh/chittagong,Chittagong,Chittagong,see,Anandabazar Sea Beach,22.3168723,91.7618962,has coordinates; has description; high-value type,Patenga Beach,0.529,9.143,https://en.wikivoyage.org/wiki/Chittagong
1.0,asia/bangladesh/chittagong,Chittagong,Chittagong,see,BNS Issa Khan,22.2837093,91.7916222,has coordinates; has description; high-value type,Sadarghat,0.364,6.454,https://en.wikivoyage.org/wiki/Chittagong
1.0,asia/cambodia/battambang,Battambang,Battambang,see,Battambang Circus,13.11192,103.18557,has coordinates; has description; high-value type,Bamboo Railway (Norry),0.387,10.899,https://en.wikivoyage.org/wiki/Battambang
1.0,asia/cambodia/battambang,Battambang,Battambang,see,Battambang Provincial Museum,13.095263,103.198316,has coordinates; has description; high-value type,Phare Ponleu Selpak (Phare Circus),0.34,18.725,https://en.wikivoyage.org/wiki/Battambang
1.0,asia/china/anhui/huaibei,Huaibei,Huaibei,see,Former site of Zhaoji Second-Level Pumping Station,33.96,116.79,has coordinates; has description; high-value type,Xiangshan Park and Temple,0.267,2.641,https://en.wikivoyage.org/wiki/Huaibei
1.0,asia/china/anhui/huaibei,Huaibei,Huaibei,see,Former site of the General Front Committee of the Huaihai Campaign and the Headquarters of the East China Field Army,33.92,116.77,has coordinates; has description; high-value type,Xiangshan Park and Temple,0.256,7.263,https://en.wikivoyage.org/wiki/Huaibei
1.0,asia/china/fujianprovince/ningde,Ningde,Ningde,see,Xianshan Pasture,26.8921,118.6967,has coordinates; has description; high-value type,Baiyunshan,0.462,89.582,https://en.wikivoyage.org/wiki/Ningde
1.0,asia/china/fujianprovince/tulou,Fujian Tulou,Fujian Tulou,see,Tianhou Palace,24.66156,116.9755,has coordinates; has description; high-value type,Tianluokeng Tulou Cluster,0.462,11.551,https://en.wikivoyage.org/wiki/Fujian_Tulou
