world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/romania/curtea_de_arges,Curtea de Arges,Curtea de Argeș,4,17,see,Brad-Batușari Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.134212,24.675325,Royal Tombs at Curtea de Argeș Monastery,europe/romania/curtea_de_arges/kings_and_queens,0.429,1.027,0.686,needs_external_source,,https://en.wikivoyage.org/wiki/Curtea_de_Arge%C8%99
europe/romania/deva,Deva,Deva,8,33,see,Printing Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,45.860989,22.920833,Corvin Castle (Hunedoara),europe/romania/deva/corvin_castle,0.429,12.654,2.772,needs_external_source,,https://en.wikivoyage.org/wiki/Deva
europe/france/paris,Paris,Paris,82,90,see,Cité des sciences et de l’industrie - La Villette,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.895556,2.388056,Church of Saint-Gervais-et-Saint-Protais,europe/france/paris/saint_gervais,0.421,5.075,5.064,needs_external_source,,https://en.wikivoyage.org/wiki/Paris
asia/china/guangdong/shantou,Shantou,Shantou,15,23,see,Qingyun Rock,0.89,candidate,has coordinates; has description; high-value type; strong travel term,23.280453,116.741059,Qing'ao Bay,asia/china/guangdong/shantou/qingao_bay,0.522,42.047,10.158,needs_external_source,,https://en.wikivoyage.org/wiki/Shantou
asia/china/jiangsu_province/suzhou,Suzhou,Suzhou,17,93,see,The Retreat and Reflection Garden,0.89,candidate,has coordinates; has description; high-value type; strong travel term,31.159912,120.716174,Couple's Retreat Garden,asia/china/jiangsu_province/suzhou/couples_garden,0.538,19.374,19.091,needs_external_source,,https://en.wikivoyage.org/wiki/Suzhou
asia/china/guangdong/shantou,Shantou,Shantou,15,23,see,The former residence of Chen Cihong,0.89,candidate,has coordinates; has description; high-value type; strong travel term,23.5690104018,116.7406886008,Former Shantou Customs House,asia/china/guangdong/shantou/former_customs_house,0.508,23.639,24.63,needs_external_source,,https://en.wikivoyage.org/wiki/Shantou
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Roman Catholic church of parish of St. Joseph,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.03777,37.76602,Central Scherbakov Park,europe/ukraine/donetsk/scherbakov_park,0.358,5.857,3.665,needs_external_source,,https://en.wikivoyage.org/wiki/Donetsk
asia/china/guangxi/yangshuo,Yangshuo,Yangshuo,8,70,see,Yangdi-Xingping scenic area,0.89,candidate,has coordinates; has description; high-value type; strong travel term,25.000559,110.455306,Cormorant Fishing Demonstrations,asia/china/guangxi/yangshuo/cormorant_fishing,0.407,24.525,24.773,needs_external_source,,https://en.wikivoyage.org/wiki/Yangshuo
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,do,I.Franko Culture Palace,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.96261,37.73336,Donetsk Culture and Leisure Park,europe/ukraine/donetsk/culture_and_leisure_park,0.436,7.037,7.867,needs_external_source,,https://en.wikivoyage.org/wiki/Donetsk
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,see,Jewish cemetery entrance building,0.89,candidate,has coordinates; has description; high-value type; strong travel term,46.91867,19.68333,Zwack Pálinka Distillery and Visitor Centre,europe/hungary/kecskemet/zwack_palinka,0.342,4.374,1.411,needs_external_source,,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t
