world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/arkansas/springdale,Springdale,Springdale (Arkansas),9,6,do,Northwest Arkansas Naturals,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Arkansas and Missouri Railroad,northamerica/unitedstates/arkansas/springdale/arkansas_missouri_railroad,0.491,,,missing_coordinates; has_external_url,http://nwanaturals.com,https://en.wikivoyage.org/wiki/Springdale_%28Arkansas%29
africa/burundi/bujumbura,Bujumbura,Bujumbura,7,41,do,Association Burundaise pour la protection de la Nature (ABN),0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Rusizi National Park,africa/burundi/bujumbura/rusizi_national_park,0.369,,,missing_coordinates; has_external_url,https://www.abn.bi/index.php/fr/,https://en.wikivoyage.org/wiki/Bujumbura
southamerica/brazil/brasilia,Brasilia,Brasilia,41,78,do,Chapada Imperial,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,JK Memorial,southamerica/brazil/brasilia/jk_memorial,0.519,,,missing_coordinates; has_external_url,http://www.chapadaimperial.com.br/,https://en.wikivoyage.org/wiki/Brasilia
northamerica/unitedstates/connecticut/new_london,New London,New London (Connecticut),6,18,see,Custom House Maritime Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,New London Customs House,northamerica/unitedstates/connecticut/new_london/new_london_customhouse,0.462,,,missing_coordinates; has_external_url,http://www.nlmaritimesociety.org/,https://en.wikivoyage.org/wiki/New_London_%28Connecticut%29
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Lomprayah,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Chaiya and the Srivijaya Temples,asia/thailand/surat_thani/chaiya_srivijaya_temples,0.216,,,missing_coordinates; has_external_url,https://www.lomprayah.com/,https://en.wikivoyage.org/wiki/Surat_Thani
northamerica/canada/britishcolumbia/hope,Hope,Hope (British Columbia),8,22,see,Mountain Man Mike's Bus Service,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Hope Chainsaw Carvings,northamerica/canada/britishcolumbia/hope/hope-chainsaw-carvings,0.34,,,missing_coordinates; has_external_url,https://mountainmanmikes.ca/,https://en.wikivoyage.org/wiki/Hope_%28British_Columbia%29
australiaandpacific/australia/northernterritory/alicesprings,Alice Springs,Alice Springs,14,29,do,Totem Theatre,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Todd Mall,australiaandpacific/australia/northernterritory/alicesprings/todd_mall,0.364,,,missing_coordinates; has_external_url,http://totemtheatre.blogspot.com/2007/09/about-totem.html,https://en.wikivoyage.org/wiki/Alice_Springs
northamerica/canada/novascotia/lunenburg,Lunenburg,Lunenburg,4,9,see,Maritime Bus,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Fisheries Museum of the Atlantic,northamerica/canada/novascotia/lunenburg/fisheries_museum_of_the_atlantic,0.3,,,missing_coordinates; has_external_url,https://www.maritimebus.com/,https://en.wikivoyage.org/wiki/Lunenburg
europe/switzerland/solothurn,Solothurn,Solothurn,4,75,do,Soledurner Wiehnachtsmäret,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Solothurn Cathedral,europe/switzerland/solothurn/solothurn_cathedral,0.444,,,missing_coordinates; has_external_url,https://www.solothurn-city.ch/en/events/main-events/christmas-market.5840.html,https://en.wikivoyage.org/wiki/Solothurn
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,see,Street Level Photoworks,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Tennent's Wellpark Brewery,europe/unitedkingdom/scotland/glasgow/tennents,0.408,,,missing_coordinates; has_external_url,https://www.streetlevelphotoworks.org/,https://en.wikivoyage.org/wiki/Glasgow
