world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/texas/texarkana,Texarkana,Texarkana,3,14,do,Perot Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.421526,-94.044789,United States Post Office and Courthouse,northamerica/unitedstates/texas/texarkana/post_office_and_courthouse,0.572,0.428,4.103,has_external_url,https://www.perottheatre.org/,https://en.wikivoyage.org/wiki/Texarkana
europe/france/east/lorraine/nancy,Nancy,Nancy,15,78,see,Jardin Botanique du Montet,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.659444,6.153611,Jardin Botanique Dominique Alexandre Godron,europe/france/east/lorraine/nancy/jardin_godron,0.606,4.712,4.395,has_external_url,http://www.jardinbotaniquedenancy.eu/en/j-m-pelt-garden/,https://en.wikivoyage.org/wiki/Nancy
northamerica/nicaragua/len,León,León (Nicaragua),12,79,do,Parque Aquático Telica,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,12.52048,-86.86453,Parque Central,northamerica/nicaragua/len/parque_central,0.556,9.623,9.661,has_external_url,https://www.facebook.com/p/Parque-Acu%C3%A1tico-Telica-Oficial-100067779584243/,https://en.wikivoyage.org/wiki/Le%C3%B3n_%28Nicaragua%29
northamerica/unitedstates/california/goldcountry/sacramento,Sacramento,Sacramento,60,75,do,Certified Farmers' Market,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.60307,-121.4296,Downtown Sacramento Farmers Market,northamerica/unitedstates/california/goldcountry/sacramento/farm_to_fork,0.552,6.099,6.1,has_external_url,http://www.california-grown.com/,https://en.wikivoyage.org/wiki/Sacramento
europe/czechrepublic/ostrava,Ostrava,Ostrava,14,28,see,Mining Museum in Landek Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.866419,18.261464,Landek Park Mining Museum,europe/czechrepublic/ostrava/landek_park,0.564,0.436,5.062,has_external_url,https://www.dolnivitkovice.cz/en/landek-park/,https://en.wikivoyage.org/wiki/Ostrava
europe/greece/thessaloniki,Thessaloniki,Thessaloniki,37,92,see,Thessaloniki Archaeological Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.625,22.9539,Thessaloniki Train Cemetery,europe/greece/thessaloniki/thessaloniki_train_cemetery,0.623,4.443,1.861,has_external_url,http://amth.gr,https://en.wikivoyage.org/wiki/Thessaloniki
europe/germany/rhinelandpalatinate/speyer,Speyer,Speyer,8,16,see,Sea Life Speyer,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.318854,8.447428,Dom St. Maria and St. Stephen,europe/germany/rhinelandpalatinate/speyer/dom_st_maria_and,0.597,0.403,1.033,has_external_url,https://www.visitsealife.com/speyer/en/,https://en.wikivoyage.org/wiki/Speyer
europe/hungary/sopron,Sopron,Sopron,9,234,see,General and Lackner House,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68652,16.59086,Domonkos Wine Bar,europe/hungary/sopron/domonkos_wine_bar,0.56,0.44,0.89,has_external_url,http://turizmus.sopron.hu/hu/info/latnivalok/muemlekek/tabornok-haz.html,https://en.wikivoyage.org/wiki/Sopron
europe/netherlands/utrecht,Utrecht,Utrecht,14,77,do,Stadsschouwburg,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.09306,5.12722,De Rechtbank,europe/netherlands/utrecht/de_rechtbank,0.662,0.338,0.467,has_external_url,http://www.stadsschouwburg-utrecht.nl/,https://en.wikivoyage.org/wiki/Utrecht
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bath,Bath,Bath,20,96,see,American Museum and Gardens,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.3768,-2.311,Parade Gardens,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bath/parade_gardens,0.585,3.209,3.418,has_external_url,http://www.americanmuseum.org/,https://en.wikivoyage.org/wiki/Bath
europe/germany/northrhinewestphalia/dortmund,Dortmund,Dortmund,16,98,see,Brewery Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.5294,7.4608,Steinwache Memorial Museum,europe/germany/northrhinewestphalia/dortmund/steinwache,0.55,1.09,1.715,has_external_url,http://www.brauereierlebnis-dortmund.de,https://en.wikivoyage.org/wiki/Dortmund
europe/russia/ural/south_ural/chelyabinsk,Chelyabinsk,Chelyabinsk,8,13,do,Chelyabinskiy Zoopark,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.1683,61.3683,Chelyabinsk Tractor Plant,europe/russia/ural/south_ural/chelyabinsk/chelyabinsk_tractor_plant,0.565,6.818,2.37,has_external_url,http://chelzoo.ru/,https://en.wikivoyage.org/wiki/Chelyabinsk
