world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/szentendre,Szentendre,Szentendre,13,49,see,Gallery of Art Colony,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.67378,19.07813,Preobraženska Church,europe/hungary/szentendre/preobrazenska_church,0.55,0.45,0.687,has_external_url,http://www.alkotomuveszet.hu,https://en.wikivoyage.org/wiki/Szentendre
asia/china/shandong_province/jinan,Jinan,Jinan,65,109,see,Jinan Battle Memorial Hall,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.6394,116.9959,Li Qingzhao Memorial Hall,asia/china/shandong_province/jinan/li_qingzhao_memorial,0.667,1.909,1.672,has_external_url,http://www.jnzhanyi.org/,https://en.wikivoyage.org/wiki/Jinan
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,do,Prairie Theatre Exchange,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.89275,-97.14739,Burton Cummings Theatre,northamerica/canada/manitoba/winnipeg/burton_cummings_theatre,0.566,0.434,0.711,has_external_url,http://www.pte.mb.ca,https://en.wikivoyage.org/wiki/Winnipeg
northamerica/canada/alberta/grande_prairie,Grande Prairie,Grande Prairie,6,21,see,Art Gallery of Grande Prairie,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.173162,-118.789601,Grande Prairie Museum,northamerica/canada/alberta/grande_prairie/grande_prairie_museum,0.56,1.595,0.413,has_external_url,https://aggp.ca/,https://en.wikivoyage.org/wiki/Grande_Prairie
asia/china/qinghai/xining,Xining,Xining,48,26,see,Qinghai Science and Technology Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.646904,101.71173,Qinghai Provincial Museum,asia/china/qinghai/xining/qinghai_provincial_museum,0.645,4.199,5.133,has_external_url,https://www.qhskjg.org.cn/,https://en.wikivoyage.org/wiki/Xining
australiaandpacific/australia/newsouthwales/newcastle,Newcastle,Newcastle (New South Wales),16,75,see,The Maritime Centre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-32.924762,151.771055,Newcastle Museum,australiaandpacific/australia/newsouthwales/newcastle/newcastle_museum,0.599,0.401,1.039,has_external_url,https://mgnsw.org.au/organisations/newcastle-maritime-centre/,https://en.wikivoyage.org/wiki/Newcastle_%28New_South_Wales%29
asia/china/guangdong/zhongshan,Zhongshan,Zhongshan,13,37,see,Zhongshan Cartoon Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.53203,113.36735,Zhongshan Park (Yantai Garden),asia/china/guangdong/zhongshan/zhongshan_park,0.632,1.704,3.063,has_external_url,http://www.zsmuseum.cn/category/zsmhg,https://en.wikivoyage.org/wiki/Zhongshan
asia/china/jiangsu_province/nanjing,Nanjing,Nanjing,51,72,see,Nanjing Geological Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.046713,118.802083,Nanjing Museum,asia/china/jiangsu_province/nanjing/nanjing_museum,0.718,4.822,2.212,has_external_url,http://www.njgeologicalmuseum.com/,https://en.wikivoyage.org/wiki/Nanjing
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,see,Santana Row,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.3203,-121.948,Winchester Mystery House,northamerica/unitedstates/california/san_jose/winchester_mystery_house,0.654,0.346,5.374,has_external_url,http://www.santanarow.com,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
europe/germany/schleswigholstein/flensburg,Flensburg,Flensburg,13,43,see,Schifffahrtsmuseum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.7931,9.43312,Schifffahrtsmuseum und Rum-Museum,europe/germany/schleswigholstein/flensburg/schifffahrtsmuseum,0.706,0.857,1.09,has_external_url,https://www.schifffahrtsmuseum-flensburg.de,https://en.wikivoyage.org/wiki/Flensburg
northamerica/unitedstates/wyoming/cody,Cody,Cody,13,14,do,Buffalo Bill State Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.50296,-109.26492,Buffalo Bill Dam,northamerica/unitedstates/wyoming/cody/buffalo_bill_dam,0.718,5.359,16.737,has_external_url,http://wyoparks.state.wy.us/index.php/places-to-go/buffalo-bill,https://en.wikivoyage.org/wiki/Cody
