world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/arizona/flagstaff,Flagstaff,Flagstaff,12,67,see,Sunset Crater Volcano National Monument,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.365676,-111.503706,Walnut Canyon National Monument,northamerica/unitedstates/arizona/flagstaff/walnut_canyon,0.714,21.959,22.919,has_external_url,http://www.nps.gov/sucr/,https://en.wikivoyage.org/wiki/Flagstaff
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,Plumbuita Monastery,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.47223,26.13521,Stavropoleos Monastery,europe/romania/bucharest/stavropoleos_monastery,0.585,5.344,4.775,has_external_url,http://www.manastirea-plumbuita.ro/,https://en.wikivoyage.org/wiki/Bucharest
europe/romania/pitesti,Pitești,Pitești,8,36,see,The Saint George Princely Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.8556969,24.8757773,Armenian Church,europe/romania/pitesti/armenian_church,0.679,0.321,0.339,has_external_url,http://www.bisericadomneascapitesti.ro,https://en.wikivoyage.org/wiki/Pite%C8%99ti
europe/spain/basque_country_euskadi/bilbao,Bilbao,Bilbao,10,75,see,Itsasmuseum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.2663,-2.94656,Museo de Bellas Artes,europe/spain/basque_country_euskadi/bilbao/museo_de_bellas_artes,0.635,0.365,1.005,has_external_url,https://itsasmuseum.eus/en/,https://en.wikivoyage.org/wiki/Bilbao
europe/russia/irkutsk,Irkutsk,Irkutsk,10,66,see,Jerusalem church (also Church of the Entry into Jerusalem),0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.27873,104.2951,Church of Our Lady of Kazan,europe/russia/irkutsk/kazan_church,0.57,0.43,1.554,has_external_url,http://irkipedia.ru/content/vhodo_ierusalimskiy_hram,https://en.wikivoyage.org/wiki/Irkutsk
europe/italy/emiliaromagna/modena,Modena,Modena,12,47,see,Enzo Ferrari Home Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.652056,10.936599,Museo Enzo Ferrari,europe/italy/emiliaromagna/modena/museo_enzo_ferrari,0.571,1.408,1.057,has_external_url,http://www.museocasaenzoferrari.it,https://en.wikivoyage.org/wiki/Modena
australiaandpacific/australia/southaustralia/handorf,Hahndorf,Hahndorf,5,8,do,Hahndorf Farm Barn,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-35.04483,138.83362,Hahndorf Academy,australiaandpacific/australia/southaustralia/handorf/hahndorf_academy,0.647,2.945,2.842,has_external_url,https://www.farmbarn.com.au/,https://en.wikivoyage.org/wiki/Hahndorf
northamerica/canada/britishcolumbia/vancouver/coquitlam,Coquitlam,Coquitlam,9,30,see,ƛ̓éxətəm (tla-hut-um) Regional Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.234994,-122.812906,Minnekhada Regional Park,northamerica/canada/britishcolumbia/vancouver/coquitlam/minnekhada_regional_park,0.698,11.314,5.648,has_external_url,https://metrovancouver.org/services/regional-parks/park/%C6%9B%CC%93%C3%A9x%C9%99t%C9%99m-(tla-hut-um)-regional-park,https://en.wikivoyage.org/wiki/Coquitlam
asia/philippines/baguio,Baguio,Baguio,14,55,see,Baguio Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,16.4071,120.5984,BenCab Museum,asia/philippines/baguio/bencab_museum,0.692,6.175,0.592,has_external_url,https://baguio-museum-inc.business.site/,https://en.wikivoyage.org/wiki/Baguio
asia/china/jiangxi/pingxiang,Pingxiang,Pingxiang (Jiangxi),7,9,do,Pingxiang Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.6436,113.8544,Pingxiang Cultural Park,asia/china/jiangxi/pingxiang/pingxiang_city_park,0.615,1.61,1.573,has_external_url,http://www.pxmuseum.com/,https://en.wikivoyage.org/wiki/Pingxiang_%28Jiangxi%29
northamerica/unitedstates/arizona/mesa,Mesa,Mesa,7,53,see,Mesa Arizona Temple,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.412807,-111.819676,Mesa Arts Center,northamerica/unitedstates/arizona/mesa/mesa_arts_center,0.571,1.05,1.129,has_external_url,https://mesatemple.org/,https://en.wikivoyage.org/wiki/Mesa
australiaandpacific/australia/newsouthwales/goulburn,Goulburn,Goulburn,7,28,see,Goulburn Rail Heritage Centre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-34.773142,149.711463,Goulburn Railway Station,australiaandpacific/australia/newsouthwales/goulburn/goulburn_railway_station,0.642,1.793,2.43,has_external_url,http://www.roundhouse.org.au,https://en.wikivoyage.org/wiki/Goulburn
africa/kenya/centralhighlands/nyeri,Nyeri,Nyeri,6,11,see,Wajee Nature Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-0.57488,37.082989,Aberdare National Park,africa/kenya/centralhighlands/nyeri/aberdare_park,0.615,41.662,22.89,has_external_url,http://wajeenaturepark.co.ke,https://en.wikivoyage.org/wiki/Nyeri
europe/germany/badenwrttemberg/ulm,Ulm,Ulm,12,35,see,Danube Swabian Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.3952,9.9849,Schwoerhaus,europe/germany/badenwrttemberg/ulm/schwoerhaus,0.583,0.417,0.586,has_external_url,http://www.dzm-museum.de,https://en.wikivoyage.org/wiki/Ulm
northamerica/unitedstates/virginia/virginiabeach,Virginia Beach,Virginia Beach,7,35,see,Virginia Beach Convention Center,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.846252,-75.987272,The Virginia Beach Craft Beer Scene,northamerica/unitedstates/virginia/virginiabeach/birdneck_point_brewing,0.698,,1.066,has_external_url,http://www.vbmeetings.com,https://en.wikivoyage.org/wiki/Virginia_Beach
northamerica/canada/alberta/lake_louise,Lake Louise,Lake Louise,11,22,see,Lake Louise,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.415537,-116.22237,Mt. Louis,northamerica/canada/alberta/mtlouis,0.632,19.25,3.281,has_external_url,https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10/louise,https://en.wikivoyage.org/wiki/Lake_Louise
