world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/scotland/ayr,Ayr,Ayr (Scotland),8,36,see,Rozelle House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.4366,-4.6274,Burns Cottage,europe/unitedkingdom/scotland/ayr/burns_cottage,0.419,0.581,2.382,has_external_url,https://www.south-ayrshire.gov.uk/article/24234/Rozelle-House-museum-and-galleries,https://en.wikivoyage.org/wiki/Ayr_%28Scotland%29
northamerica/unitedstates/washington/mtrainiernp,Mt. Rainier National Park,Mount Rainier National Park,0,61,do,Grove of the Patriarchs,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.764,-121.55509,,,0.0,,15.273,has_external_url,https://www.nps.gov/places/grove-of-the-patriarchs-trailhead.htm,https://en.wikivoyage.org/wiki/Mount_Rainier_National_Park
europe/italy/liguria/genoa,Genoa,Genoa,52,61,see,Gallery of Modern Art,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.38199,9.04613,Galata Museo del Mare,europe/italy/liguria/genoa/galata_museo_del_mare,0.474,10.632,9.352,has_external_url,http://www.museidigenova.it/en/museum/gallery-modern-art-gam,https://en.wikivoyage.org/wiki/Genoa
northamerica/mexico/tulum,Tulum,Tulum,27,59,see,Sfer Ik,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.179704,-87.445744,Taquería Honorio,northamerica/mexico/tulum/taqueria_honorio,0.381,3.93,4.078,has_external_url,https://www.sferik.art/,https://en.wikivoyage.org/wiki/Tulum
northamerica/unitedstates/washington/tacoma,“Tacoma”,Tacoma,15,79,see,Foss Waterway Seaport,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.258,-122.4371,Stadium District,northamerica/unitedstates/washington/tacoma/stadium_district,0.521,0.479,1.393,has_external_url,https://www.fosswaterwayseaport.org/,https://en.wikivoyage.org/wiki/Tacoma
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,do,Central Park Grill,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.9367,-78.84146,La Nova Pizzeria,northamerica/unitedstates/newyorkstate/buffalo/la_nova_pizzeria,0.387,,6.34,has_external_url,https://www.facebook.com/centralparkgrill/,https://en.wikivoyage.org/wiki/Buffalo
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,Sheffield Manor Lodge,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.374031,-1.436656,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.353,2.961,2.345,has_external_url,http://sheffieldmanorlodge.org/,https://en.wikivoyage.org/wiki/Sheffield
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Svyato-Iverskiy Ukrainian Orthodox Nunnery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.05976,37.74712,Restoran Ukraina,europe/ukraine/donetsk/restoran_ukraina,0.414,7.338,6.402,has_external_url,https://iver-mon.ru/,https://en.wikivoyage.org/wiki/Donetsk
northamerica/unitedstates/colorado/coloradosprings,Colorado Springs,Colorado Springs,4,54,see,ProRodeo Hall of Fame and Museum of the American Cowboy,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.912778,-104.824167,Cheyenne Mountain Zoo,northamerica/unitedstates/colorado/coloradosprings/cheyenne_mountain_zoo,0.306,15.996,8.76,has_external_url,http://www.prorodeohalloffame.com/,https://en.wikivoyage.org/wiki/Colorado_Springs
europe/slovakia/kosice,Košice,Košice,7,153,see,Botanical Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.735597713649284,21.238493469480126,St. Michael Chapel,europe/slovakia/kosice/st_michael_chapel,0.485,2.276,2.125,has_external_url,https://www.upjs.sk/pracoviska/botanicka-zahrada/aktuality/,https://en.wikivoyage.org/wiki/Ko%C5%A1ice
asia/japan/honshu/okayama,Okayama,Okayama,9,83,see,Omizuen Garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.731208,133.801083,Handayama Botanical Garden,asia/japan/honshu/okayama/handayama_botanical_garden,0.4,12.739,13.903,has_external_url,http://www.city.okayama.jp/museum/omizuen/,https://en.wikivoyage.org/wiki/Okayama
northamerica/unitedstates/arizona/phoenix,Phoenix,Phoenix,54,145,do,Enchanted Island Amusement Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.4738,-112.0887,Encanto Park,northamerica/unitedstates/arizona/phoenix/encanto_park,0.512,0.499,3.127,has_external_url,http://www.enchantedisland.com/,https://en.wikivoyage.org/wiki/Phoenix
europe/hungary/sopron,Sopron,Sopron,9,234,see,Resting Cross,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.68312,16.60658,Taródi Castle,europe/hungary/sopron/tarodi_castle,0.385,3.365,0.691,has_external_url,http://tourinform.hu/piheno-kereszt?folderID=76021,https://en.wikivoyage.org/wiki/Sopron
europe/germany/badenwrttemberg/pforzheim,Pforzheim,Pforzheim,11,20,see,Rail museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.86607,8.677697,Schmuckmuseum (Jewellery Museum),europe/germany/badenwrttemberg/pforzheim/schmuckmuseum,0.5,3.17,3.309,has_external_url,http://www.eisenbahnfreunde-pforzheim.de/,https://en.wikivoyage.org/wiki/Pforzheim
europe/lithuania/kaunas,Kaunas,Kaunas,16,90,see,Lithuanian Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.9014,23.9514,Ninth Fort,europe/lithuania/kaunas/ninth_fort,0.417,6.35,3.073,has_external_url,https://www.zoosodas.lt/,https://en.wikivoyage.org/wiki/Kaunas
asia/philippines/makati,Makati,Makati,9,59,see,Philippine Stock Exchange,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,14.55655,121.02241,Poblacion Bar Scene,asia/philippines/makati/poblacion_bar_scene,0.455,,0.144,has_external_url,https://www.pse.com.ph/,https://en.wikivoyage.org/wiki/Makati
