world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/northrhinewestphalia/aachen,Aachen,Aachen,14,74,see,Zollmuseum Friedrichs,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.84513,6.02016,Couven Museum,europe/germany/northrhinewestphalia/aachen/couven_museum,0.412,8.96,8.861,has_external_url,http://www.zollmuseum-friedrichs.de,https://en.wikivoyage.org/wiki/Aachen
asia/china/jiangsu_province/suzhou,Suzhou,Suzhou,17,93,see,Cold Mountain Temple,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,31.312408,120.564831,Shantang Street,asia/china/jiangsu_province/suzhou/shantang_street,0.457,3.435,5.319,has_external_url,http://www.hanshansi.org/,https://en.wikivoyage.org/wiki/Suzhou
asia/philippines/iloilo_city,Iloilo City,Iloilo City,6,86,do,Deca Wakeboard Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,10.755512,122.521577,Jaro Cathedral,asia/philippines/iloilo_city/jaro_cathedral,0.303,5.194,5.917,has_external_url,https://www.facebook.com/decawakeboardparkiloilo/,https://en.wikivoyage.org/wiki/Iloilo_City
europe/germany/bavaria/erlangen,Erlangen,Erlangen,6,167,see,Urwildpferde (primary wild horses),0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.5558913,11.041578,Neustädter Kirche,europe/germany/bavaria/erlangen/neustaedter_kirche,0.345,5.121,5.713,has_external_url,http://www.wildpferde-tennenlohe.de,https://en.wikivoyage.org/wiki/Erlangen
europe/germany/lowersaxony/east_frisian_islands/norderney,Norderney,Norderney,6,19,see,Island Church Norderney,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.706261,7.142599,Bade- und Kurhaus (Thalasso Spa),europe/germany/lowersaxony/east_frisian_islands/norderney/thalasso_spa,0.359,0.675,6.055,has_external_url,http://www.kirchengemeinde-norderney.de,https://en.wikivoyage.org/wiki/Norderney
europe/poland/bochnia,Bochnia,Bochnia,6,12,see,Butterfly Museum Arthropoda,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.970282,20.4238166,Stanisław Fischer Museum,europe/poland/bochnia/museum_of_stanislaw_fischer,0.548,0.452,0.492,has_external_url,http://www.muzeummotyli.com/,https://en.wikivoyage.org/wiki/Bochnia
southamerica/brazil/goiania,Goiânia,Goiânia,11,33,do,Horto-Florestal de Goiânia (Jardim Zoológico - Zoo),0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-16.6832,-49.2731,Mercado Central,southamerica/brazil/goiania/mercado_central,0.368,2.143,2.128,has_external_url,https://www.goiania.go.gov.br/,https://en.wikivoyage.org/wiki/Goi%C3%A2nia
northamerica/unitedstates/illinois/springfield,Springfield,Springfield (Illinois),10,47,see,Dana-Thomas House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.794333,-89.651389,Illinois State Capitol,northamerica/unitedstates/illinois/springfield/illinois_state_capitol,0.462,0.538,0.817,has_external_url,http://www.dana-thomas.org/,https://en.wikivoyage.org/wiki/Springfield_%28Illinois%29
europe/spain/northernspain/santiagodecompostela,Santiago de Compostela,Santiago de Compostela,0,32,see,Museum of the Galician People,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.8828,-8.5389,,,0.0,,0.702,has_external_url,https://www.museodopobo.gal/,https://en.wikivoyage.org/wiki/Santiago_de_Compostela
europe/unitedkingdom/wales/cardiff,Cardiff,Cardiff,13,100,see,Castell Coch,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.5354,-3.2536,Cardiff Castle,europe/unitedkingdom/wales/cardiff/cardiff_castle,0.385,7.744,7.889,has_external_url,http://cadw.gov.wales/daysout/castell-coch/?lang=en,https://en.wikivoyage.org/wiki/Cardiff
northamerica/unitedstates/florida/orlando,Orlando,Orlando,24,96,see,The Orlando Museum of Art,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.5727,-81.3644,Universal Orlando Resort,northamerica/unitedstates/florida/orlando/universal_orlando,0.533,14.509,3.689,has_external_url,http://www.omart.org/,https://en.wikivoyage.org/wiki/Orlando
northamerica/unitedstates/utah/provo,Provo,Provo,9,60,see,Provo Pioneer Museum & Pioneer Village,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.24144,-111.66675,Provo City Center Temple,northamerica/unitedstates/utah/provo/provo_city_center_temple,0.5,1.192,1.096,has_external_url,https://www.provo.org/departments/parks/pioneer-museum-village,https://en.wikivoyage.org/wiki/Provo
asia/china/hebei/zhangjiakou,Zhangjiakou,Zhangjiakou,4,9,see,Zhangjiakou Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.808087,114.895898,Chongli Ski Resorts,asia/china/hebei/zhangjiakou/chongli_ski_resorts,0.378,37.241,4.425,has_external_url,http://www.zjkmuseum.com/,https://en.wikivoyage.org/wiki/Zhangjiakou
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,see,Qingyin garden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.78711,9.17593,Wilhelma Zoo and Botanical Garden,europe/germany/badenwrttemberg/stuttgart/wilhelma,0.426,2.952,1.008,has_external_url,http://www.chinagarten-stuttgart.de/,https://en.wikivoyage.org/wiki/Stuttgart
europe/finland/saariselk,Saariselkä,Saariselkä,11,23,do,Rumakuru,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,68.3813,27.494,Husky Safari,europe/finland/saariselk/husky_safari,0.3,5.444,5.442,has_external_url,http://julkaisut.metsa.fi/assets/pdf/lp/Esitteet/ukk-rumakuru-eng.pdf,https://en.wikivoyage.org/wiki/Saariselk%C3%A4
europe/italy/lombardia/como,Como,Como,10,35,see,Cattedrale di Santa Maria Assunta,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.811632,9.083462,Basilica di San Fedele,europe/italy/lombardia/como/san_fedele,0.364,12.179,12.193,has_external_url,http://www.cattedraledicomo.it/en/home/,https://en.wikivoyage.org/wiki/Como
europe/norway/kristiansand,Kristiansand,Kristiansand,20,80,see,Vest-Agder Museum Kristiansand,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,58.161886,8.030478,Sørlandets Kunstmuseum,europe/norway/kristiansand/sorlandets_kunstmuseum,0.462,2.733,2.653,has_external_url,http://www.vestagdermuseet.no/kristiansand/?c_id=7,https://en.wikivoyage.org/wiki/Kristiansand
northamerica/unitedstates/california/manhattenbeach,Manhattan Beach,Manhattan Beach,4,17,do,AVP Beach Volleyball Championship,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.884,-118.412,Eating Out in Pleasant Hill,northamerica/unitedstates/california/pleasanthill,0.333,2405.551,0.128,has_external_url,http://avp.com/event/mbo-14/,https://en.wikivoyage.org/wiki/Manhattan_Beach
europe/ukraine/lviv,Lviv,Lviv,12,176,do,Regional Landscape Park Znesinnya,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.84653,24.06139,Gasova Lampa,europe/ukraine/lviv/gasova_lampa,0.311,2.111,2.195,has_external_url,http://city-adm.lviv.ua/portal/catalog/pam-jatniki-parki-ta-sadi/parki-ta-sadi/6388,https://en.wikivoyage.org/wiki/Lviv
northamerica/unitedstates/california/long_beach,Long Beach,Long Beach,13,97,see,Rancho Los Alamitos Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.776952,-118.107407,Rancho Los Cerritos Historic Site,northamerica/unitedstates/california/long_beach/rancho_los_cerritos,0.549,5.444,7.832,has_external_url,http://www.rancholosalamitos.com/,https://en.wikivoyage.org/wiki/Long_Beach
europe/belgium/kortrijk,Kortrijk,Kortrijk,9,32,see,Texture,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.830512,3.25608,Broeltorens,europe/belgium/kortrijk/broeltorens,0.444,0.977,0.768,has_external_url,http://www.texturekortrijk.be/en/,https://en.wikivoyage.org/wiki/Kortrijk
europe/germany/bavaria/augsburg,Augsburg,Augsburg,16,61,do,Augsburger Plärrer,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.37525,10.88215,Fuggerhäuser,europe/germany/bavaria/augsburg/fuggerhaeuser,0.533,1.623,1.343,has_external_url,https://www.augsburger-plaerrer.de,https://en.wikivoyage.org/wiki/Augsburg
australiaandpacific/australia/tasmania/launceston,Launceston,Launceston,9,19,see,Tasmania Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-41.42426,146.98816,Franklin House,australiaandpacific/australia/tasmania/launceston/franklin_house,0.385,12.979,12.49,has_external_url,http://www.tasmaniazoo.com.au/,https://en.wikivoyage.org/wiki/Launceston
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,do,The Q,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.1067,-79.0633,Queen Victoria Park,northamerica/canada/ontario/niagrafalls/queen_victoria_park,0.1,2.944,0.051,has_external_url,http://www.niagarafallsdowntown.com/,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
