world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/belgium/ypres,Ypres,Ypres,12,15,do,Bellewaerde theme park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.847478,2.949933,Hooge Crater Museum,europe/belgium/ypres/hooge_crater_museum,0.519,0.481,4.616,has_external_url,http://www.bellewaerde.be/en,https://en.wikivoyage.org/wiki/Ypres
asia/southkorea/suwon,Suwon,Suwon,6,131,see,Samsung Innovation Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.257716,127.055653,Mr Toilet House,asia/southkorea/suwon/mr_toilet_house,0.4,4.059,3.724,has_external_url,https://www.samsunginnovationmuseum.com,https://en.wikivoyage.org/wiki/Suwon
northamerica/unitedstates/newmexico/losalamos,Los Alamos,Los Alamos,6,51,see,Pajarito Environmental Education Center,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.8844,-106.3067,Pajarito Mountain Ski Area,northamerica/unitedstates/newmexico/losalamos/pajarito_mountain,0.523,6.203,0.77,has_external_url,http://peecnature.org/,https://en.wikivoyage.org/wiki/Los_Alamos
asia/thailand/chiangmai,Chiang mai,Chiang Mai,37,236,see,Chiang Mai Zoo & Aquarium,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,18.8088,98.9467,Wat Chiang Man,asia/thailand/chiangmai/wat_chiang_man,0.488,4.755,4.713,has_external_url,http://www.chiangmaizoo.com/en/index.php,https://en.wikivoyage.org/wiki/Chiang_Mai
europe/unitedkingdom/england/newcastle_and_north_east/durham,Durham,Durham (England),7,40,see,The Story (at Mount Oswald),0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.7604,-1.586,Oriental Museum,europe/unitedkingdom/england/newcastle_and_north_east/durham/oriental_museum,0.508,0.492,14.819,has_external_url,https://www.thestorydurham.org/,https://en.wikivoyage.org/wiki/Durham_%28England%29
europe/unitedkingdom/england/norfolk/the_norfolk_broads,The Norfolk Broads,Norfolk Broads,0,34,see,Strumpshaw Fen RSPB reserve,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.6065,1.4558,,,0.0,,6.905,has_external_url,http://www.rspb.org.uk/reserves/guide/s/strumpshawfen/index.aspx,https://en.wikivoyage.org/wiki/Norfolk_Broads
asia/china/zhejiang/jiaxing,Jiaxing,Jiaxing,5,29,see,Jiaxing Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.744536,120.76008,Jiaxing Catholic Church,asia/china/zhejiang/jiaxing/jiaxing_catholic_church,0.486,2.551,2.646,has_external_url,http://www.jiaxingmuseum.com/,https://en.wikivoyage.org/wiki/Jiaxing
europe/hungary/gyor,Győr,Győr,13,201,do,Visit the Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6939,17.6691,Rába Kávéház,europe/hungary/gyor/raba_kaveház,0.286,2.806,2.85,has_external_url,http://www.zoogyor.com/,https://en.wikivoyage.org/wiki/Gy%C5%91r
northamerica/unitedstates/kansas/topeka,Topeka,Topeka,14,36,see,Kansas Historical Society and Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.056113,-95.775862,Kansas State Capitol,northamerica/unitedstates/kansas/topeka/kansas_state_capitol,0.464,8.549,8.525,has_external_url,http://www.kshs.org/,https://en.wikivoyage.org/wiki/Topeka
northamerica/unitedstates/utah/provo,Provo,Provo,9,60,do,Covey Center for the Arts,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.23351,-111.66601,Provo City Center Temple,northamerica/unitedstates/utah/provo/provo_city_center_temple,0.533,0.606,0.62,has_external_url,https://www.provo.gov/185/Covey-Center-for-the-Arts,https://en.wikivoyage.org/wiki/Provo
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,see,Artisan Works,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.1488,-77.5569,Highland Park,northamerica/unitedstates/newyorkstate/rochester/highland_park,0.462,4.543,4.299,has_external_url,http://www.artisanworks.net,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
northamerica/canada/britishcolumbia/northvancouver,North Vancouver,North Vancouver,15,80,see,Cates Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.3023,-122.9569,Lynn Canyon Park,northamerica/canada/britishcolumbia/northvancouver/lynn_canyon,0.538,6.576,8.716,has_external_url,https://www.nvrc.ca/programs-memberships/program-directory/walk-hike-run/walking-guide/cates-park,https://en.wikivoyage.org/wiki/North_Vancouver
northamerica/unitedstates/ohio/akron,Akron,Akron,16,72,see,Goodyear Heights Presbyterian Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.0701,-81.4715,Goodyear Airdock,northamerica/unitedstates/ohio/akron/goodyear_airdock,0.462,3.768,4.194,has_external_url,https://www.facebook.com/GHPCAkron/,https://en.wikivoyage.org/wiki/Akron
northamerica/unitedstates/alaska/homer,Homer,Homer,11,35,do,Farmer's Market,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,59.6378,-151.51389,Homer Spit,northamerica/unitedstates/alaska/homer/homer_spit,0.48,4.015,1.922,has_external_url,http://www.homerfarmersmarket.org/,https://en.wikivoyage.org/wiki/Homer
northamerica/unitedstates/newmexico/santafe,Santa Fe,Santa Fe (New Mexico),34,136,see,El Rancho de las Golondrinas,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.57399,-106.11245,Palace of the Governors,northamerica/unitedstates/newmexico/santafe/palace_of_the_governors,0.486,20.252,20.168,has_external_url,http://www.golondrinas.org,https://en.wikivoyage.org/wiki/Santa_Fe_%28New_Mexico%29
northamerica/unitedstates/arizona/scottsdale,Scottsdale,Scottsdale (Arizona),18,37,do,McCormick-Stillman Railroad Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.53746,-111.922706,Old Town Tortilla Factory,northamerica/unitedstates/arizona/scottsdale/old_town_tortilla_factory,0.386,4.858,4.818,has_external_url,http://www.therailroadpark.com/,https://en.wikivoyage.org/wiki/Scottsdale_%28Arizona%29
