world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/indonesia/bali/ubud,Ubud,Ubud,21,95,do,Barong Dance,0.85,candidate,has coordinates; has description; high-value type,-8.609938,115.253312,Warung Ibu Oka,asia/indonesia/bali/ubud/warung_ibu_oka,0.462,11.567,11.462,needs_external_source,,https://en.wikivoyage.org/wiki/Ubud
asia/india/karnataka/hampi,Hampi,Hampi,10,26,see,Pushkarani step wells,0.85,candidate,has coordinates; has description; high-value type,15.314979,76.470288,Elephant Stables,asia/india/karnataka/hampi/elephantstables,0.486,0.732,2.52,needs_external_source,,https://en.wikivoyage.org/wiki/Hampi
asia/saudiarabia/taif,Ta’if,Ta'if,12,31,see,Ikrima Dam,0.85,candidate,has coordinates; has description; high-value type,21.243333,40.358056,Al Kheima,asia/saudiarabia/taif/al_kheima_restaurant,0.421,8.404,6.695,needs_external_source,,https://en.wikivoyage.org/wiki/Ta%27if
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/stonehenge,Stonehenge,Stonehenge,0,8,see,Winterbourne Stoke Barrows,0.85,candidate,has coordinates; has description; high-value type,51.17521,-1.85611,,,0.0,,2.125,needs_external_source,,https://en.wikivoyage.org/wiki/Stonehenge
asia/malaysia/johorbahru,Johor Bahru,Johor Bahru,8,205,do,Dato' Suleiman Mohd Noor Indoor Training Centre,0.85,candidate,has coordinates; has description; high-value type,1.46128,103.740916,Sultan Abu Bakar State Mosque,asia/malaysia/johorbahru/sultan_abu_bakar_state_mosque,0.347,1.228,2.689,needs_external_source,,https://en.wikivoyage.org/wiki/Johor_Bahru
europe/russia/ekaterinoburg,Yekaterinburg,Yekaterinburg,26,72,do,Arboretum,0.85,candidate,has coordinates; has description; high-value type,56.848056,60.651111,Vovremya,europe/russia/ekaterinoburg/vovremya,0.471,2.932,3.448,needs_external_source,,https://en.wikivoyage.org/wiki/Yekaterinburg
northamerica/mexico/merida,Mérida,Mérida (Mexico),23,119,see,Arco de San Juan,0.85,candidate,has coordinates; has description; high-value type,20.96225,-89.62686,Parque Santa Lucía,northamerica/mexico/merida/parque_santa_lucia,0.483,0.968,0.676,needs_external_source,,https://en.wikivoyage.org/wiki/M%C3%A9rida_%28Mexico%29
europe/italy/veneto/cortina_dampezzo,Cortina d'Ampezzo,Cortina d'Ampezzo,10,66,see,Sorapiss Lake,0.85,candidate,has coordinates; has description; high-value type,46.52055,12.22351,Sacrario Militare di Pocol,europe/italy/veneto/cortina_dampezzo/sacrario_pocol,0.41,8.189,6.881,needs_external_source,,https://en.wikivoyage.org/wiki/Cortina_d%27Ampezzo
europe/spain/canaryislands/lapalma,La Palma,La Palma,6,14,do,Ruta del los Volcanos,0.85,candidate,has coordinates; has description; high-value type,28.5708,-17.8382,Tajogaite Volcano and Lava Fields,europe/spain/canaryislands/lapalma/tajogaite_lava_fields,0.478,5.407,9.559,needs_external_source,,https://en.wikivoyage.org/wiki/La_Palma
europe/italy/puglia/lecce,Lecce,Lecce,7,27,see,Porta Rudiae,0.85,candidate,has coordinates; has description; high-value type,40.351334,18.164574,Santa Croce,europe/italy/puglia/lecce/santacroce,0.435,0.821,22.75,needs_external_source,,https://en.wikivoyage.org/wiki/Lecce
asia/japan/shikoku/matsuyama,Matsuyama,Matsuyama,12,59,see,Sairinji,0.85,candidate,has coordinates; has description; high-value type,33.793741,132.813957,Isaniwa Shrine,asia/japan/shikoku/matsuyama/isaniwa_shrine,0.545,6.723,6.783,needs_external_source,,https://en.wikivoyage.org/wiki/Matsuyama
europe/greece/thassos_island,Thassos,Thasos,14,112,see,Kinira,0.85,candidate,has coordinates; has description; high-value type,40.6666,24.7617,Kastro,europe/greece/thassos_island/kastro_village,0.333,8.957,9.527,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
northamerica/mexico/mazatlan,Mazatlan,Mazatlan,23,56,see,Panteón Municipal No.2,0.85,candidate,has coordinates; has description; high-value type,23.208949,-106.410542,Pancho's,northamerica/mexico/mazatlan/pancho_restaurant,0.4,6.171,1.21,needs_external_source,,https://en.wikivoyage.org/wiki/Mazatlan
europe/poland/lublin,Lublin,Lublin,10,68,do,Zemborzycki Lake,0.85,candidate,has coordinates; has description; high-value type,51.17877,22.52811,Majdanek Memorial and Museum,europe/poland/lublin/majdanek,0.318,6.8,8.502,needs_external_source,,https://en.wikivoyage.org/wiki/Lublin
europe/belgium/aalst,Aalst,Aalst,11,33,see,Kravaalbos,0.85,candidate,has coordinates; has description; high-value type,50.9337,4.1576,Aalst Belfry,europe/belgium/aalst/aalst_belfry,0.364,8.333,8.312,needs_external_source,,https://en.wikivoyage.org/wiki/Aalst
asia/myanmar/pyay,Pyay,Pyay,8,18,see,Pagoda,0.85,candidate,has coordinates; has description; high-value type,18.828045,95.200011,Sehtatgyi Pagoda (Big Buddha),asia/myanmar/pyay/sehtatgyi_buddha,0.545,2.548,2.162,needs_external_source,,https://en.wikivoyage.org/wiki/Pyay
southamerica/colombia/neiva,Neiva,Neiva,6,13,see,Malecon del Rio Magdalena,0.85,candidate,has coordinates; has description; high-value type,2.92722,-75.29487,Festival Folclórico del Bambuco,southamerica/colombia/neiva/festival_bambuco,0.375,11.878,11.915,needs_external_source,,https://en.wikivoyage.org/wiki/Neiva
asia/china/guangdong/chaozhou,Chaozhou,Chaozhou,10,16,see,The Lighthouse of Buddha,0.85,candidate,has coordinates; has description; high-value type,23.6769625223,116.646737783,The Xu Imperial Son-in-Law Mansion,asia/china/guangdong/chaozhou/xu_mansion,0.437,0.563,1.872,needs_external_source,,https://en.wikivoyage.org/wiki/Chaozhou
asia/myanmar/ngapali,Ngapali,Ngapali,3,16,see,Amata Mountain,0.85,candidate,has coordinates; has description; high-value type,18.376236,94.347322,Boat Trips and Island Hopping,asia/myanmar/ngapali/boat_trips,0.326,6.972,7.12,needs_external_source,,https://en.wikivoyage.org/wiki/Ngapali
asia/uzbekistan/termez,Termez,Termez,5,15,see,Architectural Complex of Al Hakim At-Termizi,0.85,candidate,has coordinates; has description; high-value type,37.265935,67.189276,Sultan Saodat Mausoleum Complex,asia/uzbekistan/termez/sultan_saodat_complex,0.267,10.635,8.657,needs_external_source,,https://en.wikivoyage.org/wiki/Termez
