world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/finland/tampere,Tampere,Tampere,61,207,see,Aunes Bridge,0.7,candidate,has coordinates; has description; high-value type,61.6309,23.8375,Satakunnansilta Bridge,europe/finland/tampere/satakunnansilta,0.647,14.984,15.336,needs_external_source,,https://en.wikivoyage.org/wiki/Tampere
europe/serbia/nis,Niš,Niš,12,37,see,Serbian Wartime Parliament Building - Birthplace of Yugoslavia,0.7,candidate,has coordinates; has description; high-value type,43.323562,21.898203,Niš Fortress,europe/serbia/nis/nis_fortress,0.663,0.337,0.448,needs_external_source,,https://en.wikivoyage.org/wiki/Ni%C5%A1
asia/turkmenistan/ashgabat,Ashgabat,Ashgabat,7,59,see,Turkmenbashi Cableway,0.7,candidate,has coordinates; has description; high-value type,37.8339,58.3097,Turkmen Cuisine,asia/turkmenistan/ashgabat/turkmen_cuisine,0.556,,13.246,needs_external_source,,https://en.wikivoyage.org/wiki/Ashgabat
asia/afghanistan/kandahar,Kandahar,Kandahar,6,19,see,Chil Zena,0.7,candidate,has coordinates; has description; high-value type,31.615278,65.663611,Chehel Zina (Forty Steps),asia/afghanistan/kandahar/chehel_zina,0.7,6.102,4.976,needs_external_source,,https://en.wikivoyage.org/wiki/Kandahar
asia/thailand/huahin,Hua Hin,Hua Hin,41,98,see,Hua Hin-Krabi,0.7,candidate,has coordinates; has description; high-value type,12.550532,99.96196,Hua Hin Beach,asia/thailand/huahin/hua_hin_beach,0.692,2.215,2.215,needs_external_source,,https://en.wikivoyage.org/wiki/Hua_Hin
asia/india/maharashtra/mahabaleshwar,Mahabaleshwar,Mahabaleshwar,7,30,see,Elphinston Point,0.7,candidate,has coordinates; has description; high-value type,17.964101,73.627624,Wilson Point (Sunrise Point),asia/india/maharashtra/mahabaleshwar/wilson_point,0.714,4.651,5.439,needs_external_source,,https://en.wikivoyage.org/wiki/Mahabaleshwar
asia/china/sichuanprovince/dujiangyan,Dujiangyan,Dujiangyan,4,36,do,Qingcheng Hot Spring Resort,0.7,candidate,has coordinates; has description; high-value type,30.9353,103.5408,Qingcheng Mountain,asia/china/sichuanprovince/dujiangyan/qingcheng_mountain,0.622,4.809,9.768,needs_external_source,,https://en.wikivoyage.org/wiki/Dujiangyan
europe/spain/basque_country_euskadi/bilbao,Bilbao,Bilbao,10,75,see,El Tigre,0.7,candidate,has coordinates; has description; high-value type,43.269031,-2.945292,Museo de Bellas Artes,europe/spain/basque_country_euskadi/bilbao/museo_de_bellas_artes,0.642,0.358,1.07,needs_external_source,,https://en.wikivoyage.org/wiki/Bilbao
asia/india/gujarat/siddhpur,Siddhpur,Siddhpur,4,8,see,Bohra havelis,0.7,candidate,has coordinates; has description; high-value type,23.918263,72.371948,Bohra Vads,asia/india/gujarat/siddhpur/bohra_vads,0.696,0.381,0.382,needs_external_source,,https://en.wikivoyage.org/wiki/Siddhpur
asia/malaysia/batupahat,Batu Pahat,Batu Pahat,5,33,see,Penggaram Square,0.7,candidate,has coordinates; has description; high-value type,1.84674,102.934481,Jalan Penggaram,asia/malaysia/batupahat/jalan_penggaram,0.585,0.415,0.804,needs_external_source,,https://en.wikivoyage.org/wiki/Batu_Pahat
