world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/finland/rovaniemi,Rovaniemi,Rovaniemi,8,183,do,Kalliosalmi–Olkkajärvi canoe route,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,66.68525,26.70944,Santa Claus Village,europe/finland/rovaniemi/santa_claus_village,0.302,41.186,47.779,has_external_url; day_trip_review,http://www.nationalparks.fi/arcticcircle/trails/description#canoeingroute,https://en.wikivoyage.org/wiki/Rovaniemi
northamerica/unitedstates/pennsylvania/johnstown,Johnstown,Johnstown,11,23,do,Laurel Ridge State Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.9558,-79.3689,Heritage Discovery Center,northamerica/unitedstates/pennsylvania/johnstown/heritage_discovery_center,0.417,56.653,56.077,has_external_url; day_trip_review,https://www.dcnr.pa.gov/StateParks/FindAPark/LaurelRidgeStatePark/,https://en.wikivoyage.org/wiki/Johnstown
northamerica/unitedstates/wisconsin/madison,Madison,Madison,11,84,see,Dr. Evermore's Forevertron,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.36373,-89.77107,Dane County Farmers' Market,northamerica/unitedstates/wisconsin/madison/dane_county_farmers_market,0.353,44.783,44.899,has_external_url; day_trip_review,http://www.worldofdrevermor.com/,https://en.wikivoyage.org/wiki/Madison
australiaandpacific/australia/queensland/townsville,Townsville,Townsville,7,65,see,Big Crystal Creek,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-18.9798,146.25416,ANZAC Memorial Park,australiaandpacific/australia/queensland/townsville/anzac_memorial_park,0.389,67.096,67.332,has_external_url; day_trip_review,http://wettropics.gov.au/big-crystal-creek-paradise-waterhole.html,https://en.wikivoyage.org/wiki/Townsville
europe/armenia/yerevan,Yerevan,Yerevan,53,133,do,Moscow theatre,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.315086,44.8712,Yerevan Opera Theatre,europe/armenia/yerevan/opera_house,0.514,33.447,34.052,has_external_url; day_trip_review,http://moscowcinema.com/,https://en.wikivoyage.org/wiki/Yerevan
asia/china/henan_province/sanmenxia,Sanmenxia,Sanmenxia,4,20,see,Yangshaoxianmen Mountain Scenic Area,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.926276,111.844242,Yangshao Village Site,asia/china/henan_province/sanmenxia/yangshao_village,0.491,68.411,61.629,has_external_url; day_trip_review,http://ysjzxms.com/,https://en.wikivoyage.org/wiki/Sanmenxia
northamerica/unitedstates/california/big_sur,Big Sur,Big Sur,0,22,do,Andrew Molera State Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.2833,-121.8333,,,0.0,,28.672,has_external_url; day_trip_review,http://www.parks.ca.gov/?page_id=582,https://en.wikivoyage.org/wiki/Big_Sur
asia/china/guangdong/foshan,Foshan,Foshan,8,25,see,Sanshui Forest Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,23.1899,112.8713,Liang's Garden (Liang Yuan),asia/china/guangdong/foshan/liangs_garden,0.424,29.867,29.891,has_external_url; day_trip_review,http://www.ssforestpark.com/index_e.php,https://en.wikivoyage.org/wiki/Foshan
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,Noblesville Boom,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.992462,-85.9142726,Broad Ripple Village,northamerica/unitedstates/indiana/indianapolis/broad_ripple_village,0.444,23.774,32.484,has_external_url; day_trip_review,https://noblesvilleboom.com/,https://en.wikivoyage.org/wiki/Indianapolis
europe/hungary/pecs,Pécs,Pécs,9,63,see,Szigetvár,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.0482,17.8125,Pécs TV Tower,europe/hungary/pecs/pecs_tv_tower,0.455,31.947,32.165,has_external_url; day_trip_review,http://www.szigetvar.hu/,https://en.wikivoyage.org/wiki/P%C3%A9cs
europe/unitedkingdom/england/norfolk/the_norfolk_broads,The Norfolk Broads,Norfolk Broads,0,34,do,Angles Way,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.4171,1.3815,,,0.0,,26.345,has_external_url; day_trip_review,https://www.norfolk.gov.uk/out-and-about-in-norfolk/norfolk-trails/long-distance-trails/angles-way,https://en.wikivoyage.org/wiki/Norfolk_Broads
northamerica/unitedstates/iowa/desmoines,Des Moines,Des Moines,20,131,see,Bob Feller Museum,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.5314,-93.95122,State Historical Museum of Iowa,northamerica/unitedstates/iowa/desmoines/state_historical_museum,0.375,28.98,27.839,has_external_url; day_trip_review,http://www.bobfellermuseum.org/,https://en.wikivoyage.org/wiki/Des_Moines
europe/hungary/debrecen,Debrecen,Debrecen,17,130,see,Hajdúdorog,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.818,21.495,Halászcsárda,europe/hungary/debrecen/halaszcsarda,0.364,32.988,33.344,has_external_url; day_trip_review,http://www.hajdudorog.hu/avaros/latnivalok,https://en.wikivoyage.org/wiki/Debrecen
asia/thailand/surat_thani,Surat Thani,Surat Thani,3,147,see,Bang Bai Mai Floating Market (ตลาดน้ำประชารัฐบางใบไม้),0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,9.151036,99.307172,Chaiya and the Srivijaya Temples,asia/thailand/surat_thani/chaiya_srivijaya_temples,0.321,,63.08,has_external_url; day_trip_review,https://www.facebook.com/talardnumpracharatbangbaimai/,https://en.wikivoyage.org/wiki/Surat_Thani
northamerica/unitedstates/florida/lake_wales,Lake Wales,Lake Wales,4,40,do,KICCO Wildlife Management Area,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.76005,-81.191033,Dixie Walesbilt Hotel,northamerica/unitedstates/florida/lake_wales/dixie_walesbilt_hotel,0.353,42.284,41.89,has_external_url; day_trip_review,http://myfwc.com/viewing/recreation/wmas/cooperative/kicco,https://en.wikivoyage.org/wiki/Lake_Wales
europe/spain/aragon/teruel,Teruel,Teruel,8,13,see,Iglesia de San Pedro,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.3426,-1.10614,Escalinata del Óvalo,europe/spain/aragon/teruel/escalinata_del_ovalo,0.438,32.445,32.598,has_external_url; day_trip_review,http://www.amantesdeteruel.es/index.php?idioma=en,https://en.wikivoyage.org/wiki/Teruel
northamerica/unitedstates/wisconsin/madison,Madison,Madison,11,84,see,Devil's Lake,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.42838,-89.73166,Henry Vilas Zoo,northamerica/unitedstates/wisconsin/madison/henry_vilas_zoo,0.444,48.301,48.361,has_external_url; day_trip_review,https://www.devilslakewisconsin.com/,https://en.wikivoyage.org/wiki/Madison
asia/china/shandong_province/zibo,Zibo,Zibo,5,45,do,Mata Lake Wetland Park,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.0843,118.0768,Great Wall of Qi,asia/china/shandong_province/zibo/qi_great_wall,0.316,74.716,33.554,has_external_url; day_trip_review,http://www.huantai.gov.cn/col/col8198/index.html,https://en.wikivoyage.org/wiki/Zibo
northamerica/unitedstates/nevada/elko,Elko,Elko,6,19,do,Ruby Mountains Hiking Road's End Trailhead,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.60413,-115.37592,Ruby Mountains,northamerica/unitedstates/nevada/elko/ruby_mountains,0.5,13.241,65.919,has_external_url; day_trip_review,https://travelnevada.com/outdoor-recreation/ruby-crest-national-recreation-trail/,https://en.wikivoyage.org/wiki/Elko
asia/china/hainanisland/wenchang,Wenchang,Wenchang,4,11,see,Tonggu Ridge,0.83,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.6701468183,111.0171591309,Dongjiao Coconut Grove,asia/china/hainanisland/wenchang/dongjiao_coconut_grove,0.353,13.239,28.602,has_external_url; day_trip_review,http://www.tongguling.com/,https://en.wikivoyage.org/wiki/Wenchang
