world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/hessen/kassel,Kassel,Kassel,19,95,see,Kasseler Bademuseum – Kurbad Jungborn,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.31264,9.50471,Orangerie and Karlsaue,europe/germany/hessen/kassel/orangerie,0.624,0.376,0.591,has_external_url,http://www.kurbad-jungborn.de/,https://en.wikivoyage.org/wiki/Kassel
northamerica/unitedstates/california/oakland,Oakland,Oakland,16,181,see,Pardee Home Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.804686,-122.27794,Preservation Park,northamerica/unitedstates/california/oakland/preservationpark,0.673,0.327,0.579,has_external_url,http://www.pardeehome.org/,https://en.wikivoyage.org/wiki/Oakland
asia/china/zhejiang/wenzhou,Wenzhou,Wenzhou,8,76,see,Wenzhou Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.999505,120.620509,Wenzhou Museum,asia/china/zhejiang/wenzhou/wenzhou_museum,0.64,7.281,7.356,has_external_url,http://www.wzjsgy.cn/,https://en.wikivoyage.org/wiki/Wenzhou
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,Daegu Yangnyeongsi Oriental Medicine Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.868441,128.589787,Daegu National Museum,asia/southkorea/dae_gu/daegu_national_museum,0.562,3.59,1.097,has_external_url,https://www.daegu.go.kr/dgomeng/index.do,https://en.wikivoyage.org/wiki/Daegu
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,see,Quakers Burial Ground,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.44867,-2.59082,Redcliffe Caves,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/redcliffe_caves,0.635,0.365,0.726,has_external_url,http://discoveringbristol.org.uk/browse/slavery/historic-site-quakers-burial-ground/,https://en.wikivoyage.org/wiki/Bristol
asia/srilanka/unawatuna,Unawatuna,Unawatuna,8,14,do,Sea Horse Divers,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,6.01,80.24932,Rumassala Hill,asia/srilanka/unawatuna/rumassala_hill,0.681,0.319,1.152,has_external_url,http://www.seahorsedivinglanka.com,https://en.wikivoyage.org/wiki/Unawatuna
asia/japan/honshu/nagahama,Nagahama,Nagahama,9,20,see,Hikiyama Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.381331,136.268948,Nagahama Hikiyama Festival Museum,asia/japan/honshu/nagahama/nagahama_hikiyama_museum,0.625,0.953,0.868,has_external_url,https://nagahama-hikiyama.or.jp/,https://en.wikivoyage.org/wiki/Nagahama
asia/laos/vangvieng,Vang Vieng,Vang Vieng,15,27,do,Sae Lao Organic Garden & Restaurant,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,18.9224,102.39563,Organic Farm Restaurant,asia/laos/vangvieng/organic_farm_restaurant,0.7,5.572,7.287,has_external_url,http://saelaoproject.com/organic-farm-restaurant/,https://en.wikivoyage.org/wiki/Vang_Vieng
europe/hungary/sopron,Sopron,Sopron,9,234,see,St. John the Baptist Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.69545,16.58381,Goat Church (Kecske-templom),europe/hungary/sopron/goat_church,0.606,1.2,2.005,has_external_url,http://www.muemlekem.hu/muemlek?id=4744,https://en.wikivoyage.org/wiki/Sopron
europe/armenia/yerevan,Yerevan,Yerevan,53,133,see,Martiros Saryan House-Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.186886,44.509214,Saryan Museum,europe/armenia/yerevan/saryanmuseum,0.634,0.77,1.061,has_external_url,http://www.sarian.am/,https://en.wikivoyage.org/wiki/Yerevan
northamerica/canada/britishcolumbia/kelowna,Kelowna,Kelowna,7,69,see,Waterfront Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.893,-119.4996,Tree Brewing Beer Institute,northamerica/canada/britishcolumbia/kelowna/tree_brewing,0.661,0.339,0.626,has_external_url,https://www.kelowna.ca/parks-recreation/parks-beaches/parks-beaches-listing/waterfront-park,https://en.wikivoyage.org/wiki/Kelowna
northamerica/unitedstates/massachusetts/worcester,Worcester,Worcester (Massachusetts),20,108,see,Hadwen Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.233889,-71.841111,Elm Park,northamerica/unitedstates/massachusetts/worcester/elm_park,0.632,5.014,4.537,has_external_url,https://www.worcesterma.gov/city-parks/hadwen-park,https://en.wikivoyage.org/wiki/Worcester_%28Massachusetts%29
europe/greece/athens,Athens,Athens,48,150,see,Spathario Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.053176,23.812165,Acropolis Museum,europe/greece/athens/acropolis_museum,0.625,11.929,10.972,has_external_url,http://www.karagiozismuseum.gr/,https://en.wikivoyage.org/wiki/Athens
europe/germany/bremen,Bremen,Bremen,15,32,see,Wilhelm-Wagenfeld-Haus,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.07298,8.81485,Schnoorviertel,europe/germany/bremen/schnoorviertel,0.655,0.345,0.603,has_external_url,http://www.wilhelm-wagenfeld-stiftung.de/,https://en.wikivoyage.org/wiki/Bremen
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,see,Bamburi Forest Trails,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-3.98889,39.7343,Tamarind Restaurant,africa/kenya/thecoast/mombasa/tamarind_restaurant,0.55,8.312,10.12,has_external_url,https://www.lafarge.co.ke/bamburi-forest-trails,https://en.wikivoyage.org/wiki/Mombasa
northamerica/unitedstates/newyorkstate/albany,Albany,Albany (New York),6,88,do,Capital Repertory Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.652623,-73.750461,Albany City Hall,northamerica/unitedstates/newyorkstate/albany/albany_city_hall,0.662,0.338,0.404,has_external_url,http://www.capitalrep.org/,https://en.wikivoyage.org/wiki/Albany_%28New_York%29
northamerica/canada/britishcolumbia/osoyoos,Osoyoos,Osoyoos,7,30,see,Osoyoos Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.03466,-119.46223,Osoyoos Lake,northamerica/canada/britishcolumbia/osoyoos/osoyoos_lake,0.692,4.009,0.356,has_external_url,http://osoyoosmuseum.ca,https://en.wikivoyage.org/wiki/Osoyoos
asia/india/uttarpradesh/agra,Agra,Agra,28,60,see,Dayal Bagh Temple,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.222,78.0028,Dayalbagh Soami Bagh,asia/india/uttarpradesh/agra/dayalbagh,0.595,1.067,5.244,has_external_url,https://www.dayalbagh.org.in/,https://en.wikivoyage.org/wiki/Agra
