world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/britishcolumbia/delta,Delta,Delta (British Columbia),2,23,see,TransLink,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Burns Bog,northamerica/canada/britishcolumbia/delta/burns_bog,0.333,,,missing_coordinates; has_external_url,https://www.translink.ca/,https://en.wikivoyage.org/wiki/Delta_%28British_Columbia%29
northamerica/unitedstates/california/centralvalley/stockton,Stockton,Stockton (California),6,20,do,Children's Museum of Stockton,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Haggin Museum,northamerica/unitedstates/california/centralvalley/stockton/haggin_museum,0.476,,,missing_coordinates; has_external_url,https://www.childrensmuseumstockton.org/,https://en.wikivoyage.org/wiki/Stockton_%28California%29
europe/portugal/coimbra,Coimbra,Coimbra,9,40,see,Monastery of the Holy Cross,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Mosteiro de Santa Cruz,europe/portugal/coimbra/santa_cruz_monastery,0.524,,,missing_coordinates; has_external_url,https://igrejascruz.webnode.pt/,https://en.wikivoyage.org/wiki/Coimbra
northamerica/canada/alberta/calgary,Calgary,Calgary,38,59,do,High Performance Rodeo,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,The Rimrock Room,northamerica/canada/alberta/calgary/therimrockroom,0.412,,,missing_coordinates; has_external_url,https://www.hprodeo.ca/,https://en.wikivoyage.org/wiki/Calgary
northamerica/unitedstates/vermont/manchester,Manchester,Manchester (Vermont),14,61,do,Appalachian Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Equinox Mountain,northamerica/unitedstates/vermont/manchester/equinox_mountain,0.364,,,missing_coordinates; has_external_url,https://www.nps.gov/appa,https://en.wikivoyage.org/wiki/Manchester_%28Vermont%29
southamerica/chile/vinadelmar,Viña del Mar,Viña del Mar,14,21,see,Museo de Arqueología e Historia Francisco Fonck,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Museo Fonck,southamerica/chile/vinadelmar/museo_fonck,0.415,,,missing_coordinates; has_external_url,https://www.museofonck.cl/new_site/,https://en.wikivoyage.org/wiki/Vi%C3%B1a_del_Mar
northamerica/unitedstates/delaware/dewey_beach,Dewey Beach,Dewey Beach,3,30,see,DART First State Beach Bus,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Delaware Seashore State Park,northamerica/unitedstates/delaware/dewey_beach/delaware_seashore_state_park,0.481,,,missing_coordinates; has_external_url,http://www.dartfirststate.com/information/programs/beachbus/index.shtml,https://en.wikivoyage.org/wiki/Dewey_Beach
northamerica/unitedstates/delaware/dewey_beach,Dewey Beach,Dewey Beach,3,30,do,Indian River Inlet Marina,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,The Starboard,northamerica/unitedstates/delaware/dewey_beach/starboard,0.235,,,missing_coordinates; has_external_url,http://www.destateparks.com/,https://en.wikivoyage.org/wiki/Dewey_Beach
northamerica/unitedstates/iowa/dubuque,Dubuque,Dubuque,4,50,see,Grand Opera House,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Dubuque Shot Tower,northamerica/unitedstates/iowa/dubuque/dubuque_shot_tower,0.343,,,missing_coordinates; has_external_url,http://www.thegrandoperahouse.com/,https://en.wikivoyage.org/wiki/Dubuque
europe/slovenia/maribor,Maribor,Maribor,11,36,do,Slovene National Theatre,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Lent Riverfront,europe/slovenia/maribor/lent_promenade,0.41,,,missing_coordinates; has_external_url,http://www.sng-mb.si/,https://en.wikivoyage.org/wiki/Maribor
europe/france/nord/arras,Arras,Arras,9,19,see,Musée des Beaux-Arts d'Arras,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Maison de Robespierre,europe/france/nord/arras/maison_robespierre,0.381,,,missing_coordinates; has_external_url,https://www.arras.fr/fr/mes-loisirs/culture/musee-des-beaux-arts,https://en.wikivoyage.org/wiki/Arras
africa/egypt/cairo,Cairo,Cairo,88,50,see,United Kingdom of Great Britain and Northern Ireland,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Museum of Modern Egyptian Art,africa/egypt/cairo/dokki_museum_art,0.37,,,missing_coordinates; has_external_url,http://ukinegypt.fco.gov.uk/en/,https://en.wikivoyage.org/wiki/Cairo
northamerica/unitedstates/rhodeisland/newport,Newport,Newport (Rhode Island),10,111,do,Eastons Beach,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Marble House,northamerica/unitedstates/rhodeisland/newport/marble_house,0.32,,,missing_coordinates; has_external_url,https://www.cityofnewport.com/en-us/visiting-newport/eastons-beach,https://en.wikivoyage.org/wiki/Newport_%28Rhode_Island%29
northamerica/unitedstates/california/sunnyvale,Sunnyvale,Sunnyvale,13,14,see,Hendy Iron Works Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Computer History Museum (Mountain View),northamerica/unitedstates/california/sunnyvale/computer_history_museum,0.478,,,missing_coordinates; has_external_url,http://ironmanmuseum.com/,https://en.wikivoyage.org/wiki/Sunnyvale
europe/italy/tuscany/lucca,Lucca,Lucca,11,30,do,Lucca summer festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Basilica of San Frediano and St Zita,europe/italy/tuscany/lucca/st_zita,0.421,,,missing_coordinates; has_external_url,http://www.summer-festival.com/,https://en.wikivoyage.org/wiki/Lucca
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,see,Riel House,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Be One,northamerica/canada/manitoba/winnipeg/be_one,0.5,,,missing_coordinates; has_external_url,https://www.pc.gc.ca/en/lhn-nhs/mb/riel,https://en.wikivoyage.org/wiki/Winnipeg
europe/switzerland/yverdon,Yverdon,Yverdon,6,11,see,Swiss fashion museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Maison d'Ailleurs,europe/switzerland/yverdon/maison_dailleurs,0.378,,,missing_coordinates; has_external_url,http://www.museemode.ch/,https://en.wikivoyage.org/wiki/Yverdon
