world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/finland/turku,Turku,Turku,5,262,do,Turku City Theatre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.44604,22.26386,Aura River,europe/finland/turku/aura_river,0.668,0.332,0.641,has_external_url,http://teatteri.turku.fi/en,https://en.wikivoyage.org/wiki/Turku
asia/china/henan_province/nanyang,Nanyang,Nanyang,4,8,see,Nanyang Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.994951,112.595627,Nanyang Jade Market,asia/china/henan_province/nanyang/jade_market,0.606,7.053,6.209,has_external_url,http://nysbwg.com/,https://en.wikivoyage.org/wiki/Nanyang
australiaandpacific/newzealand/canterbury/christchurch,Christchurch,Christchurch,13,85,do,Christchurch Adventure Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-43.578,172.616,Christ Church Cathedral,australiaandpacific/newzealand/canterbury/christchurch/christ_church_cathedral,0.68,5.493,5.357,has_external_url,https://christchurchadventurepark.com/,https://en.wikivoyage.org/wiki/Christchurch
asia/turkey/amasya,Amasya,Amasya,9,29,see,Bimarhane,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.6538,35.8355,Tombs of the Kings of Pontus,asia/turkey/amasya/tombs_of_pontic_kings,0.566,0.434,0.517,has_external_url,https://amasya.ktb.gov.tr/TR-59522/sabuncuoglu-tip-ve-cerrahi-tarihi-muzesi.html,https://en.wikivoyage.org/wiki/Amasya
northamerica/unitedstates/iowa/iowacity,Iowa City,Iowa City,16,48,see,Antique Car Museum of Iowa,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.68122,-91.56082,Stanley Museum of Art,northamerica/unitedstates/iowa/iowacity/museum_of_art,0.638,2.672,3.399,has_external_url,http://www.antiquecarmuseumofiowa.org/,https://en.wikivoyage.org/wiki/Iowa_City
northamerica/unitedstates/newmexico/santafe,Santa Fe,Santa Fe (New Mexico),34,136,see,Santa Fe Children's Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.67295,-105.93673,Santa Fe Railyard,northamerica/unitedstates/newmexico/santafe/santa_fe_railyard,0.558,1.165,1.637,has_external_url,http://www.santafechildrensmuseum.org,https://en.wikivoyage.org/wiki/Santa_Fe_%28New_Mexico%29
asia/turkey/eskisehir,Eskişehir,Eskişehir,16,28,see,ETİ Archaeology Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.7655,30.5132,Eskişehir Meerschaum Museum,asia/turkey/eskisehir/meerschaum_museum,0.571,1.028,1.111,has_external_url,https://muzeler.org/eti-arkeoloji-muzesi--301467,https://en.wikivoyage.org/wiki/Eski%C5%9Fehir
europe/germany/northrhinewestphalia/dortmund,Dortmund,Dortmund,16,98,see,Zoo Dortmund,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.4744,7.47083,Dortmunder U,europe/germany/northrhinewestphalia/dortmund/dortmunder_u,0.667,4.669,4.445,has_external_url,http://www.dortmund.de/de/freizeit_und_kultur/zoo_dortmund,https://en.wikivoyage.org/wiki/Dortmund
europe/belgium/dinant,Dinant,Dinant,1,18,see,Maison Leffe,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.25681,4.910942,La Merveilleuse,europe/belgium/dinant/la_merveilleuse,0.698,0.302,0.307,has_external_url,https://leffe.com/en/maison-leffe,https://en.wikivoyage.org/wiki/Dinant
northamerica/unitedstates/montana/billings,Billings,Billings,14,43,do,Lake Elmo State Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.839,-108.477,Chief Plenty Coups State Park,northamerica/unitedstates/montana/billings/chief_plenty_coups,0.612,41.408,6.46,has_external_url,http://stateparks.mt.gov/lake-elmo/,https://en.wikivoyage.org/wiki/Billings
asia/uzbekistan/tashkent,Tashkent,Tashkent,41,109,see,State Museum of Arts,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.3026,69.2778,State Art Museum of Uzbekistan,asia/uzbekistan/tashkent/state_art_museum,0.68,1.547,1.081,has_external_url,https://www.stateartmuseum.uz,https://en.wikivoyage.org/wiki/Tashkent
northamerica/unitedstates/california/coronado,Coronado,Coronado (California),7,23,do,Silver Strand State Beach,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.63001,-117.14076,Silver Strand,northamerica/unitedstates/california/coronado/silver_strand,0.684,1.962,7.622,has_external_url,http://www.parks.ca.gov/?page_id=654,https://en.wikivoyage.org/wiki/Coronado_%28California%29
asia/india/westbengal/kalimpong,Kalimpong,Kalimpong,8,20,see,Lepcha Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.06328,88.470114,Tongsa Gompa,asia/india/westbengal/kalimpong/tongsa_gompa,0.66,0.34,0.367,has_external_url,http://www.lepchagumbamuseum.com,https://en.wikivoyage.org/wiki/Kalimpong
asia/pakistan/karachi,Karachi,Karachi,50,197,see,State Bank Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,24.84818,66.99956,Wazir Mansion,asia/pakistan/karachi/wazirmansion,0.628,0.372,2.253,has_external_url,https://www.sbp.org.pk/Museum/cntus.htm,https://en.wikivoyage.org/wiki/Karachi
asia/china/shandong_province/weihai,Weihai,Weihai,4,37,see,Weihai Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.47,122.14,Weihai Swan Lake,asia/china/shandong_province/weihai/weihai_swan_lake,0.621,17.379,5.259,has_external_url,http://www.whmuseum.net/,https://en.wikivoyage.org/wiki/Weihai
asia/turkey/izmir,Izmir,Izmir,58,34,see,History and Art Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.4363,27.1482,Agora Open Air Museum,asia/turkey/izmir/izmir_agora_open_air,0.558,2.136,2.559,has_external_url,https://muze.gov.tr/muze-detay?SectionId=ITS01&DistId=MRK,https://en.wikivoyage.org/wiki/Izmir
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,Birmingham Central Mosque,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.464778,-1.890611,Birmingham Back to Backs,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/birmingham_back_to_backs,0.612,1.276,1.85,has_external_url,http://www.centralmosque.org.uk,https://en.wikivoyage.org/wiki/Birmingham
northamerica/unitedstates/michigan/annarbor,Ann Arbor,Ann Arbor,18,178,see,Museum of Zoology,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.2361,-83.7278,Kelsey Museum of Archaeology,northamerica/unitedstates/michigan/annarbor/kelsey_museum_of_archaeology,0.667,4.657,5.317,has_external_url,https://lsa.umich.edu/ummz,https://en.wikivoyage.org/wiki/Ann_Arbor
asia/china/yunnanprovince/kunming,Kunming,Kunming,50,81,see,Western Mountains Forest Reserve / Xishan Scenic Area,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,24.9729327285,102.6221496518,Tomb of Nie Er,asia/china/yunnanprovince/kunming/tomb_of_nie_er,0.627,0.373,12.111,has_external_url,http://www.kmxishan.com/,https://en.wikivoyage.org/wiki/Kunming
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,St. Paul's Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.4853,-1.9058,Newman Brothers Coffin Works,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/newman_brothers_coffin_works,0.612,0.388,0.657,has_external_url,https://www.stpaulsjq.church/,https://en.wikivoyage.org/wiki/Birmingham
australiaandpacific/newcaledonia/noumea,Nouméa,Nouméa,14,6,see,Parc Zoologique et Forestier,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-22.2583,166.45694,Parc Forestier,australiaandpacific/newcaledonia/noumea/parc_foresteir,0.667,2.037,2.343,has_external_url,https://www.province-sud.nc/divers/parc-zoologique-forestier,https://en.wikivoyage.org/wiki/Noum%C3%A9a
asia/india/bihar/patna,Patna,Patna,15,25,see,Sanjay Gandhi Jaivik Udyan,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,25.596513,85.099304,Gandhi Maidan,asia/india/bihar/patna/gandhi_maidan,0.615,4.757,2.812,has_external_url,http://forest.bih.nic.in/SGBPark.htm,https://en.wikivoyage.org/wiki/Patna
northamerica/unitedstates/montana/butte,Butte,Butte,14,42,see,World Mining Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.00908,-112.56483,World Museum of Mining,northamerica/unitedstates/montana/butte/world_museum_of_mining,0.585,0.645,2.392,has_external_url,http://www.miningmuseum.org/,https://en.wikivoyage.org/wiki/Butte
northamerica/elsalvador/santaana,Santa Ana,Santa Ana (El Salvador),10,110,do,Tazumal,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,13.9797,-89.67429,Tazumal Ruins,northamerica/elsalvador/santaana/tazumal,0.7,0.997,12.469,has_external_url,http://www.cultura.gob.sv/parque-arqueologico-tazumal/,https://en.wikivoyage.org/wiki/Santa_Ana_%28El_Salvador%29
