world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/jiangsu_province/suzhou,Suzhou,Suzhou,17,93,do,Suzhou Amusement Land,0.74,candidate,has coordinates; has description; high-value type; strong travel term,31.2943,120.54263,Suzhou Museum,asia/china/jiangsu_province/suzhou/suzhou_museum,0.706,8.559,7.655,needs_external_source,,https://en.wikivoyage.org/wiki/Suzhou
europe/russia/suzdal,Suzdal,Suzdal,7,42,see,Remains of Sretenskoi Refectory Church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,56.4245,40.4466,Rizopolozhensky Monastery,europe/russia/suzdal/rizopolozhensky_monastery,0.596,0.404,0.584,needs_external_source,,https://en.wikivoyage.org/wiki/Suzdal
northamerica/mexico/sanluispotosi,San Luis Potosí,San Luis Potosi,15,51,see,Museo Laberinto,0.74,candidate,has coordinates; has description; high-value type; strong travel term,22.11745,-100.99928,Museo Regional Potosino,northamerica/mexico/sanluispotosi/museo_regional_potosino,0.579,4.188,4.568,needs_external_source,,https://en.wikivoyage.org/wiki/San_Luis_Potosi
europe/italy/lombardia/brescia,Brescia,Brescia,11,30,see,Santa Maria dei Miracoli,0.74,candidate,has coordinates; has description; high-value type; strong travel term,45.537268,10.214893,Rhinoceros of Piazza Vittoria,europe/italy/lombardia/brescia/rinoceronte,0.647,0.353,0.504,needs_external_source,,https://en.wikivoyage.org/wiki/Brescia
europe/greece/philippi,Philippi,Philippi,9,18,see,Roman villa,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.011207,24.280495,Archaeological Museum of Philippi,europe/greece/philippi/archaeological_museum,0.553,0.447,0.372,needs_external_source,,https://en.wikivoyage.org/wiki/Philippi
asia/india/dadraandnagarhaveli/silvassa,Silvassa,Silvassa,3,12,see,Vanganga Garden,0.74,candidate,has coordinates; has description; high-value type; strong travel term,20.31209,72.97024,Van Ganga Lake and Island Garden,asia/india/dadraandnagarhaveli/silvassa/van_ganga_lake,0.638,3.632,6.265,needs_external_source,,https://en.wikivoyage.org/wiki/Silvassa
northamerica/unitedstates/ohio/port_clinton,Port Clinton,Port Clinton (Ohio),5,24,do,Port Clinton City Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.5144,-82.9257,Port Clinton Lighthouse,northamerica/unitedstates/ohio/port_clinton/port_clinton_lighthouse,0.652,0.727,1.034,needs_external_source,,https://en.wikivoyage.org/wiki/Port_Clinton_%28Ohio%29
europe/greece/philippi,Philippi,Philippi,9,18,see,Sinful Roman Monument,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.0123,24.3112,Roman Forum,europe/greece/philippi/roman_forum,0.562,2.049,2.287,needs_external_source,,https://en.wikivoyage.org/wiki/Philippi
northamerica/britishvirginislands/virgingorda,Virgin Gorda,Virgin Gorda,11,56,see,The Copper Mine,0.74,candidate,has coordinates; has description; high-value type; strong travel term,18.4325,-64.42417,Copper Mine National Park,northamerica/britishvirginislands/virgingorda/copper_mine,0.658,0.342,4.887,needs_external_source,,https://en.wikivoyage.org/wiki/Virgin_Gorda
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Baopu Taoist Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,30.26245,120.13961,Yue Fei Temple,asia/china/zhejiang/hangzhou/yue_fei_temple,0.606,2.777,6.479,needs_external_source,,https://en.wikivoyage.org/wiki/Hangzhou
europe/finland/lieksa,Lieksa,Lieksa,9,16,see,Pielisen Museo,0.74,candidate,has coordinates; has description; high-value type; strong travel term,63.3098,30.0352,Pielinen Open-Air Museum,europe/finland/lieksa/pielinen_museum,0.632,1.802,1.199,needs_external_source,,https://en.wikivoyage.org/wiki/Lieksa
europe/spain/catalonia/vic,Vic,Vic (Barcelona),6,39,do,center BTT Plain of Vic,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.93369,2.23954,Roman Temple of Vic,europe/spain/catalonia/vic/roman_temple,0.571,1.513,1.304,needs_external_source,,https://en.wikivoyage.org/wiki/Vic_%28Barcelona%29
asia/japan/honshu/shimonoseki,Shimonoseki,Shimonoseki,10,33,see,Iminomiya-jinja,0.74,candidate,has coordinates; has description; high-value type; strong travel term,33.99897,130.98756,Chofu Mori Residence,asia/japan/honshu/shimonoseki/chofu_mori_residence,0.651,0.349,6.253,needs_external_source,,https://en.wikivoyage.org/wiki/Shimonoseki
europe/spain/andalucia/chipiona,Chipiona,Chipiona,11,14,see,The Sanctuary of Our Lady of Regla,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.729783,-6.43875,Castillo de Chipiona,europe/spain/andalucia/chipiona/castillo_de_chipiona,0.574,0.426,0.73,needs_external_source,,https://en.wikivoyage.org/wiki/Chipiona
northamerica/unitedstates/hawaii/kauai,Kaua'i,Kauai,12,48,see,Opaekaa Falls,0.74,candidate,has coordinates; has description; high-value type; strong travel term,22.052222,-159.364167,Wailua Falls,northamerica/unitedstates/hawaii/kauai/wailua_falls,0.64,3.924,20.066,needs_external_source,,https://en.wikivoyage.org/wiki/Kauai
asia/japan/honshu/shimonoseki,Shimonoseki,Shimonoseki,10,33,see,Chofu Garden,0.74,candidate,has coordinates; has description; high-value type; strong travel term,33.99068,130.98919,Chofu Mori Residence,asia/japan/honshu/shimonoseki/chofu_mori_residence,0.625,0.603,5.726,needs_external_source,,https://en.wikivoyage.org/wiki/Shimonoseki
europe/greece/skiathos,Skiathos,Skiathos,10,18,do,Lalaria,0.74,candidate,has coordinates; has description; high-value type; strong travel term,39.20706,23.47787,Lalaria Beach,europe/greece/skiathos/lalaria,0.7,2.789,4.629,needs_external_source,,https://en.wikivoyage.org/wiki/Skiathos
asia/india/andhrapradesh/visakhapatnam,Visakhapatnam,Visakhapatnam,11,44,see,Kailasagiri,0.74,candidate,has coordinates; has description; high-value type; strong travel term,17.748992,83.342236,Kailasagiri Hill Park,asia/india/andhrapradesh/visakhapatnam/kailasagiri,0.688,1.623,8.134,needs_external_source,,https://en.wikivoyage.org/wiki/Visakhapatnam
asia/india/uttarpradesh/varanasi,Varanasi,Varanasi,13,65,see,Gauri Matha Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,25.31765,82.97391,Kashi Vishwanath Temple,asia/india/uttarpradesh/varanasi/kashi_vishwanath_temple,0.634,3.768,3.936,needs_external_source,,https://en.wikivoyage.org/wiki/Varanasi
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,see,Paseo de San Antonio,0.74,candidate,has coordinates; has description; high-value type; strong travel term,37.3332,-121.888,La Victoria Taqueria,northamerica/unitedstates/california/sanjose/la_victoria_taquer,0.671,0.329,0.402,needs_external_source,,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
