world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/italy/campania/naples,Naples,Naples,50,160,do,Pontile di Bagnoli,0.7,candidate,has coordinates; has description; high-value type,40.808177,14.159494,Quartieri Spagnoli,europe/italy/campania/naples/quartieri_spagnoli,0.611,7.922,8.119,needs_external_source,,https://en.wikivoyage.org/wiki/Naples
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/dartmoor/lydford,Lydford,Lydford,5,10,do,Arms Tor,0.7,candidate,has coordinates; has description; high-value type,50.65747,-4.06503,Brat Tor,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/dartmoor/lydford/brat_tor,0.625,0.674,1.788,needs_external_source,,https://en.wikivoyage.org/wiki/Lydford
europe/greece/kalambaka,Kalambaka,Kalambaka,12,14,see,St. Stephen,0.7,candidate,has coordinates; has description; high-value type,39.709168,21.638964,Monastery of Saint Stephen,europe/greece/kalambaka/monastery_of_saint_stephen,0.556,1.169,1.35,needs_external_source,,https://en.wikivoyage.org/wiki/Kalambaka
europe/poland/lodz,Łódź,Łódź,7,114,see,Kopisch's bleachery,0.7,candidate,has coordinates; has description; high-value type,51.749028,19.463917,Central Museum of Textiles,europe/poland/lodz/textile_museum,0.594,0.406,2.399,needs_external_source,,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA
europe/germany/northrhinewestphalia/oberhausen,Oberhausen,Oberhausen,4,15,see,MWO Modellbahnwelt Oberhausen,0.7,candidate,has coordinates; has description; high-value type,51.4935,6.88263,Gasometer Oberhausen,europe/germany/northrhinewestphalia/oberhausen/gasometer_oberhausen,0.571,0.836,3.423,needs_external_source,,https://en.wikivoyage.org/wiki/Oberhausen
asia/india/assam/guwahati,Guwahati,Guwahati,24,59,do,Guwahati Planetarium,0.7,candidate,has coordinates; has description; high-value type,26.191535,91.751961,Ugratara Devalaya,asia/india/assam/guwahati/ugratara_temple,0.673,0.327,1.232,needs_external_source,,https://en.wikivoyage.org/wiki/Guwahati
asia/indonesia/kalimantan/palangka_raya,Palangka Raya,Palangka Raya,14,20,see,Kum-Kum,0.7,candidate,has coordinates; has description; high-value type,-2.19788,113.93318,Kum Kum Mini Zoo,asia/indonesia/kalimantan/palangka_raya/kum_kum_zoo,0.609,2.11,2.139,needs_external_source,,https://en.wikivoyage.org/wiki/Palangka_Raya
asia/oman/sur,Sur,Sur,6,16,see,Al Ayjah Watchtowers,0.7,candidate,has coordinates; has description; high-value type,22.565151,59.539905,Al-Ayjah Fort,asia/oman/sur/al_ayjah_fort,0.667,0.806,1.149,needs_external_source,,https://en.wikivoyage.org/wiki/Sur
europe/greece/thessaloniki,Thessaloniki,Thessaloniki,37,92,see,Trigoniou tower,0.7,candidate,has coordinates; has description; high-value type,40.640580554257845,22.960114847755374,Trigono,europe/greece/thessaloniki/trigono_bougatsa,0.636,1.831,1.327,needs_external_source,,https://en.wikivoyage.org/wiki/Thessaloniki
africa/kenya/centralhighlands/nanyuki,Nanyuki,Nanyuki,3,16,see,Equator Mark,0.7,candidate,has coordinates; has description; high-value type,0.0,37.0702,Equator Crossing,africa/kenya/centralhighlands/nanyuki/equator_crossing,0.643,0.489,1.632,needs_external_source,,https://en.wikivoyage.org/wiki/Nanyuki
northamerica/unitedstates/michigan/petoskey,Petoskey,Petoskey,7,27,see,St. Francis Solanus Mission,0.7,candidate,has coordinates; has description; high-value type,45.375556,-84.9675,Magnus City Park,northamerica/unitedstates/michigan/petoskey/magnus_park,0.664,0.336,0.982,needs_external_source,,https://en.wikivoyage.org/wiki/Petoskey
asia/india/kerala/munnar,Munnar,Munnar,5,54,see,Mattupetty Indo-Swiss Farm,0.7,candidate,has coordinates; has description; high-value type,10.1095422,77.1399444,Mattupetty Dam and Lake,asia/india/kerala/munnar/mattupetty_dam,0.612,1.791,9.094,needs_external_source,,https://en.wikivoyage.org/wiki/Munnar
asia/bangladesh/chittagong,Chittagong,Chittagong,15,149,see,Abhay Mitra Ghat,0.7,candidate,has coordinates; has description; high-value type,22.3257124,91.8350306,Sadarghat,asia/bangladesh/chittagong/sadarghat,0.56,0.932,0.899,needs_external_source,,https://en.wikivoyage.org/wiki/Chittagong
asia/indonesia/kalimantan/samarinda,Samarinda,Samarinda,16,15,see,Baqa village,0.7,candidate,has coordinates; has description; high-value type,-0.510938,117.147312,Pampang Cultural Village,asia/indonesia/kalimantan/samarinda/pampang_cultural_village,0.556,14.191,1.351,needs_external_source,,https://en.wikivoyage.org/wiki/Samarinda
asia/india/assam/majuli,Majuli,Majuli,10,10,see,Benegenaati Satra,0.7,candidate,has coordinates; has description; high-value type,26.950967,94.199005,Auniati Satra,asia/india/assam/majuli/auniati_satra,0.667,7.55,3.204,needs_external_source,,https://en.wikivoyage.org/wiki/Majuli
europe/italy/campania/naples,Naples,Naples,50,160,see,Tomb of Virgil,0.7,candidate,has coordinates; has description; high-value type,40.830083,14.217721,Mergellina,europe/italy/campania/naples/mergellina,0.69,0.31,2.691,needs_external_source,,https://en.wikivoyage.org/wiki/Naples
northamerica/unitedstates/massachusetts/provincetown,Provincetown,Provincetown,1,89,do,Long Point,0.7,candidate,has coordinates; has description; high-value type,42.027,-70.172,Lobster Pot,northamerica/unitedstates/massachusetts/provincetown/lobster_pot,0.571,2.986,2.882,needs_external_source,,https://en.wikivoyage.org/wiki/Provincetown
africa/nigeria/kaduna,Kaduna,Kaduna,6,16,see,Lugard Footbridge,0.7,candidate,has coordinates; has description; high-value type,10.51479,7.45478,Lugard Footbridge and River Gardens,africa/nigeria/kaduna/lugard_footbridge,0.654,2.09,2.09,needs_external_source,,https://en.wikivoyage.org/wiki/Kaduna
europe/germany/saxony/chemnitz,Chemnitz,Chemnitz,15,31,see,Küchwald,0.7,candidate,has coordinates; has description; high-value type,50.8513694,12.908307356568965,Parkeisenbahn Chemnitz,europe/germany/saxony/chemnitz/parkeisenbahn_chemnitz,0.559,0.441,2.242,needs_external_source,,https://en.wikivoyage.org/wiki/Chemnitz
asia/china/fujianprovince/tulou,Fujian Tulou,Fujian Tulou,3,16,see,Chuxi Tulou Cluster Scenic Spot,0.7,candidate,has coordinates; has description; high-value type,24.5509,116.9003,Gaobei Tulou Cluster,asia/china/fujianprovince/tulou/gaobei_tulou_cluster,0.588,23.233,16.934,needs_external_source,,https://en.wikivoyage.org/wiki/Fujian_Tulou
australiaandpacific/newzealand/north_island/hawkes_bay/napier,Napier,Napier,9,23,do,Cape Kidnappers,0.7,candidate,has coordinates; has description; high-value type,-39.6403,177.0718,Cape Kidnappers Gannet Colony,australiaandpacific/newzealand/north_island/hawkes_bay/napier/cape_kidnappers,0.682,2.049,21.28,needs_external_source,,https://en.wikivoyage.org/wiki/Napier
