world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
southamerica/brazil/recife,Recife,Recife,34,154,see,Convento Franciscano de Santo Antônio,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Santo Antônio,southamerica/brazil/recife/santo_antonio,0.553,,,missing_coordinates; has_external_url,http://conventosantoantonio.org.br/,https://en.wikivoyage.org/wiki/Recife
europe/georgia/batumi,Batumi,Batumi,39,45,see,The Nobel Brothers Batumi Technological Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Batumi Archaeological Museum,europe/georgia/batumi/batumi_archaeology_museum,0.686,,,missing_coordinates; has_external_url,https://georgiantravelguide.com/en/nobel-brothers-batumi-technological-museum,https://en.wikivoyage.org/wiki/Batumi
europe/spain/galicia/vigo,Vigo,Vigo,15,32,see,Castro de Vigo,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Ría de Vigo,europe/spain/galicia/vigo/ria_de_vigo,0.706,,,missing_coordinates; has_external_url,https://hoxe.vigo.org/movemonos/m_castro.php,https://en.wikivoyage.org/wiki/Vigo
europe/unitedkingdom/england/newcastle_and_north_east/northumberland/berwickontweed,Berwick-upon-Tweed,Berwick-upon-Tweed,6,14,see,Norham Castle,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Berwick Castle,europe/unitedkingdom/england/newcastle_and_north_east/northumberland/berwickontweed/berwick_castle,0.593,,,missing_coordinates; has_external_url,https://www.english-heritage.org.uk/visit/places/norham-castle/,https://en.wikivoyage.org/wiki/Berwick-upon-Tweed
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/york,York,York,51,165,do,York Christmas Festival,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,York City Walls,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/york/city_walls,0.579,,,missing_coordinates; has_external_url,https://www.visityork.org/whats-on/christmas,https://en.wikivoyage.org/wiki/York
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,do,Buffalo Greek Fest,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Buffalo AKG Art Museum,northamerica/unitedstates/newyorkstate/buffalo/albright_knox,0.55,,,missing_coordinates; has_external_url,http://www.buffalogreekfest.org,https://en.wikivoyage.org/wiki/Buffalo
northamerica/canada/britishcolumbia/richmond,Richmond,Richmond (British Columbia),5,56,see,Richmond Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Richmond Olympic Oval,northamerica/canada/britishcolumbia/richmond/richmond_olympic_oval,0.556,,,missing_coordinates; has_external_url,https://www.richmondmuseum.ca/,https://en.wikivoyage.org/wiki/Richmond_%28British_Columbia%29
northamerica/unitedstates/california/orangecounty/santaana,Santa Ana,Santa Ana (California),6,26,see,4th Street in Santa Ana,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,4th Street Market,northamerica/unitedstates/california/orangecounty/santaana/fourth_street_market,0.65,,,missing_coordinates; has_external_url,https://www.4thstreetmarket.com/,https://en.wikivoyage.org/wiki/Santa_Ana_%28California%29
europe/italy/piemonte/stresa,Stresa,Stresa,6,14,see,Isola Bella,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Isola Madre,europe/italy/piemonte/stresa/isola_madre,0.636,,,missing_coordinates; has_external_url,https://www.isoleborromee.it/en/isola-bella/,https://en.wikivoyage.org/wiki/Stresa
europe/portugal/aveiro,Aveiro,Aveiro,5,35,see,Museum of Aveiro,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Cathedral of Aveiro,europe/portugal/aveiro/cathedral_of_aveiro,0.629,,,missing_coordinates; has_external_url,http://www.visitcentrodeportugal.com.pt/museum-of-aveiro/,https://en.wikivoyage.org/wiki/Aveiro
northamerica/unitedstates/arkansas/fortsmith,Fort Smith,Fort Smith,6,28,do,Fort Smith Comic Con,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Fort Smith National Historic Site,northamerica/unitedstates/arkansas/fortsmith/fort_smith_national_historic_site,0.566,,,missing_coordinates; has_external_url,https://fortsmithcomiccon.com/,https://en.wikivoyage.org/wiki/Fort_Smith
europe/italy/lombardia/cremona,Cremona,Cremona,8,11,see,Torrazzo,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Torrazzo di Cremona,europe/italy/lombardia/cremona/torrazzo,0.593,,,missing_coordinates; has_external_url,https://museoverticale.it/,https://en.wikivoyage.org/wiki/Cremona
northamerica/unitedstates/maryland/annapolis,Annapolis,Annapolis,18,29,see,U.S. Naval Academy Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,United States Naval Academy,northamerica/unitedstates/maryland/annapolis/us_naval_academy,0.667,,,missing_coordinates; has_external_url,https://www.usna.edu/Museum/,https://en.wikivoyage.org/wiki/Annapolis
northamerica/unitedstates/arizona/phoenix,Phoenix,Phoenix,54,145,do,Downtown Phoenix Farmers Market,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Downtown Phoenix,northamerica/unitedstates/arizona/phoenix/downtown_phoenix,0.681,,,missing_coordinates; has_external_url,https://downtownphoenixfarmersmarket.org/,https://en.wikivoyage.org/wiki/Phoenix
europe/spain/andalucia/sanlcar,Sanlúcar de Barrameda,Sanlúcar de Barrameda,7,15,do,Doñana National Park,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Doñana Boat Trips,europe/spain/andalucia/sanlcar/donana_boat_trip,0.595,,,missing_coordinates; has_external_url,http://www.ebd.csic.es,https://en.wikivoyage.org/wiki/Sanl%C3%BAcar_de_Barrameda
europe/france/midi/provence/avignon,Avignon,Avignon,12,35,see,Palais du Roure,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Palais des Papes,europe/france/midi/provence/avignon/palais_des_papes,0.667,,,missing_coordinates; has_external_url,https://www.avignon.fr/les-equipements/les-musees/palais-du-roure,https://en.wikivoyage.org/wiki/Avignon
northamerica/unitedstates/massachusetts/worcester,Worcester,Worcester (Massachusetts),20,108,do,StART on the Street,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Shrewsbury Street,northamerica/unitedstates/massachusetts/worcester/shrewsbury_street,0.562,,,missing_coordinates; has_external_url,http://www.startonthestreet.org/,https://en.wikivoyage.org/wiki/Worcester_%28Massachusetts%29
europe/spain/northernspain/gijon,Gijón,Gijón,10,24,see,Museum of the Asturian People,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Museo del Pueblo de Asturias,europe/spain/northernspain/gijon/museo_pueblo_asturias,0.565,,,missing_coordinates; has_external_url,https://www.gijon.es/es/directorio/museu-del-pueblu-dasturies,https://en.wikivoyage.org/wiki/Gij%C3%B3n
northamerica/unitedstates/oregon/portland,Portland,Portland (Oregon),58,54,do,Portland Rose Festival,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Portland Center Stage,northamerica/unitedstates/oregon/portland/portland_classical_theatre,0.651,,,missing_coordinates; has_external_url,https://www.rosefestival.org/,https://en.wikivoyage.org/wiki/Portland_%28Oregon%29
europe/unitedkingdom/scotland/edinburgh,Edinburgh,Edinburgh,99,58,do,Edinburgh Military Tattoo,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Edinburgh Castle,europe/unitedkingdom/scotland/edinburgh/edinburghcastle,0.585,,,missing_coordinates; has_external_url,https://www.edintattoo.co.uk/,https://en.wikivoyage.org/wiki/Edinburgh
northamerica/canada/newbrunswick/fredericton,Fredericton,Fredericton,6,71,see,Fredericton Botanic Garden,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Fredericton Region Museum,northamerica/canada/newbrunswick/fredericton/fredericton_region_museum,0.588,,,missing_coordinates; has_external_url,http://www.frederictonbotanicgarden.com/,https://en.wikivoyage.org/wiki/Fredericton
asia/china/henan_province/luoyang,Luoyang,Luoyang,11,25,see,Luoyang Ancient Art Museum,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Luoyang Museum,asia/china/henan_province/luoyang/luoyang_museum,0.7,,,missing_coordinates; has_external_url,https://www.weibo.com/u/3312915021,https://en.wikivoyage.org/wiki/Luoyang
northamerica/unitedstates/oregon/newport,Newport,Newport (Oregon),11,18,see,Pacific Maritime Heritage Center,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Hatfield Marine Science Center,northamerica/unitedstates/oregon/newport/hatfield_marine_science_center,0.613,,,missing_coordinates; has_external_url,https://oregoncoasthistory.org/museums-exhibits/maritime-center/,https://en.wikivoyage.org/wiki/Newport_%28Oregon%29
northamerica/unitedstates/alabama/fort_payne,Fort Payne,Fort Payne,5,9,see,Opera House,0.48,candidate,has description; high-value type; has external URL; strong travel term,,,Fort Payne Opera House,northamerica/unitedstates/alabama/fort_payne/fort_payne_opera_house,0.667,,,missing_coordinates; has_external_url,http://www.landmarksdekalbal.org/articles/OperaHouse.html,https://en.wikivoyage.org/wiki/Fort_Payne
