world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/mexico/tequila,Tequila,Tequila,5,20,see,Our Lady of the Purísima Concepción,0.59,candidate,has description; high-value type; strong travel term,,,Plaza Principal,northamerica/mexico/tequila/plaza_principal,0.304,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tequila
northamerica/unitedstates/missouri/jeffersoncity,Jefferson City,Jefferson City,13,62,see,Carnahan Memorial Garden,0.59,candidate,has description; high-value type; strong travel term,,,Central Dairy,northamerica/unitedstates/missouri/jeffersoncity/central_dairy,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Jefferson_City
asia/thailand/kohphiphi,Koh Phi Phi,Ko Phi Phi,8,70,see,Had Ling Noi,0.59,candidate,has description; high-value type; strong travel term,,,Diving and Snorkelling,asia/thailand/kohphiphi/diving,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Phi_Phi
northamerica/unitedstates/oregon/eugene,Eugene,Eugene,20,105,do,Amazon Trail,0.59,candidate,has description; high-value type; strong travel term,,,Sam Bond's Garage,northamerica/unitedstates/oregon/eugene/sam_bonds_garage,0.483,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Eugene
africa/sudan/khartoum,Khartoum,Khartoum,20,45,see,Umm Marrahi fort,0.59,candidate,has description; high-value type; strong travel term,,,The Mahdi's Tomb,africa/sudan/khartoum/mahdis_tomb,0.429,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Khartoum
northamerica/unitedstates/california/salinas,Salinas,Salinas,5,25,do,Oldtown Salinas Farmer's Market,0.59,candidate,has description; high-value type; strong travel term,,,California Rodeo Salinas,northamerica/unitedstates/california/salinas/california_rodeo,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Salinas
europe/romania/deva,Deva,Deva,8,33,see,Saint Anthony Roman-Catholic Church,0.59,candidate,has description; high-value type; strong travel term,,,Museum of Dacian and Roman Civilisation,europe/romania/deva/museum_dacian_roman,0.459,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Deva
asia/taiwan/keelung,Keelung,Keelung,12,18,see,Gongzih Liao Fort,0.59,candidate,has description; high-value type; strong travel term,,,Zhongzheng Park,asia/taiwan/keelung/zhongzheng_park,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Keelung
asia/china/shaanxi/yan_an,Yan'an,Yan'an,4,20,see,Zaoyuan 枣园,0.59,candidate,has description; high-value type; strong travel term,,,Zaoyuan (Date Garden) Revolutionary Site,asia/china/shaanxi/yan_an/zaoyuan_revolutionary_site,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yan%27an
europe/spain/northernspain/astorga,Astorga,Astorga,6,15,see,Church of Santa Marta,0.59,candidate,has description; high-value type; strong travel term,,,Cathedral of Astorga,europe/spain/northernspain/astorga/catedral_de_astorga,0.537,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Astorga
northamerica/mexico/yucatan/chichen_itza,Chichen Itza,Chichen Itza,0,27,see,Temple of the Jaguars,0.59,candidate,has description; high-value type; strong travel term,,,,,0.0,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Chichen_Itza
europe/italy/sicily/caltabellotta,Caltabellotta,Caltabellotta,2,20,see,Former Church of San Paolo,0.59,candidate,has description; high-value type; strong travel term,,,Peace of Caltabellotta (1302),europe/italy/sicily/caltabellotta/peace_of_caltabellotta,0.417,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Caltabellotta
europe/italy/puglia/tremitiislands,Tremiti Islands,Tremiti Islands,4,14,see,San Domino,0.59,candidate,has description; high-value type; strong travel term,,,Grotta del Bue Marino,europe/italy/puglia/tremitiislands/grotta_del_bue_marino,0.37,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tremiti_Islands
southamerica/brazil/campinas,Campinas,Campinas,8,95,see,Electric Tram,0.59,candidate,has description; high-value type; strong travel term,,,Mercadão de Campinas,southamerica/brazil/campinas/mercadao_campinas,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Campinas
