world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/switzerland/lugano,Lugano,Lugano,7,47,see,Parco Civico,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.004534,8.956872,Piazza Cafes,europe/switzerland/lugano/piazza_cafes,0.544,0.456,0.38,has_external_url,http://www.lugano.ch/en/ambiente/welcome.cfm?catID=11003&docid=3AC2E7FF3E803268C1256A45003C16A5,https://en.wikivoyage.org/wiki/Lugano
europe/italy/lombardia/varese,Varese,Varese,7,35,see,Ville Ponti e Villa Panza,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.82507,8.83146,Liberty-Era Villas,europe/italy/lombardia/varese/villa_liberty,0.465,2.898,6.208,has_external_url,http://www.visitfai.it/villapanza/,https://en.wikivoyage.org/wiki/Varese
asia/jordan/irbid,Irbid,Irbid,4,7,see,Irbid Archaeological Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.557811,35.848022,Yarmouk University,asia/jordan/irbid/yarmouk_university,0.222,2.368,0.363,has_external_url,http://dam.gov.jo,https://en.wikivoyage.org/wiki/Irbid
europe/hungary/esztergom,Esztergom,Esztergom,6,86,see,St. Peter and Paul Church of Inner City Parish,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.79036,18.73815,Royal Palace Ruins,europe/hungary/esztergom/royal_palace_ruins,0.349,1.008,0.542,has_external_url,http://belvarosiesztergom.hu/,https://en.wikivoyage.org/wiki/Esztergom
europe/hungary/satoraljaujhely,Sátoraljaújhely,Sátoraljaújhely,4,94,see,Hollóháza Porcelain Industrial History Exhibition Site,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.53373,21.41929,Széphalom — Kazinczy Memorial House,europe/hungary/satoraljaujhely/szephalom,0.368,24.163,23.221,has_external_url,http://hollohazimuzeum.hu/,https://en.wikivoyage.org/wiki/S%C3%A1toralja%C3%BAjhely
northamerica/unitedstates/ohio/akron,Akron,Akron,16,72,see,First United Methodist Church of Akron,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.08062,-81.51012,Hower House Museum,northamerica/unitedstates/ohio/akron/hower_house,0.374,0.626,0.752,has_external_url,http://www.firstumcofakron.org/,https://en.wikivoyage.org/wiki/Akron
asia/thailand/ayutthaya,Ayutthaya,Ayutthaya,15,60,see,Portuguese Settlement,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,14.3339,100.57439,Wat Na Phra Men,asia/thailand/ayutthaya/wat_na_phra_men,0.278,3.833,2.541,has_external_url,http://www.ayutthaya-history.com/Settlements_Portuguese.html,https://en.wikivoyage.org/wiki/Ayutthaya
asia/turkey/ankara,Ankara,Ankara,13,116,see,Chess Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.9348,32.8633,Ethnography Museum,asia/turkey/ankara/ethnography_museum,0.533,1.82,1.748,has_external_url,https://www.gokyaysatrancvakfi.org.tr/,https://en.wikivoyage.org/wiki/Ankara
europe/france/aquitaine/saintes,Saintes,Saintes,6,93,see,Amphithéâtre gallo-Romain,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.74581,-0.64399,Cathédrale Saint-Pierre,europe/france/aquitaine/saintes/saintes_cathedral,0.468,0.951,0.904,has_external_url,https://www.facebook.com/amphitheatre.galloromain.saintes,https://en.wikivoyage.org/wiki/Saintes
northamerica/unitedstates/michigan/grandrapids,Grand Rapids,Grand Rapids,0,52,see,Grands Rapids Art Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.965,-85.6714,,,0.0,,0.322,has_external_url,http://www.artmuseumgr.org/,https://en.wikivoyage.org/wiki/Grand_Rapids
europe/hungary/mor,Mór,Mór,5,5,see,Bodajk,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.324,18.232,Lamberg Park,europe/hungary/mor/lamberg_park,0.222,5.903,5.612,has_external_url,http://www.bodajk.hu/,https://en.wikivoyage.org/wiki/M%C3%B3r
northamerica/unitedstates/oklahoma/tulsa,Tulsa,Tulsa,16,92,do,Tulsa Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.21375,-95.90483,Tulsa Flea Market,northamerica/unitedstates/oklahoma/tulsa/tulsa_flea_market,0.462,7.956,10.152,has_external_url,http://tulsazoo.org,https://en.wikivoyage.org/wiki/Tulsa
northamerica/unitedstates/kansas/wichita,Wichita,Wichita,5,41,see,The Wichita-Sedgwick County Historical Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.693889,-97.336944,Wichita Art Museum,northamerica/unitedstates/kansas/wichita/wichita_art_museum,0.542,1.68,0.191,has_external_url,http://www.wichitahistory.org,https://en.wikivoyage.org/wiki/Wichita
asia/china/shandong_province/dezhou,Dezhou,Dezhou,3,33,see,Dezhou Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.441395,116.350976,Dezhou Braised Chicken,asia/china/shandong_province/dezhou/dezhou_braised_chicken,0.514,3.772,3.772,has_external_url,http://dzsbwg.cn/,https://en.wikivoyage.org/wiki/Dezhou
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,see,Oldbury Court,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.4883,-2.5255,Stokes Croft,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/stokes_croft,0.4,5.72,6.281,has_external_url,https://www.bristol.gov.uk/museums-parks-sports-culture/oldbury-court-estate,https://en.wikivoyage.org/wiki/Bristol
europe/armenia/alaverdi,Alaverdi,Alaverdi,3,16,do,Alaverdi guides,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.08992,44.66774,Sanahin Bridge,europe/armenia/alaverdi/sanahin_bridge,0.483,1.32,2.029,has_external_url,https://www.alaverdiguides.com/,https://en.wikivoyage.org/wiki/Alaverdi
asia/china/hebei/chengde,Chengde,Chengde,9,11,see,Chengde Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.006474,117.943841,Putuo Zongcheng Temple,asia/china/hebei/chengde/putuo_zongcheng_temple,0.444,1.66,6.295,has_external_url,http://www.chdmuseum.cn/,https://en.wikivoyage.org/wiki/Chengde
europe/unitedkingdom/england/birmingham_and_west_midlands/staffordshire/wolverhampton,Wolverhampton,Wolverhampton,13,19,see,Boscobel House and The Royal Oak,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.670782,-2.245125,Old Town Hall,europe/unitedkingdom/england/birmingham_and_west_midlands/staffordshire/wolverhampton/old_town_hall,0.341,12.191,12.427,has_external_url,https://www.english-heritage.org.uk/visit/places/boscobel-house-and-the-royal-oak/,https://en.wikivoyage.org/wiki/Wolverhampton
australiaandpacific/newzealand/south_island/southland/fiordland/te_anau,Te Anau,Te Anau,6,18,see,Te Anau Bird Sanctuary,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-45.43302,167.71324,Te Anau Glowworm Caves,australiaandpacific/newzealand/south_island/southland/fiordland/te_anau/te_anau_glowworm_caves,0.545,7.498,2.087,has_external_url,https://www.doc.govt.nz/parks-and-recreation/places-to-go/fiordland/places/fiordland-national-park/places-to-go/lake-te-anau-area/punanga-manu-o-te-anau-te-anau-bird-sanctuary/,https://en.wikivoyage.org/wiki/Te_Anau
europe/ireland/ennis,Ennis,Ennis,8,15,see,Quin Abbey,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.8191,-8.8631,Cois na hAbhna,europe/ireland/ennis/cois_na_habhna,0.333,9.203,8.548,has_external_url,https://heritageireland.ie/unguided-sites/quin-franciscan-friary/,https://en.wikivoyage.org/wiki/Ennis
europe/unitedkingdom/england/south_east/ramsgate,Ramsgate,Ramsgate,6,29,see,Spitfire and Hurricane Memorial Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.3501,1.3497,Ramsgate Maritime Museum,europe/unitedkingdom/england/south_east/ramsgate/ramsgate_maritime_museum,0.484,5.457,5.199,has_external_url,http://www.spitfiremuseum.org.uk/,https://en.wikivoyage.org/wiki/Ramsgate
asia/philippines/san_juan,San Juan,San Juan (Metro Manila),6,48,see,Music Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,14.6027,121.051,Museo ng Katipunan,asia/philippines/san_juan/museo_ng_katipunan,0.333,2.125,2.278,has_external_url,http://www.musicmuseum.com.ph/music-museum-teatrino-concerts/,https://en.wikivoyage.org/wiki/San_Juan_%28Metro_Manila%29
europe/czechrepublic/ceskykrumlov,Český Krumlov,Český Krumlov,9,39,see,Zlatá Koruna monastery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.8559,14.3711,Český Krumlov Castle,europe/czechrepublic/ceskykrumlov/cesky_krumlov_castle,0.513,6.277,6.491,has_external_url,http://www.klaster-zlatakoruna.eu/en/,https://en.wikivoyage.org/wiki/%C4%8Cesk%C3%BD_Krumlov
asia/taiwan/tainan,Tainan,Tainan,18,56,see,Chimei Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.9344,120.2262,Tainan Art Museum,asia/taiwan/tainan/tainan_art_museum,0.533,6.685,7.599,has_external_url,http://www.chimeimuseum.org/ml/English/3/,https://en.wikivoyage.org/wiki/Tainan
northamerica/unitedstates/montana/missoula,Missoula,Missoula,6,38,see,Missoula Paddleheads,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.87335,-114.02797,Carousel for Missoula,northamerica/unitedstates/montana/missoula/carousel_missoula,0.39,2.822,2.51,has_external_url,https://gopaddleheads.com,https://en.wikivoyage.org/wiki/Missoula
europe/slovenia/ljubljana,Ljubljana,Ljubljana,26,111,do,Water City of Atlantis,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.063211,14.548656,City Museum of Ljubljana,europe/slovenia/ljubljana/city_museum,0.478,3.882,3.538,has_external_url,https://www.atlantis-vodnomesto.si/en/home,https://en.wikivoyage.org/wiki/Ljubljana
