world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/lowersaxony/goslar,Goslar,Goslar,13,36,do,Pure Air Resort Hahnenklee,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Großes Heiliges Kreuz,europe/germany/lowersaxony/goslar/grosses_heiliges_kreuz,0.426,,,missing_coordinates; has_external_url,http://www.hahnenklee.de/,https://en.wikivoyage.org/wiki/Goslar
europe/italy/trentinoaltoadige/bolzano,Bolzano,Bolzano,10,55,see,City Gallery,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Piazza Walther,europe/italy/trentinoaltoadige/bolzano/piazza_walther,0.462,,,missing_coordinates; has_external_url,http://www.gemeinde.bozen.it/cultura_context.jsp?hostmatch=true&area=48&ID_LINK=899,https://en.wikivoyage.org/wiki/Bolzano
europe/poland/poznan,Poznan,Poznań,12,96,see,Museum of Applied Arts,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Old Market Square,europe/poland/poznan/old_market_square,0.41,,,missing_coordinates; has_external_url,https://mnp.art.pl/en/the-museum-of-applied-arts-in-the-royal-castle-of-poznan,https://en.wikivoyage.org/wiki/Pozna%C5%84
northamerica/unitedstates/delaware/rehobothbeach,Rehoboth Beach,Rehoboth Beach,9,43,see,Martin's Lawn,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Funland,northamerica/unitedstates/delaware/rehobothbeach/funland,0.4,,,missing_coordinates; has_external_url,https://www.cityofrehoboth.com/visitors/parks-and-recreation,https://en.wikivoyage.org/wiki/Rehoboth_Beach
northamerica/unitedstates/massachusetts/provincetown,Provincetown,Provincetown,1,89,see,Provincetown/North Truro Shuttle,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Lobster Pot,northamerica/unitedstates/massachusetts/provincetown/lobster_pot,0.093,,,missing_coordinates; has_external_url,http://www.capecodtransit.org/ptown-route.htm,https://en.wikivoyage.org/wiki/Provincetown
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,do,Blaustrümpfler Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Kunstmuseum Stuttgart,europe/germany/badenwrttemberg/stuttgart/kunstmuseum_stuttgart,0.39,,,missing_coordinates; has_external_url,https://www.ssb-ag.de/erleben/wandern-mit-der-ssb/heslacher-blaustruempflerweg/,https://en.wikivoyage.org/wiki/Stuttgart
northamerica/unitedstates/colorado/coloradosprings,Colorado Springs,Colorado Springs,4,54,do,IVP at the Beach House Volleyball,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Seven Falls,northamerica/unitedstates/colorado/coloradosprings/seven_falls,0.35,,,missing_coordinates; has_external_url,https://www.ivpcolorado.com/volleyball,https://en.wikivoyage.org/wiki/Colorado_Springs
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,see,Propsteikirche St. Peter und Paul,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Rotisserie du Boeuf,europe/germany/northrhinewestphalia/bochum/rottisserie_du_boeuf,0.375,,,missing_coordinates; has_external_url,http://www.st-peter-paul-bochum.kirche-vor-ort.de/6047.html,https://en.wikivoyage.org/wiki/Bochum
europe/germany/badenwrttemberg/stuttgart,Stuttgart,Stuttgart,27,176,do,Hamburg Fish Market,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Porsche Museum,europe/germany/badenwrttemberg/stuttgart/porschemuseum,0.364,,,missing_coordinates; has_external_url,http://www.fischmarkt.events/stuttgart/,https://en.wikivoyage.org/wiki/Stuttgart
europe/france/normandybrittany/lesandelys,Les Andelys,Les Andelys,4,9,do,A Walk on the Seine Banks,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Seine Riverbank and Cliffs,europe/france/normandybrittany/lesandelys/seine_riverside,0.489,,,missing_coordinates; has_external_url,http://lesandelys.com/sightseeing/,https://en.wikivoyage.org/wiki/Les_Andelys
