world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/thuringia/erfurt,Erfurt,Erfurt,8,43,do,Egapark,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.9675,11.0078,Severikirche,europe/germany/thuringia/erfurt/severkirche,0.316,1.41,1.86,has_external_url,http://www.egapark-erfurt.de/,https://en.wikivoyage.org/wiki/Erfurt
northamerica/panama/panamacity,Panama City,Panama City,10,65,see,Canal Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,8.952,-79.53463,Panamá Viejo Ruins,northamerica/panama/panamacity/panama_viejo,0.414,7.578,3.748,has_external_url,http://museodelcanal.com/,https://en.wikivoyage.org/wiki/Panama_City
northamerica/canada/ontario/mississauga,Mississauga,Mississauga,19,58,see,Bradley Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.512087,-79.611498,Erindale Park,northamerica/canada/ontario/mississauga/erindale,0.37,6.473,8.872,has_external_url,https://www.discovermississauga.ca/see-and-do/item/bradley-museum,https://en.wikivoyage.org/wiki/Mississauga
northamerica/unitedstates/california/centralcoast/monterey,Monterey,Monterey (California),13,57,see,San Carlos Cathedral,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.595278,-121.889167,Monterey Museum of Art,northamerica/unitedstates/california/centralcoast/monterey/monterey_museum_of_art,0.531,0.469,0.737,has_external_url,https://sancarloscathedral.org/,https://en.wikivoyage.org/wiki/Monterey_%28California%29
europe/netherlands/heerlen,Heerlen,Heerlen,4,69,see,The Oliemolen,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.88418,5.986934,Thermenmuseum,europe/netherlands/heerlen/thermenmuseum,0.395,0.605,0.832,has_external_url,http://www.reesinkbv.nl/,https://en.wikivoyage.org/wiki/Heerlen
europe/hungary/veszprem,Veszprém,Veszprém,11,105,see,Our Lady of Hungary Parish - Mindszenty Memorial Church,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.0927,17.9205,Saint Stephen Viaduct,europe/hungary/veszprem/viaduct,0.297,0.799,0.949,has_external_url,http://veszpremiersekseg.hu/plebania-profil/8420/,https://en.wikivoyage.org/wiki/Veszpr%C3%A9m
asia/china/guangxi/chongzuo,Chongzuo,Chongzuo,4,22,see,Chongzuo Zhuang Nationality Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.3764,107.3579,Chongzuo Ecology Park,asia/china/guangxi/chongzuo/chongzuo_ecology_park,0.473,1.004,5.005,has_external_url,https://www.czzzbwg.cn/,https://en.wikivoyage.org/wiki/Chongzuo
northamerica/canada/britishcolumbia/courtenay,Courtenay,Courtenay,5,30,see,Kitty Coleman Woodland Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.78788,-125.00175,Filberg Heritage Lodge and Park,northamerica/canada/britishcolumbia/courtenay/filberg_park,0.393,13.467,10.959,has_external_url,https://woodlandgardens.ca/,https://en.wikivoyage.org/wiki/Courtenay
europe/moldova/orhei,Orhei,Orhei,3,9,see,Orheiland,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.3881,28.8288,Orhei History and Ethnography Museum,europe/moldova/orhei/orhei_history_museum,0.356,0.948,1.141,has_external_url,http://orheiland.md,https://en.wikivoyage.org/wiki/Orhei
europe/greece/poros,Poros,Poros,3,42,do,Love Bay Beach,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.515,23.438,Sanctuary of Poseidon,europe/greece/poros/sanctuary_of_poseidon,0.229,3.653,3.542,has_external_url,http://www.pocket-guide.gr/Beaches/Attica/Poros/Love_little_Port-50,https://en.wikivoyage.org/wiki/Poros
