world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/indonesia/java/salatiga,Salatiga,Salatiga,3,35,do,Saloka Theme Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-7.28067,110.45899,Alun-Alun Salatiga,asia/indonesia/java/salatiga/alun_alun,0.343,7.101,7.101,has_external_url,https://salokapark.com/,https://en.wikivoyage.org/wiki/Salatiga
northamerica/unitedstates/texas/amarillo,Amarillo,Amarillo,8,26,see,Jack Sisemore RV Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.0604,-101.91817,Panhandle-Plains Historical Museum,northamerica/unitedstates/texas/amarillo/panhandle_plains_museum,0.386,9.138,18.144,has_external_url,https://www.rvmuseum.net/,https://en.wikivoyage.org/wiki/Amarillo
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,do,Leigh Woods,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.4631,-2.6392,Balti Desh,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/baltidesh,0.476,3.204,3.082,has_external_url,https://www.nationaltrust.org.uk/leigh-woods,https://en.wikivoyage.org/wiki/Bristol
europe/austria/innsbruck,Innsbruck,Innsbruck,11,70,see,Imperial Hunters Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.2510307,11.4011413,Tyrolean State Museum (Ferdinandeum),europe/austria/innsbruck/tyrolean_state_museum,0.545,1.828,1.717,has_external_url,http://www.kaiserjaegermuseum.org,https://en.wikivoyage.org/wiki/Innsbruck
asia/china/shaanxi/xian,Xi'an,Xi'an,27,73,see,Daming Palace National Heritage Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.2895,108.9601,Big Wild Goose Pagoda,asia/china/shaanxi/xian/big_wild_goose_pagoda,0.386,7.339,2.692,has_external_url,http://www.dmgpark.com/,https://en.wikivoyage.org/wiki/Xi%27an
europe/russia/perm,Perm,Perm,7,21,see,PERMM (Perm Contemporary Art Museum),0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,58.0127,56.2789,Perm Central Mosque,europe/russia/perm/perm_mosque,0.417,3.025,2.779,has_external_url,http://www.permm.ru,https://en.wikivoyage.org/wiki/Perm
northamerica/canada/ontario/cobourg,Cobourg,Cobourg,6,21,see,Marie Dressler house,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.9594,-78.17451,Victoria Hall,northamerica/canada/ontario/cobourg/victoria_hall,0.463,0.537,0.538,has_external_url,http://www.mariedressler.ca/dressler-house,https://en.wikivoyage.org/wiki/Cobourg
europe/romania/bucharest,Bucharest,Bucharest,11,139,do,Opera Naţională,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,44.436046,26.07958,Dorobanți,europe/romania/bucharest/dorobanti,0.522,2.851,1.836,has_external_url,http://operanb.ro/,https://en.wikivoyage.org/wiki/Bucharest
asia/japan/hokkaido/hakodate,Hakodate,Hakodate,7,31,see,Seikan Ferry Memorial Museum Mashu-maru,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.77295,140.72191,Kanemori Red Brick Warehouses,asia/japan/hokkaido/hakodate/kanemori_warehouses,0.382,0.845,0.536,has_external_url,https://mashumaru.com,https://en.wikivoyage.org/wiki/Hakodate
europe/germany/bavaria/wurzburg,Würzburg,Würzburg,9,45,see,Käppele,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.78432,9.92181,Marienkapelle,europe/germany/bavaria/wurzburg/marienkapelle,0.5,1.28,1.203,has_external_url,http://www.kaeppele-wuerzburg.de/seiten/index.html,https://en.wikivoyage.org/wiki/W%C3%BCrzburg
europe/unitedkingdom/england/newcastle_and_north_east/northumberland/berwickontweed,Berwick-upon-Tweed,Berwick-upon-Tweed,6,14,see,Jim Clark Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.7777,-2.3486,Berwick Castle,europe/unitedkingdom/england/newcastle_and_north_east/northumberland/berwickontweed/berwick_castle,0.333,21.061,21.661,has_external_url,https://www.liveborders.org.uk/culture/museums/our-museums/jim-clark-motorsport-museum/,https://en.wikivoyage.org/wiki/Berwick-upon-Tweed
