world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/kentucky/bowlinggreen,Bowling Green,Bowling Green (Kentucky),9,44,do,Civil War Discovery Trail,0.59,candidate,has description; high-value type; strong travel term,,,Capitol Arts Center,northamerica/unitedstates/kentucky/bowlinggreen/capitol_arts_center,0.455,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bowling_Green_%28Kentucky%29
asia/syria/latakia,Latakia,Latakia,5,16,see,Church of the Sacred Heart of Jesus,0.59,candidate,has description; high-value type; strong travel term,,,Latakia Beaches,asia/syria/latakia/latakia_beaches,0.261,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Latakia
asia/india/gujarat/patan,Patan,Patan (Gujarat),13,23,see,Fort and Gates,0.59,candidate,has description; high-value type; strong travel term,,,Rani ki Vav,asia/india/gujarat/patan/rani_ki_vav,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Patan_%28Gujarat%29
southamerica/brazil/arraial_da_ajuda,Arraial da Ajuda,Arraial d'Ajuda,12,10,see,Lagoa Azul,0.59,candidate,has description; high-value type; strong travel term,,,Eco Parque,southamerica/brazil/arraial_da_ajuda/eco_parque_arraial,0.4,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Arraial_d%27Ajuda
europe/czechrepublic/ostrava,Ostrava,Ostrava,14,28,see,Slavic Gods statues,0.59,candidate,has description; high-value type; strong travel term,,,Stodolní Street,europe/czechrepublic/ostrava/stodolni_street,0.424,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ostrava
asia/thailand/kohphangan,Koh Phangan,Ko Pha-ngan,8,10,do,Herbal Sauna,0.59,candidate,has description; high-value type; strong travel term,,,Haad Son,asia/thailand/kohphangan/haad_son,0.5,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ko_Pha-ngan
europe/denmark/vejle,Vejle,Vejle,10,22,see,Tørskind Gravel Pit,0.59,candidate,has description; high-value type; strong travel term,,,Vejle Library,europe/denmark/vejle/vejle_library,0.312,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Vejle
asia/china/henan_province/xinxiang,Xinxiang,Xinxiang,4,36,do,Dingguo Lake Park,0.59,candidate,has description; high-value type; strong travel term,,,Guoliang Tunnel,asia/china/henan_province/xinxiang/guoliang_tunnel,0.375,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xinxiang
europe/spain/andalucia/nerja,Nerja,Nerja,13,35,see,El Salvador Church,0.59,candidate,has description; high-value type; strong travel term,,,Iglesia de El Salvador,europe/spain/andalucia/nerja/iglesia_el_salvador,0.516,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Nerja
asia/china/fujianprovince/fuzhou,Fuzhou,Fuzhou,9,76,see,Shangxiahang,0.59,candidate,has description; high-value type; strong travel term,,,Gushan (Drum Mountain),asia/china/fujianprovince/fuzhou/gushan,0.444,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Fuzhou
