world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/pecs,Pécs,Pécs,9,63,do,World Winesong festival:,0.59,candidate,has description; high-value type; has external URL,,,Early Christian Mausoleum,europe/hungary/pecs/early_christian_mausoleum,0.375,,,missing_coordinates; has_external_url,http://winesongfestival.hu/en,https://en.wikivoyage.org/wiki/P%C3%A9cs
asia/malaysia/sarawak/kuching,Kuching,Kuching,13,75,do,Traditional Batik-Making,0.59,candidate,has description; high-value type; has external URL,,,Bako National Park,asia/malaysia/sarawak/kuching/bako_national_park,0.476,,,missing_coordinates; has_external_url,http://www.kraftangan.gov.my,https://en.wikivoyage.org/wiki/Kuching
northamerica/canada/newbrunswick/fredericton,Fredericton,Fredericton,6,71,see,PAL Airlines,0.59,candidate,has description; high-value type; has external URL,,,Beaverbrook Art Gallery,northamerica/canada/newbrunswick/fredericton/beaverbrook_art_gallery,0.343,,,missing_coordinates; has_external_url,https://www.palairlines.ca,https://en.wikivoyage.org/wiki/Fredericton
northamerica/unitedstates/michigan/traverse_city,Traverse City,Traverse City,26,76,do,Jon's Guide Service,0.59,candidate,has description; high-value type; has external URL,,,Mode's Bum Steer,northamerica/unitedstates/michigan/traverse_city/mode_s,0.4,,,missing_coordinates; has_external_url,http://www.jonsguideservice.com,https://en.wikivoyage.org/wiki/Traverse_City
australiaandpacific/australia/newsouthwales/wollongong,Wollongong,Wollongong,8,68,do,Cycle,0.59,candidate,has description; high-value type; has external URL,,,Sea Cliff Bridge,australiaandpacific/australia/newsouthwales/wollongong/sea_cliff_bridge,0.286,,,missing_coordinates; has_external_url,http://www.tourismwollongong.com.au/includes/custom-controls/get-download.ashx?d=16,https://en.wikivoyage.org/wiki/Wollongong
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,see,Mexico,0.59,candidate,has description; high-value type; has external URL,,,Milktooth,northamerica/unitedstates/indiana/indianapolis/milktooth,0.4,,,missing_coordinates; has_external_url,http://consulmex.sre.gob.mx/indianapolis/,https://en.wikivoyage.org/wiki/Indianapolis
asia/thailand/bangkok,Bangkok,Bangkok,108,116,see,BK Magazine,0.59,candidate,has description; high-value type; has external URL,,,Lak Muang,asia/thailand/bangkok/lak_muang,0.5,,,missing_coordinates; has_external_url,http://bk.asia-city.com/,https://en.wikivoyage.org/wiki/Bangkok
asia/lebanon/beirut,Beirut,Beirut,52,43,see,Festival du cinéma francophone,0.59,candidate,has description; high-value type; has external URL,,,Al-Omari Grand Mosque,asia/lebanon/beirut/al_omari_mosque,0.458,,,missing_coordinates; has_external_url,https://www.metropoliscinema.net/page/home/,https://en.wikivoyage.org/wiki/Beirut
europe/germany/berlin,Berlin,Berlin,161,123,do,Berlinale – Berlin Film Festival,0.59,candidate,has description; high-value type; has external URL,,,Ultra Lounge Berlin,europe/germany/berlin/ultra_lounge,0.449,,,missing_coordinates; has_external_url,https://www.berlinale.de/en/home.html,https://en.wikivoyage.org/wiki/Berlin
europe/russia/moscow,Moscow,Moscow,32,143,see,Norway,0.59,candidate,has description; high-value type; has external URL,,,Gorky Park,europe/russia/moscow/gorky_park,0.375,,,missing_coordinates; has_external_url,https://www.norway.no/ru/russia/for-nordmenn/om-ambassaden/,https://en.wikivoyage.org/wiki/Moscow
northamerica/unitedstates/mississippi/natchez,Natchez,Natchez,12,23,see,Antebellum Houses,0.59,candidate,has description; high-value type; has external URL,,,Stanton Hall,northamerica/unitedstates/mississippi/natchez/stanton_hall,0.345,,,missing_coordinates; has_external_url,https://www.natchez.com/historic-homes,https://en.wikivoyage.org/wiki/Natchez
europe/denmark/aalborg,Aalborg,Aalborg,5,49,do,Aalborg Karnival,0.59,candidate,has description; high-value type; has external URL,,,Lindholm Høje,europe/denmark/aalborg/lindholm_hoje,0.207,,,missing_coordinates; has_external_url,http://www.aalborgkarneval.dk/en/,https://en.wikivoyage.org/wiki/Aalborg
europe/unitedkingdom/wales/swansea,Swansea,Swansea,33,323,do,World Triathlon Para Series and Ironman 70.3,0.59,candidate,has description; high-value type; has external URL,,,National Waterfront Museum,europe/unitedkingdom/wales/swansea/national_waterfront_museum,0.343,,,missing_coordinates; has_external_url,https://www.ironman.com/races/im703-swansea,https://en.wikivoyage.org/wiki/Swansea
asia/indonesia/kalimantan/balikpapan,Balikpapan,Balikpapan,4,33,see,Susi Air,0.59,candidate,has description; high-value type; has external URL,,,Bukit Bangkirai Rainforest,asia/indonesia/kalimantan/balikpapan/bukit_bangkirai,0.353,,,missing_coordinates; has_external_url,http://www.susiair.com,https://en.wikivoyage.org/wiki/Balikpapan
europe/france/midi/cotedazur/nice,Nice,Nice,42,76,do,Train des Pignes,0.59,candidate,has description; high-value type; has external URL,,,Opéra de Nice,europe/france/midi/cotedazur/nice/nice_opera,0.455,,,missing_coordinates; has_external_url,https://www.cpzou.fr/train-des-pignes-vapeur/,https://en.wikivoyage.org/wiki/Nice
