world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/sopron,Sopron,Sopron,9,234,see,St. Emeric Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.69288,16.57651,Goat Church (Kecske-templom),europe/hungary/sopron/goat_church,0.593,1.118,2.151,has_external_url,http://www.szentimre.sopron.hu,https://en.wikivoyage.org/wiki/Sopron
africa/southafrica/kimberley,Kimberley,Kimberley (Northern Cape),7,22,see,Big Hole and Open Mine Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-28.739,24.755,The Big Hole,africa/southafrica/kimberley/big_hole,0.62,0.38,0.9,has_external_url,http://www.thebighole.co.za,https://en.wikivoyage.org/wiki/Kimberley_%28Northern_Cape%29
europe/hungary/debrecen,Debrecen,Debrecen,17,130,see,Debrecen Literary Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.5394,21.61538,Déri Museum,europe/hungary/debrecen/deri_museum,0.571,0.811,1.195,has_external_url,https://www.derimuzeum.hu/,https://en.wikivoyage.org/wiki/Debrecen
northamerica/unitedstates/newyorkstate/buffalo,Buffalo,Buffalo,20,84,see,Buffalo Religious Arts Center,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.936062,-78.900714,Buffalo AKG Art Museum,northamerica/unitedstates/newyorkstate/buffalo/albright_knox,0.588,1.961,5.818,has_external_url,http://www.buffaloreligiousarts.org,https://en.wikivoyage.org/wiki/Buffalo
europe/hungary/sopron,Sopron,Sopron,9,234,see,St. Stephen Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.6796,16.59713,Goat Church (Kecske-templom),europe/hungary/sopron/goat_church,0.571,1.058,0.12,has_external_url,http://szentistvansopron.hu,https://en.wikivoyage.org/wiki/Sopron
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,do,Winnipeg Goldeyes,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.89377,-97.13284,Canadian Museum for Human Rights,northamerica/canada/manitoba/winnipeg/human_rights_museum,0.603,0.397,0.448,has_external_url,http://www.goldeyes.com,https://en.wikivoyage.org/wiki/Winnipeg
northamerica/unitedstates/california/santa_barbara,Santa Barbara,Santa Barbara,17,107,see,Santa Barbara Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.4194,-119.665,Santa Barbara Botanic Garden,northamerica/unitedstates/california/santa_barbara/botanic_garden,0.667,5.774,3.471,has_external_url,http://www.sbzoo.org,https://en.wikivoyage.org/wiki/Santa_Barbara
europe/germany/brandenburg/cottbus,Cottbus,Cottbus,6,43,see,Dieselkraftwerk Kunstmuseum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.759404,14.338848,Wendish Museum,europe/germany/brandenburg/cottbus/wendish_museum,0.696,0.304,0.365,has_external_url,http://www.museum-dkw.de,https://en.wikivoyage.org/wiki/Cottbus
northamerica/mexico/mexicali,Mexicali,Mexicali,10,68,see,Parque Vicente Guerrero,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.65267,-115.47116,Plaza de los Tres Poderes,northamerica/mexico/mexicali/plaza_tres_poderes,0.685,0.315,3.579,has_external_url,https://www.facebook.com/PARQUEVICENTEGUERRERO/,https://en.wikivoyage.org/wiki/Mexicali
asia/china/hainanisland/sanya,Sanya,Sanya,22,19,see,West Island,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,18.235516,109.370313,Phoenix Island,asia/china/hainanisland/sanya/phoenix_island,0.64,12.7,14.195,has_external_url,http://www.syxidao.com/en/home,https://en.wikivoyage.org/wiki/Sanya
asia/turkey/trabzon,Trabzon,Trabzon,5,75,see,Science Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.0113,39.7197,Trabzon Museum,asia/turkey/trabzon/trabzon_museum,0.571,0.903,1.042,has_external_url,https://bilimtrabzon.org/,https://en.wikivoyage.org/wiki/Trabzon
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/richmond_yorks,Richmond,Richmond (North Yorkshire),9,12,see,Middleham Castle,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.2821,-1.8065,Richmond Castle,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/richmond_yorks/richmond_castle,0.645,14.029,14.358,has_external_url,https://www.english-heritage.org.uk/visit/places/middleham-castle/,https://en.wikivoyage.org/wiki/Richmond_%28North_Yorkshire%29
europe/switzerland/rapperswil,Rapperswil,Rapperswil,4,20,do,Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.223652,8.821989,Rapperswil Castle,europe/switzerland/rapperswil/rapperswil_castle,0.561,0.439,0.339,has_external_url,http://www.knieskinderzoo.ch/zoocute/homepage/,https://en.wikivoyage.org/wiki/Rapperswil
europe/unitedkingdom/scotland/shetland/unst,Unst,Unst,6,20,see,Unst Heritage Centre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.79177,-0.83519,Haroldswick Heritage Centre and Boat Haven,europe/unitedkingdom/scotland/shetland/unst/haroldswick,0.576,0.424,4.875,has_external_url,http://www.unstheritage.com/web/unst-heritage-centre/,https://en.wikivoyage.org/wiki/Unst
northamerica/unitedstates/ohio/hudson,Hudson,Hudson (Ohio),4,19,do,Hudson Springs Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.2501,-81.4018,Hudson Historic District,northamerica/unitedstates/ohio/hudson/hudson_historic_district,0.558,3.43,3.449,has_external_url,https://www.hudson.oh.us/Facilities/Facility/Details/4,https://en.wikivoyage.org/wiki/Hudson_%28Ohio%29
europe/finland/tampere,Tampere,Tampere,61,207,see,Messukylä Old Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,61.4838,23.8483,Tampere Orthodox Church,europe/finland/tampere/tampere_orthodox_chu,0.571,4.393,4.856,has_external_url,http://www.tampereenseurakunnat.fi/kirkot/messukyla_vanha,https://en.wikivoyage.org/wiki/Tampere
northamerica/unitedstates/virginia/virginiabeach,Virginia Beach,Virginia Beach,7,35,do,Virginia Beach Amphitheater,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.769192,-76.103977,The Virginia Beach Craft Beer Scene,northamerica/unitedstates/virginia/virginiabeach/birdneck_point_brewing,0.69,,14.481,has_external_url,http://www.virginiabeachamphitheater.com/,https://en.wikivoyage.org/wiki/Virginia_Beach
northamerica/canada/saskatchewan/saskatoon,Saskatoon,Saskatoon,6,72,do,Eco Glide Adventures,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.126883,-106.658097,Ayden Kitchen and Bar,northamerica/canada/saskatchewan/saskatoon/ayden_kitchen_and_bar,0.597,0.403,0.577,has_external_url,http://ecoglideadventures.com/adventure-tours/,https://en.wikivoyage.org/wiki/Saskatoon
europe/albania/tirana,Tirana,Tirana,52,117,see,Bektashism Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.33138,19.85008,National History Museum,europe/albania/tirana/national_history_museum,0.55,2.709,2.666,has_external_url,https://kryegjyshataboterorebektashiane.org/en/home-2/,https://en.wikivoyage.org/wiki/Tirana
europe/germany/northrhinewestphalia/cologne,Cologne,Cologne,17,152,see,St. George's Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.931836,6.956867,Chocolate Museum (Schokoladenmuseum),europe/germany/northrhinewestphalia/cologne/schokoladenmuseum,0.681,0.319,0.758,has_external_url,https://www.katholisch-in-koeln.de/ueber-uns/st-georg/index.html,https://en.wikivoyage.org/wiki/Cologne
europe/serbia/kosovoprovince/pristina,Pristina,Pristina,20,107,see,Bear Sanctuary Pristina,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.637948,21.260015,Bazaar of Pristina,europe/serbia/kosovoprovince/pristina/bazaar_of_pristina,0.634,8.409,8.213,has_external_url,https://www.bearsanctuary-prishtina.org/,https://en.wikivoyage.org/wiki/Pristina
asia/china/hebei/tangshan,Tangshan,Tangshan,3,37,see,Tangshan Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.629178,118.18613,Tangshan Earthquake Memorial Museum,asia/china/hebei/tangshan/earthquake_memorial,0.6,3.726,3.646,has_external_url,https://www.tsmuseum.com/,https://en.wikivoyage.org/wiki/Tangshan
australiaandpacific/australia/queensland/brisbane,Brisbane,Brisbane,21,164,do,Crowbar,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-27.45774,153.03595,Fortitude Valley,australiaandpacific/australia/queensland/brisbane/fortitude_valley,0.668,0.332,1.774,has_external_url,https://crowbarbrisbane.com/,https://en.wikivoyage.org/wiki/Brisbane
northamerica/unitedstates/massachusetts/worcester,Worcester,Worcester (Massachusetts),20,108,see,Massachusetts Vietnam Veterans' War Memorial,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.2811,-71.7837,Bancroft Tower,northamerica/unitedstates/massachusetts/worcester/bancroft_tower,0.626,0.374,2.547,has_external_url,http://www.massvvm.org/,https://en.wikivoyage.org/wiki/Worcester_%28Massachusetts%29
