world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/india/daman,Daman,Daman (India),0,17,do,Devka Beach,0.81,candidate,has coordinates; high-value type; strong travel term,20.44646,72.83263,,,0.0,,5.455,needs_external_source,,https://en.wikivoyage.org/wiki/Daman_%28India%29
asia/india/maharashtra/ellora,Ellora,Ellora,0,9,see,Kailasanatha temple,0.81,candidate,has coordinates; high-value type; strong travel term,20.023889,75.179167,,,0.0,,1.683,needs_external_source,,https://en.wikivoyage.org/wiki/Ellora
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/scarborough,Scarborough,Scarborough,7,25,see,Peasholm Park,0.81,candidate,has coordinates; high-value type; strong travel term,54.29,-0.411,Grand Hotel,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/scarborough/grand_hotel,0.333,1.343,1.094,needs_external_source,,https://en.wikivoyage.org/wiki/Scarborough
europe/netherlands/aalsmeer,Aalsmeer,Aalsmeer,3,5,see,Petting zoo Boerenvreugd,0.81,candidate,has coordinates; high-value type; strong travel term,52.255562,4.772193,Westeinderplassen,europe/netherlands/aalsmeer/westeinderplassen,0.39,2.719,2.005,needs_external_source,,https://en.wikivoyage.org/wiki/Aalsmeer
northamerica/unitedstates/california/santa_cruz,Santa Cruz,Santa Cruz (California),10,63,do,It's Beach,0.81,candidate,has coordinates; high-value type; strong travel term,36.95205,-122.02943,Steamer Lane,northamerica/unitedstates/california/santa_cruz/steamer_lane,0.545,0.455,2.481,needs_external_source,,https://en.wikivoyage.org/wiki/Santa_Cruz_%28California%29
europe/hungary/esztergom,Esztergom,Esztergom,6,86,do,Loggia Cave,0.81,candidate,has coordinates; high-value type; strong travel term,47.75996,18.79452,Dark Gate,europe/hungary/esztergom/dark_gate,0.4,6.115,4.961,needs_external_source,,https://en.wikivoyage.org/wiki/Esztergom
europe/albania/saranda,Saranda,Sarandë,11,25,see,Ruins of a 5th-century synagogue,0.81,candidate,has coordinates; high-value type; strong travel term,39.87453,20.0068,Forty Saints Monastery,europe/albania/saranda/forty_saints_monastery,0.308,1.298,0.08,needs_external_source,,https://en.wikivoyage.org/wiki/Sarand%C3%AB
europe/estonia/paldiski,Paldiski,Paldiski,1,29,see,memorial,0.81,candidate,has coordinates; high-value type; strong travel term,59.33006,24.17014,Eating Out,europe/estonia/paldiski/eating_out,0.222,6.704,6.744,needs_external_source,,https://en.wikivoyage.org/wiki/Paldiski
asia/malaysia/kotakinabalu,Kota Kinabalu,Kota Kinabalu,15,115,see,Puh Toh Tze Chinese Temple,0.81,candidate,has coordinates; high-value type; strong travel term,5.991967,116.116523,Tunku Abdul Rahman Marine Park,asia/malaysia/kotakinabalu/tunku_abdul_rahman_park,0.321,8.131,5.068,needs_external_source,,https://en.wikivoyage.org/wiki/Kota_Kinabalu
europe/romania/curtea_de_arges,Curtea de Arges,Curtea de Argeș,4,17,see,Curtea de Arges City Museum. Ethnography and Folk Art Department,0.81,candidate,has coordinates; high-value type; strong travel term,45.143767,24.674963,Curtea de Arges Cathedral,europe/romania/curtea_de_arges/a_national_legend,0.463,0.595,0.394,needs_external_source,,https://en.wikivoyage.org/wiki/Curtea_de_Arge%C8%99
