world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/northcarolina/wilmington,Wilmington,Wilmington (North Carolina),9,43,see,EUE / Screen Gems Studio,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.25354,-77.92038,Cape Fear Serpentarium,northamerica/unitedstates/northcarolina/wilmington/cape_fear_serpentarium,0.318,2.565,3.817,has_external_url,http://euescreengems.com/,https://en.wikivoyage.org/wiki/Wilmington_%28North_Carolina%29
europe/france/around_paris/fontainebleau,Fontainebleau,Fontainebleau,11,10,do,Le Grand Parquet,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.3922,2.6723,Café de la Place,europe/france/around_paris/fontainebleau/cafe_de_la_paix_fontainebleau,0.455,2.608,2.585,has_external_url,http://www.grand-parquet.com,https://en.wikivoyage.org/wiki/Fontainebleau
europe/germany/hessen/kassel,Kassel,Kassel,19,95,see,Klosterkirche Nordshausen,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.2803,9.43293,Karlskirche,europe/germany/hessen/kassel/karlskirche,0.444,5.535,5.995,has_external_url,http://www.klosterkirche-nordshausen.de/,https://en.wikivoyage.org/wiki/Kassel
northamerica/unitedstates/southcarolina/columbia,Columbia,Columbia (South Carolina),14,35,see,Edventure Children's Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.99723,-81.048086,South Carolina State Museum,northamerica/unitedstates/southcarolina/columbia/south_carolina_state_museum,0.519,0.919,1.248,has_external_url,https://edventure.org/columbia,https://en.wikivoyage.org/wiki/Columbia_%28South_Carolina%29
europe/germany/rhinelandpalatinate/kaiserslautern,Kaiserslautern,Kaiserslautern,10,21,see,Zoo,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.466121,7.681364,Fritz Walter Stadion,europe/germany/rhinelandpalatinate/kaiserslautern/fritz_walter_stadion,0.174,8.691,6.827,has_external_url,http://www.zoo-kl.de,https://en.wikivoyage.org/wiki/Kaiserslautern
northamerica/unitedstates/florida/keylargo,Key Largo,Key Largo,4,21,see,Dagny Johnson Key Largo Hammock Botanical State Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,25.176168,-80.369714,John Pennekamp Coral Reef State Park,northamerica/unitedstates/florida/keylargo/john_pennekamp_park,0.523,12.666,12.719,has_external_url,https://www.floridastateparks.org/park/Key-Largo-Hammock,https://en.wikivoyage.org/wiki/Key_Largo
asia/southkorea/dae_gu,Daegu,Daegu,7,73,see,E-World and 83 Tower,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.853304,128.564378,Gyeongsang-gamyeong Park,asia/southkorea/dae_gu/gyeongsang_gamyeong_park,0.318,3.285,3.896,has_external_url,http://www.eworld.kr/main/main.htm,https://en.wikivoyage.org/wiki/Daegu
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/tavistock,Tavistock,Tavistock,9,10,see,The Garden House,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.495,-4.122,Lydford Gorge,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/tavistock/lydford_gorge,0.4,16.609,6.307,has_external_url,https://www.thegardenhouse.org.uk/,https://en.wikivoyage.org/wiki/Tavistock
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,see,Bellahouston Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.8438,-4.31732,Kelvingrove Park,europe/unitedkingdom/scotland/glasgow/kelvingrove_park,0.485,3.409,4.614,has_external_url,https://www.ski-glasgow.co.uk/,https://en.wikivoyage.org/wiki/Glasgow
northamerica/unitedstates/washington/bellevue,Bellevue,Bellevue,12,38,do,Lake Hills Greenbelt,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.60362,-122.13838,KidsQuest Children's Museum,northamerica/unitedstates/washington/bellevue/kidsquest_childrens_museum,0.426,4.7,4.22,has_external_url,https://bellevuewa.gov/city-government/departments/parks/parks-and-trails/parks/lake-hills-greenbelt,https://en.wikivoyage.org/wiki/Bellevue
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,see,Plug In Institute of Contemporary Art,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.89041,-97.15131,Royal Manitoba Theatre Centre,northamerica/canada/manitoba/winnipeg/royal_manitoba_theatre_centre,0.364,1.411,1.083,has_external_url,http://www.plugin.org,https://en.wikivoyage.org/wiki/Winnipeg
northamerica/unitedstates/northcarolina/durham,Durham,Durham (North Carolina),19,50,see,Historic Stagville,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,36.13216,-78.82066,Eno River State Park,northamerica/unitedstates/northcarolina/durham/eno_river_state_park,0.421,17.288,16.74,has_external_url,https://historicsites.nc.gov/all-sites/historic-stagville,https://en.wikivoyage.org/wiki/Durham_%28North_Carolina%29
northamerica/unitedstates/northdakota/bismarck,Bismarck,Bismarck,5,33,see,Camp Hancock,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.805278,-100.791667,Keelboat Park,northamerica/unitedstates/northdakota/bismarck/keelboat_park,0.361,0.639,0.692,has_external_url,http://history.nd.gov/historicsites/hancock/hancockhistory.html,https://en.wikivoyage.org/wiki/Bismarck
northamerica/unitedstates/arizona/williams,Williams,Williams (Arizona),4,17,do,Wild West Junction,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,35.251768,-112.18494,Grand Canyon Railway,northamerica/unitedstates/arizona/williams/grand_canyon_railway,0.429,0.571,0.588,has_external_url,http://www.wildwestjunction.com,https://en.wikivoyage.org/wiki/Williams_%28Arizona%29
northamerica/unitedstates/rhodeisland/newport,Newport,Newport (Rhode Island),10,111,see,Naval War College Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.506667,-71.328889,Marble House,northamerica/unitedstates/rhodeisland/newport/marble_house,0.444,5.319,2.876,has_external_url,https://usnwc.edu/nwc-museum,https://en.wikivoyage.org/wiki/Newport_%28Rhode_Island%29
northamerica/unitedstates/arizona/prescott,Prescott,Prescott,12,23,see,The Phippen Museum of Western Art,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,34.623359,-112.425634,Museum of Indigenous People,northamerica/unitedstates/arizona/prescott/museum_of_indigenous_people,0.429,9.391,10.078,has_external_url,http://www.phippenartmuseum.org/,https://en.wikivoyage.org/wiki/Prescott
