world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/newyorkstate/adirondacks/plattsburgh,Plattsburgh,Plattsburgh,11,30,see,Treadwell Bay Marina & Resort,0.51,candidate,high-value type; has external URL,,,Saranac River Trail,northamerica/unitedstates/newyorkstate/adirondacks/plattsburgh/saranac_river_trail,0.36,,,missing_coordinates; has_external_url,http://www.treadwellbay.com,https://en.wikivoyage.org/wiki/Plattsburgh
northamerica/thecaribbean/cuba/havana,Havana,Havana,77,61,see,Mexico,0.51,candidate,high-value type; has external URL,,,El Malecón,northamerica/thecaribbean/cuba/havana/malecn,0.462,,,missing_coordinates; has_external_url,https://consulmex.sre.gob.mx/la-habana/,https://en.wikivoyage.org/wiki/Havana
africa/southafrica/pretoria,Pretoria,Pretoria,12,120,see,Republic of the Congo,0.51,candidate,high-value type; has external URL,,,Melrose House,africa/southafrica/pretoria/melrose_house,0.333,,,missing_coordinates; has_external_url,http://www.embassyofcongo.co.za,https://en.wikivoyage.org/wiki/Pretoria
northamerica/unitedstates/minnesota/minneapolis,Minneapolis,Minneapolis,49,18,see,Mexico,0.51,candidate,high-value type; has external URL,,,Surly Brewing Co.,northamerica/unitedstates/minnesota/minneapolis/surly_brewing,0.364,,,missing_coordinates; has_external_url,http://www.sre.gob.mx/saintpaul,https://en.wikivoyage.org/wiki/Minneapolis
southamerica/brazil/saopaulo,São Paulo,São Paulo,31,48,see,Israel,0.51,candidate,high-value type; has external URL,,,Pirajá,southamerica/brazil/saopaulo/piraja,0.545,,,missing_coordinates; has_external_url,http://embassies.gov.il/sao-paulo/Pages/default.aspx,https://en.wikivoyage.org/wiki/S%C3%A3o_Paulo
africa/egypt/sharmelsheikh,Sharm el-Sheikh,Sharm el-Sheikh,20,36,do,Ocean College,0.51,candidate,high-value type; has external URL,,,Heavenly Cathedral,africa/egypt/sharmelsheikh/heavenly_cathedral,0.387,,,missing_coordinates; has_external_url,http://www.ocean-college.com/,https://en.wikivoyage.org/wiki/Sharm_el-Sheikh
africa/gambia/banjul,Banjul,Banjul,6,17,see,Nigeria,0.51,candidate,high-value type; has external URL,,,African Heritage Museum,africa/gambia/banjul/african_heritage_museum,0.333,,,missing_coordinates; has_external_url,https://banjul.foreignaffairs.gov.ng/,https://en.wikivoyage.org/wiki/Banjul
europe/unitedkingdom/england/london,London,London,76,205,see,Senegal,0.51,candidate,high-value type; has external URL,,,Mangal 2,europe/unitedkingdom/england/london/mangal_2,0.533,,,missing_coordinates; has_external_url,https://www.rbkc.gov.uk/contactsdirectory/az.aspx?searchletter=g&orgid=5236,https://en.wikivoyage.org/wiki/London
europe/hungary/sopron,Sopron,Sopron,9,234,do,Loverek tourist routes,0.51,candidate,high-value type; has external URL,,,Corvinus Restaurant,europe/hungary/sopron/corvinus_restaurant,0.39,,,missing_coordinates; has_external_url,http://www.sopronikirandulas.hu/sopron/loverek_turistautvonalai.html,https://en.wikivoyage.org/wiki/Sopron
asia/china/sichuanprovince/chengdu,Chengdu,Chengdu,44,95,see,Thailand,0.51,candidate,high-value type; has external URL,,,Leshan Giant Buddha (day trip),asia/china/sichuanprovince/chengdu/leshan_giant_buddha,0.444,,,missing_coordinates; has_external_url,http://www.thaichengdu.com,https://en.wikivoyage.org/wiki/Chengdu
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,see,Opti,0.51,candidate,high-value type; has external URL,,,Podil,europe/ukraine/kyiv/podil,0.444,,,missing_coordinates; has_external_url,https://opti.global/en/,https://en.wikivoyage.org/wiki/Kyiv
africa/nigeria/abuja,Abuja,Abuja,10,57,see,Serbia,0.51,candidate,high-value type; has external URL,,,Wuse Market,africa/nigeria/abuja/wuse_market,0.353,,,missing_coordinates; has_external_url,http://www.abuja.mfa.gov.rs/,https://en.wikivoyage.org/wiki/Abuja
northamerica/unitedstates/california/sanfrancisco,San Francisco,San Francisco,93,62,see,Singapore,0.51,candidate,high-value type; has external URL,,,Mission Dolores,northamerica/unitedstates/california/sanfrancisco/mission_dolores,0.5,,,missing_coordinates; has_external_url,https://www.mfa.gov.sg/sanfrancisco,https://en.wikivoyage.org/wiki/San_Francisco
europe/netherlands/thehague,The Hague,The Hague,16,165,see,Portugal,0.51,candidate,high-value type; has external URL,,,Panorama Mesdag,europe/netherlands/thehague/panorama_mesdag,0.348,,,missing_coordinates; has_external_url,https://www.haia.embaixadaportugal.mne.pt/pt/,https://en.wikivoyage.org/wiki/The_Hague
northamerica/canada/britishcolumbia/langley,Langley,Langley (British Columbia),4,33,see,Langley Advance Times,0.51,candidate,high-value type; has external URL,,,Fort Langley National Historic Site,northamerica/canada/britishcolumbia/langley/fort_langley_national_historic_site,0.429,,,missing_coordinates; has_external_url,https://www.langleyadvancetimes.com/,https://en.wikivoyage.org/wiki/Langley_%28British_Columbia%29
europe/bosniaandherzegovina/sarajevo,Sarajevo,Sarajevo,42,173,see,Montenegro,0.51,candidate,high-value type; has external URL,,,Mount Trebević,europe/bosniaandherzegovina/sarajevo/trebevic_mountain,0.435,,,missing_coordinates; has_external_url,http://www.mvp.gov.ba/ambasade_konzulati_misije/ambasade_u_bih/,https://en.wikivoyage.org/wiki/Sarajevo
asia/vietnam/hanoi,Hanoi,Hanoi,46,144,do,Học Viện Ẩm Thực,0.51,candidate,high-value type; has external URL,,,Cha Ca La Vong,asia/vietnam/hanoi/cha_ca_la_vong,0.462,,,missing_coordinates; has_external_url,http://www.hocvienamthuc.com/,https://en.wikivoyage.org/wiki/Hanoi
europe/ukraine/kherson,Kherson,Kherson,5,9,see,E-wings,0.51,candidate,high-value type; has external URL,,,Kherson Fortress Ruins,europe/ukraine/kherson/kherson_fortress,0.345,,,missing_coordinates; has_external_url,https://e-wings.com.ua,https://en.wikivoyage.org/wiki/Kherson
northamerica/guatemala/guatemalacity,Guatemala City,Guatemala City,12,76,see,Colombia,0.51,candidate,high-value type; has external URL,,,Torre del Reformador,northamerica/guatemala/guatemalacity/torre_del_reformador,0.333,,,missing_coordinates; has_external_url,http://guatemala.consulado.gov.co/,https://en.wikivoyage.org/wiki/Guatemala_City
asia/northkorea/pyongyang,Pyongyang,Pyongyang,6,67,see,Romania,0.51,candidate,high-value type; has external URL,,,Moranbong Park,asia/northkorea/pyongyang/moranbong_park,0.381,,,missing_coordinates; has_external_url,https://mae.ro/romanian-missions/3177#769,https://en.wikivoyage.org/wiki/Pyongyang
southamerica/chile/laserena,La Serena,La Serena,16,30,do,Cerro Tololo Inter-American Observatory,0.51,candidate,high-value type; has external URL,,,Mercado La Recova,southamerica/chile/laserena/mercado_la_recova,0.34,,,missing_coordinates; has_external_url,http://www.ctio.noao.edu,https://en.wikivoyage.org/wiki/La_Serena
europe/norway/oslo,Oslo,Oslo,26,88,see,Romania,0.51,candidate,high-value type; has external URL,,,Maaemo,europe/norway/oslo/maaemo,0.462,,,missing_coordinates; has_external_url,http://oslo.mae.ro/en,https://en.wikivoyage.org/wiki/Oslo
europe/germany/northrhinewestphalia/duisburg,Duisburg,Duisburg,8,22,do,Duisburg Philharmonic Orchestra,0.51,candidate,high-value type; has external URL,,,Landschaftspark Duisburg-Nord,europe/germany/northrhinewestphalia/duisburg/landschaftspark,0.4,,,missing_coordinates; has_external_url,http://www.duisburger-philharmoniker.de/,https://en.wikivoyage.org/wiki/Duisburg
