world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/arizona/tucson,Tucson,Tucson,66,113,see,San Pedro Chapel,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.26075,-110.880907,El Güero Canelo,northamerica/unitedstates/arizona/tucson/el_guero_canelo,0.643,12.895,9.787,has_external_url,http://sanpedrochapel.com/,https://en.wikivoyage.org/wiki/Tucson
europe/netherlands/lochem,Lochem,Lochem,7,9,see,Huis Verwolde,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.2004,6.3922,Kasteel Verwolde,europe/netherlands/lochem/verwolde_castle,0.69,2.464,4.612,has_external_url,https://www.glk.nl/landschap-kastelen/kastelen/huis-verwolde,https://en.wikivoyage.org/wiki/Lochem
asia/china/guangxi/nanning,Nanning,Nanning,8,39,see,Yongjiang Inlet Art Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.7964955195,108.4818393952,Guangxi Museum,asia/china/guangxi/nanning/guangxi_museum,0.6,16.611,17.298,has_external_url,http://www.yjw-arts.com/,https://en.wikivoyage.org/wiki/Nanning
europe/armenia/yerevan,Yerevan,Yerevan,53,133,do,Yerevan Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.196,44.5505,Yerevan Opera Theatre,europe/armenia/yerevan/opera_house,0.562,3.239,3.806,has_external_url,http://yerevanzoo.am/,https://en.wikivoyage.org/wiki/Yerevan
europe/ukraine/vinnista,Vinnytsia,Vinnytsia,7,92,do,Podillia Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.2705,28.47723,Podillya Dendropark,europe/ukraine/vinnista/podillya_dendropark,0.581,7.173,4.21,has_external_url,https://zoo.vn.ua/,https://en.wikivoyage.org/wiki/Vinnytsia
europe/germany/bavaria/bayreuth,Bayreuth,Bayreuth,8,76,see,German Freemason Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.94141,11.58093,Stadtkirche (City Church),europe/germany/bavaria/bayreuth/stadtkirche,0.573,0.427,0.587,has_external_url,http://www.freimaurermuseum.de/,https://en.wikivoyage.org/wiki/Bayreuth
europe/unitedkingdom/scotland/aberdeen,Aberdeen,Aberdeen,17,83,see,Cruikshank Botanic Garden,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,57.16798,-2.10454,King's College Chapel,europe/unitedkingdom/scotland/aberdeen/kings_college,0.579,0.421,2.306,has_external_url,https://www.abdn.ac.uk/about/campus/cruickshank-botanic-garden.php,https://en.wikivoyage.org/wiki/Aberdeen
europe/italy/piemonte/turin,Turin,Turin,55,105,see,Castello di Rivoli,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.0697,7.5104,Castello del Valentino,europe/italy/piemonte/turin/castello_valentino,0.667,14.074,13.517,has_external_url,https://www.castellodirivoli.org/,https://en.wikivoyage.org/wiki/Turin
europe/hungary/eger,Eger,Eger,12,49,see,Evangelical Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.8988,20.36775,Archbishop's Lyceum,europe/hungary/eger/archbishop_lyceum,0.59,0.41,0.494,has_external_url,http://uj.evangelikus.hu/,https://en.wikivoyage.org/wiki/Eger
asia/china/hunan/changsha,Changsha,Changsha,50,47,see,Hunan Science and Technology Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,28.1110823447,112.9803541866,Hunan Provincial Museum,asia/china/hunan/changsha/hunan_provincial_museum,0.621,10.469,9.787,has_external_url,http://www.hnstm.org.cn/,https://en.wikivoyage.org/wiki/Changsha
europe/france/alpes/lyon,Lyon,Lyon,21,156,see,Saint-Nizier Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.764711,4.833597,Musée des Beaux-Arts,europe/france/alpes/lyon/musee_beaux_arts,0.689,0.311,0.777,has_external_url,http://www.saintnizier-lyon.catholique.fr/,https://en.wikivoyage.org/wiki/Lyon
