world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/sweden/stockholm,Stockholm,Stockholm,56,118,see,Eritrea,0.66,candidate,has coordinates; high-value type; has external URL,59.36222,18.12252,Millesgården,europe/sweden/stockholm/millesgrden,0.636,0.364,5.052,has_external_url,http://www.eritrean-embassy.se/,https://en.wikivoyage.org/wiki/Stockholm
asia/japan/kyushu/beppu,Beppu,Beppu,9,41,see,Oniyama-Jigoku,0.66,candidate,has coordinates; high-value type; has external URL,33.316111,131.473472,Umi Jigoku (Sea Hell),asia/japan/kyushu/beppu/umi_jigoku,0.667,2.033,3.879,has_external_url,http://www.beppu-jigoku.com/oniyama/,https://en.wikivoyage.org/wiki/Beppu
europe/spain/andalucia/seville,Seville,Seville,18,48,see,USA,0.66,candidate,has coordinates; high-value type; has external URL,37.3887967,-5.9959641,Plaza de Toros de la Maestranza,europe/spain/andalucia/seville/maestranza,0.627,0.373,0.058,has_external_url,https://es.usembassy.gov/u-s-citizen-services/u-s-consular-offices/consular-agency-seville/,https://en.wikivoyage.org/wiki/Seville
asia/indonesia/java/surabaya,Surabaya,Surabaya,12,138,see,RS William Booth,0.66,candidate,has coordinates; high-value type; has external URL,-7.290864,112.73686,Surabaya Zoo (Kebun Binatang Surabaya),asia/indonesia/java/surabaya/surabaya_zoo,0.622,0.378,4.956,has_external_url,http://www.rswilliamboothsby.com/,https://en.wikivoyage.org/wiki/Surabaya
asia/india/maharashtra/mumbai,Mumbai,Mumbai,93,62,see,Mexico,0.66,candidate,has coordinates; high-value type; has external URL,18.924726,72.820529,National Centre for the Performing Arts,asia/india/maharashtra/mumbai/lower_parel_culture,0.668,0.332,15.363,has_external_url,https://consulmex.sre.gob.mx/mumbai/index.php/en/,https://en.wikivoyage.org/wiki/Mumbai
northamerica/unitedstates/illinois/vandalia,Vandalia,Vandalia (Illinois),4,6,do,Vandalia Lake,0.66,candidate,has coordinates; high-value type; has external URL,39.00444,-89.16159,Vandalia State House,northamerica/unitedstates/illinois/vandalia/vandalia_statehouse,0.667,7.58,7.629,has_external_url,http://www.vandaliaillinois.com/for-visitors/area-recreation/vandalia-lake/,https://en.wikivoyage.org/wiki/Vandalia_%28Illinois%29
asia/japan/kyushu/beppu,Beppu,Beppu,9,41,do,Utopia Hamakawi Onsen,0.66,candidate,has coordinates; high-value type; has external URL,33.26999,131.50825,Takegawara Onsen,asia/japan/kyushu/beppu/takegawara_onsen,0.595,1.795,2.261,has_external_url,https://www-city-beppu-oita-jp.translate.goog/sisetu/shieionsen/detail1.html?_x_tr_sl=ja&_x_tr_tl=en&_x_tr_hl=it,https://en.wikivoyage.org/wiki/Beppu
asia/indonesia/java/yogyakarta,Yogyakarta,Yogyakarta,16,99,do,Perpustakaan Balai Bahasa,0.66,candidate,has coordinates; high-value type; has external URL,-7.784752,110.370732,Tugu Monument,asia/indonesia/java/yogyakarta/tugu_monument,0.55,0.45,1.37,has_external_url,https://balaibahasadiy.kemdikbud.go.id/laman/,https://en.wikivoyage.org/wiki/Yogyakarta
europe/sweden/stockholm,Stockholm,Stockholm,56,118,see,Malaysia,0.66,candidate,has coordinates; high-value type; has external URL,59.341256,18.074217,Gamla Stan,europe/sweden/stockholm/gamla_stan,0.556,1.725,1.803,has_external_url,http://www.kln.gov.my/web/swe_stockholm/home,https://en.wikivoyage.org/wiki/Stockholm
europe/netherlands/dordrecht,Dordrecht,Dordrecht,14,29,do,Bike Store Dordrecht BV,0.66,candidate,has coordinates; high-value type; has external URL,51.81148,4.655977,Grote Kerk,europe/netherlands/dordrecht/grote_kerk,0.59,0.41,5.182,has_external_url,http://bikesandlifestyle.nl/fietsverhuur,https://en.wikivoyage.org/wiki/Dordrecht
europe/poland/warsaw,Warsaw,Warsaw,56,70,see,Denmark,0.66,candidate,has coordinates; high-value type; has external URL,52.2382,21.0073,Zachęta National Gallery of Art,europe/poland/warsaw/zacheta_gallery,0.692,0.308,4.381,has_external_url,http://polen.um.dk/,https://en.wikivoyage.org/wiki/Warsaw
europe/germany/berlin,Berlin,Berlin,161,123,see,Chile,0.66,candidate,has coordinates; high-value type; has external URL,52.513166,13.394801,Strenesse blue,europe/germany/berlin/strenesseblue,0.671,0.329,0.47,has_external_url,https://chile.gob.cl/alemania/,https://en.wikivoyage.org/wiki/Berlin
asia/indonesia/java/jakarta,Jakarta,Jakarta,32,83,see,Denmark,0.66,candidate,has coordinates; high-value type; has external URL,-6.22721,106.82641,Cazbar,asia/indonesia/java/jakarta/cazbar,0.597,0.403,5.762,has_external_url,https://indonesien.um.dk,https://en.wikivoyage.org/wiki/Jakarta
europe/italy/lombardia/varese,Varese,Varese,7,35,see,Sacro Monte,0.66,candidate,has coordinates; high-value type; has external URL,45.8575,8.7932,Sacro Monte di Varese,europe/italy/lombardia/varese/sacro_monte,0.688,0.322,3.614,has_external_url,http://www.sacromontedivarese.it/home-it.html,https://en.wikivoyage.org/wiki/Varese
europe/sweden/uppsala,Uppsala,Uppsala,18,180,see,Uppsala County Police,0.66,candidate,has coordinates; high-value type; has external URL,59.865278,17.630848,Uppsala Castle,europe/sweden/uppsala/uppsala_castle,0.686,1.112,0.862,has_external_url,https://polisen.se/kontakt/polisstationer/uppsala-lan/uppsala/,https://en.wikivoyage.org/wiki/Uppsala
southamerica/argentina/rosario,Rosario,Rosario,7,25,see,Parque de España,0.66,candidate,has coordinates; high-value type; has external URL,-32.938667,-60.636469,Parque de la Independencia,southamerica/argentina/rosario/parque_independencia,0.645,3.129,3.292,has_external_url,https://www.rosario.gob.ar/web/ciudad/deportes-y-recreacion/parques-plazas-y-paseos/parque-de-espana,https://en.wikivoyage.org/wiki/Rosario
asia/india/westbengal/darjeeling,Darjeeling,Darjeeling,15,45,see,Raj Bhavan,0.66,candidate,has coordinates; high-value type; has external URL,27.051444,88.263474,Chowrasta and the Town Walk,asia/india/westbengal/darjeeling/darjeeling_town,0.59,0.41,1.195,has_external_url,http://rajbhavankolkata.nic.in/html/darjeelingbkgd.htm,https://en.wikivoyage.org/wiki/Darjeeling
