world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/newfoundland/stjohns,St. John's,St. John's,9,76,see,Eastern Edge Art Gallery,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.5646,-52.7058,Water Street,northamerica/canada/newfoundland/stjohns/water_street,0.694,0.306,0.616,has_external_url,http://easternedge.ca/,https://en.wikivoyage.org/wiki/St._John%27s
europe/finland/oulu,Oulu,Oulu,19,84,see,Oulu Museum of Art,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,65.019,25.4825,Hupisaaret Park,europe/finland/oulu/hupisaaret,0.675,0.325,0.988,has_external_url,https://www.ouka.fi/oulu/luuppi-english/about-museum-of-arts,https://en.wikivoyage.org/wiki/Oulu
asia/china/fujianprovince/quanzhou,Quanzhou,Quanzhou,13,35,see,Quanzhou Science and Technology Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,24.870418,118.674007,Quanzhou Maritime Museum,asia/china/fujianprovince/quanzhou/quanzhou_maritime_museum,0.613,7.71,9.675,has_external_url,https://www.qzkjg.org.cn/,https://en.wikivoyage.org/wiki/Quanzhou
northamerica/unitedstates/florida/sarasota,Sarasota,Sarasota,12,41,see,Circus Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,27.38356,-82.56198,Asolo Repertory Theatre,northamerica/unitedstates/florida/sarasota/asolo_repertory_theatre,0.646,0.354,6.086,has_external_url,https://www.ringling.org/visit/venues/circus-museum/,https://en.wikivoyage.org/wiki/Sarasota
europe/germany/bavaria/augsburg,Augsburg,Augsburg,16,61,see,Fugger und Welser Erlebnismuseum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.37405,10.90037,Cathedral of the Holy Virgin,europe/germany/bavaria/augsburg/cathedral,0.682,0.318,0.582,has_external_url,https://www.fugger-und-welser-museum.de,https://en.wikivoyage.org/wiki/Augsburg
africa/uganda/kampala,Kampala,Kampala,13,59,see,Shri Sanatan Dharma Mandal Temple,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,0.31047,32.57883,Uganda National Mosque,africa/uganda/kampala/gaddafi_mosque,0.646,0.354,0.853,has_external_url,https://www.ssdmuganda.org,https://en.wikivoyage.org/wiki/Kampala
europe/france/normandybrittany/caen,Caen,Caen,7,30,see,Memorial for peace,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.19729,-0.39069,Mémorial de Caen,europe/france/normandybrittany/caen/memorial_de_caen,0.645,0.473,2.652,has_external_url,https://www.memorial-caen.com/,https://en.wikivoyage.org/wiki/Caen
northamerica/mexico/tulum,Tulum,Tulum,27,59,see,Tulum Tower,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.217708,-87.43785,Tulum Pueblo,northamerica/mexico/tulum/tulum_pueblo,0.609,2.951,2.959,has_external_url,http://www.tulumtower.com/,https://en.wikivoyage.org/wiki/Tulum
europe/finland/saariselk,Saariselkä,Saariselkä,11,23,see,Kiehinen,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,68.421219,27.427293,Husky Safari,europe/finland/saariselk/husky_safari,0.607,0.393,0.39,has_external_url,http://www.nationalparks.fi/saariselkacustomerservice,https://en.wikivoyage.org/wiki/Saariselk%C3%A4
asia/kazakhstan/almaty,Almaty,Almaty,20,51,see,Sophia Cathedral,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.2696,76.9588,Zenkov Cathedral,asia/kazakhstan/almaty/zenkov_cathedral,0.688,1.278,3.841,has_external_url,https://mitropolia.kz/info/organizations/churches/almaty/129-sofiyskiy-sobor-alma-ata.html,https://en.wikivoyage.org/wiki/Almaty
