world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/austria/innsbruck,Innsbruck,Innsbruck,11,70,see,Hofgarten,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.27153,11.39719,Tyrolean Folk Art Museum,europe/austria/innsbruck/tyrolean_folk_art_museum,0.653,0.347,0.758,has_external_url,http://www.bundesgaerten.at/,https://en.wikivoyage.org/wiki/Innsbruck
europe/czechrepublic/brno,Brno,Brno,15,89,do,Brno Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.22954,16.53276,Brno Ossuary,europe/czechrepublic/brno/brno_ossuary,0.6,6.602,7.055,has_external_url,http://www.zoobrno.cz/,https://en.wikivoyage.org/wiki/Brno
northamerica/unitedstates/rhodeisland/newport,Newport,Newport (Rhode Island),10,111,see,Fort Adams State Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,41.4781,-71.3356,Fort Adams,northamerica/unitedstates/rhodeisland/newport/fort_adams,0.645,0.393,2.03,has_external_url,https://www.riparks.com/Locations/LocationFortAdams.html,https://en.wikivoyage.org/wiki/Newport_%28Rhode_Island%29
northamerica/mexico/mexicali,Mexicali,Mexicali,10,68,see,Museo Interactivo Sol del Niño,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.65282,-115.47181,Plaza de los Tres Poderes,northamerica/mexico/mexicali/plaza_tres_poderes,0.632,0.368,3.623,has_external_url,https://www.facebook.com/soldelnino?mibextid=LQQJ4d,https://en.wikivoyage.org/wiki/Mexicali
northamerica/unitedstates/southcarolina/charleston,Charleston,Charleston (South Carolina),9,61,see,Citadel Square Baptist Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,32.7873,-79.9343,Charleston Museum,northamerica/unitedstates/southcarolina/charleston/charleston_museum,0.684,0.316,0.541,has_external_url,https://www.citadelsquare.com/,https://en.wikivoyage.org/wiki/Charleston_%28South_Carolina%29
northamerica/canada/newfoundland/stjohns,St. John's,St. John's,9,76,see,Cape Spear National Historic Site,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.521257,-52.622314,Cape Spear,northamerica/canada/newfoundland/stjohns/capespear,0.683,0.317,8.121,has_external_url,https://www.pc.gc.ca/en/lhn-nhs/nl/spear,https://en.wikivoyage.org/wiki/St._John%27s
europe/germany/saxony/dresden,Dresden,Dresden,31,149,see,Erich-Kästner-Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.0638,13.7457,Äußere Neustadt — Restaurant and Bar District,europe/germany/saxony/dresden/neustadt_restaurants,0.619,0.381,1.694,has_external_url,https://www.kaestnerhaus-literatur.de/en,https://en.wikivoyage.org/wiki/Dresden
europe/netherlands/amersfoort,Amersfoort,Amersfoort,16,35,do,Amersfoort Zoo,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.151667,5.348056,DierenPark Amersfoort,europe/netherlands/amersfoort/dierenpark_amersfoort,0.681,0.319,4.362,has_external_url,http://www.dierenparkamersfoort.nl,https://en.wikivoyage.org/wiki/Amersfoort
europe/russia/vladimir,Vladimir,Vladimir,4,75,see,Nativity Monastery,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.131667,40.413611,Cathedral of Saint Demetrius,europe/russia/vladimir/cathedral_saint_demetrius,0.675,0.325,0.488,has_external_url,http://брм33.рф,https://en.wikivoyage.org/wiki/Vladimir
northamerica/canada/britishcolumbia/northvancouver,North Vancouver,North Vancouver,15,80,do,Mount Seymour,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.3679,-122.94834,Mount Seymour Provincial Park,northamerica/canada/britishcolumbia/northvancouver/mount_seymour,0.619,2.648,10.499,has_external_url,https://mtseymour.ca/,https://en.wikivoyage.org/wiki/North_Vancouver
