world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/spain/catalonia/cadaqus,Cadaqués,Cadaqués,5,36,see,St. Jaume Castle,0.59,candidate,has description; high-value type; strong travel term,,,Sant Pere de Rodes Monastery,europe/spain/catalonia/cadaqus/sant_pere_de_rodes,0.45,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Cadaqu%C3%A9s
europe/bulgaria/blagoevgrad,Blagoevgrad,Blagoevgrad,13,12,see,Presentation of the Mother of God Church,0.59,candidate,has description; high-value type; strong travel term,,,Regional Historical Museum,europe/bulgaria/blagoevgrad/regional_historical_museum,0.323,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Blagoevgrad
europe/slovenia/bled,Bled,Bled,10,30,see,Babji Zob (Hag's Tooth) Caves,0.59,candidate,has description; high-value type; strong travel term,,,Bled Castle,europe/slovenia/bled/bled_castle,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bled
europe/portugal/ponte_de_lima,Ponte de Lima,Ponte de Lima,7,17,see,Museu Rural,0.59,candidate,has description; high-value type; strong travel term,,,Museu dos Terceiros,europe/portugal/ponte_de_lima/museu_dos_terceiros,0.533,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ponte_de_Lima
asia/indonesia/bali/denpasar,Denpasar,Denpasar,7,32,see,Palace of Satria and the Royal Temples,0.59,candidate,has description; high-value type; strong travel term,,,Bajra Sandhi Monument,asia/indonesia/bali/denpasar/bajra_sandhi_monument,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Denpasar
asia/india/madhyapradesh/ujjain,Ujjain,Ujjain,8,25,see,Navagraha Mandir (Triveni),0.59,candidate,has description; high-value type; strong travel term,,,Vikramaditya Statue and Vikram Teela,asia/india/madhyapradesh/ujjain/vikramaditya_statue,0.385,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Ujjain
asia/china/gansu/tianshui,Tianshui,Tianshui,4,27,see,Hushi Ancient Residence Construction,0.59,candidate,has description; high-value type; strong travel term,,,Wushan Water Curtain Caves,asia/china/gansu/tianshui/wushan_water_curtain_caves,0.419,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Tianshui
asia/thailand/pattaya,Pattaya,Pattaya,9,124,do,Ko Khrok,0.59,candidate,has description; high-value type; strong travel term,,,Ko Larn,asia/thailand/pattaya/ko_larn,0.533,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Pattaya
asia/china/guizhou/xingyi,Xingyi,Xingyi,3,16,do,Natural Bridge,0.59,candidate,has description; high-value type; strong travel term,,,Maling River Canyon,asia/china/guizhou/xingyi/maling_river_canyon,0.364,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xingyi
australiaandpacific/newzealand/whangarei,Whangarei,Whangarei,11,21,do,Walking,0.59,candidate,has description; high-value type; strong travel term,,,Town Basin,australiaandpacific/newzealand/whangarei/town_basin,0.471,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Whangarei
asia/myanmar/bagan,Bagan,Bagan,15,57,see,Murals,0.59,candidate,has description; high-value type; strong travel term,,,Mahabodhi Temple,asia/myanmar/bagan/mahabodhi_temple,0.273,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Bagan
europe/italy/campania/calitri,Calitri,Calitri,4,21,see,Church of the Immaculate Conception,0.59,candidate,has description; high-value type; strong travel term,,,Calitrian Ceramics,europe/italy/campania/calitri/ceramics,0.327,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Calitri
asia/india/karnataka/shimoga,Shimoga,Shimoga,9,19,see,Sharavathi Wild Life Sanctuary,0.59,candidate,has description; high-value type; strong travel term,,,Mandagadde Bird Sanctuary,asia/india/karnataka/shimoga/mandagadde_bird_sanctuary,0.473,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Shimoga
asia/china/hubei/xiangyang,Xiangyang,Xiangyang,5,22,see,Zheng Wu Shan Temple,0.59,candidate,has description; high-value type; strong travel term,,,Fancheng District,asia/china/hubei/xiangyang/fancheng_district,0.378,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Xiangyang
northamerica/canada/ontario/hamilton,Hamilton,Hamilton (Ontario),18,97,see,The view from the escarpment,0.59,candidate,has description; high-value type; strong travel term,,,Royal Botanical Gardens,northamerica/canada/ontario/hamilton/royal_botanical,0.372,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Hamilton_%28Ontario%29
africa/ghana/elmina,Elmina,Elmina,5,5,see,Portuguese Church,0.59,candidate,has description; high-value type; strong travel term,,,St Joseph's Minor Basilica,africa/ghana/elmina/st_josephs_basilica,0.279,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Elmina
northamerica/unitedstates/georgia/atlanta,Atlanta,Atlanta,42,53,do,Founders Green,0.59,candidate,has description; high-value type; strong travel term,,,Old Fourth Ward,northamerica/unitedstates/georgia/atlanta/old_fourth_ward,0.414,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Atlanta
europe/russia/yakutsk,Yakutsk,Yakutsk,13,53,see,House-Museum of the Political History of Yakutia,0.59,candidate,has description; high-value type; strong travel term,,,Yaroslavsky Museum of Local Lore,europe/russia/yakutsk/yaroslavsky_museum,0.526,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Yakutsk
northamerica/canada/ontario/north_bay,North Bay,North Bay (Ontario),6,31,see,The North Bay Waterfront,0.59,candidate,has description; high-value type; strong travel term,,,Lake Nipissing Waterfront,northamerica/canada/ontario/north_bay/lake_nipissing_waterfront,0.533,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/North_Bay_%28Ontario%29
europe/hungary/szeged,Szeged,Szeged,7,61,see,Black House,0.59,candidate,has description; high-value type; strong travel term,,,Dóm Square,europe/hungary/szeged/dom_square,0.286,,,missing_coordinates; needs_external_source,,https://en.wikivoyage.org/wiki/Szeged
