world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/mountain_view,Mountain View,Mountain View (California),10,49,see,Hacker Dojo,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.403,-122.05,Chez TJ,northamerica/unitedstates/california/mountain_view/chez_tj,0.444,2.84,3.301,has_external_url,http://www.hackerdojo.com/,https://en.wikivoyage.org/wiki/Mountain_View_%28California%29
northamerica/unitedstates/missouri/kansascity,Kansas City,Kansas City,56,127,do,The Majestic,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.10266,-94.58813,City Market,northamerica/unitedstates/missouri/kansascity/city_market,0.421,1.068,0.903,has_external_url,http://www.majestickc.com/,https://en.wikivoyage.org/wiki/Kansas_City
europe/finland/pirkkala,Pirkkala,Pirkkala,2,13,see,Sankila Manor,0.89,candidate,has coordinates; has description; high-value type; has external URL,61.462438,23.591073,Tampere-Pirkkala Airport,europe/finland/pirkkala/tampere_pirkkala_airport,0.432,5.421,2.961,has_external_url,http://www.reippi.fi/,https://en.wikivoyage.org/wiki/Pirkkala
northamerica/unitedstates/texas/fort_worth,Fort Worth,Fort Worth,24,85,do,Texas Brahmas,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.85974,-97.20683,Leonard's Museum,northamerica/unitedstates/texas/fort_worth/leonards_museum,0.414,16.922,16.695,has_external_url,https://www.texasjrbrahmas.com/,https://en.wikivoyage.org/wiki/Fort_Worth
europe/germany/northrhinewestphalia/duisburg,Duisburg,Duisburg,8,22,do,Boat trips on Duisport,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.4358,6.7576,Port of Duisburg (Duisport),europe/germany/northrhinewestphalia/duisburg/port_of_duisburg,0.526,1.864,0.163,has_external_url,http://www.hafenrundfahrt.nrw/,https://en.wikivoyage.org/wiki/Duisburg
europe/germany/lowersaxony/hildesheim,Hildesheim,Hildesheim,5,19,do,M'era Luna,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.1787,9.9522,Hildesheim Cathedral,europe/germany/lowersaxony/hildesheim/hildesheim_cathedral,0.4,3.331,2.891,has_external_url,http://www.meraluna.de,https://en.wikivoyage.org/wiki/Hildesheim
northamerica/unitedstates/california/goldcountry/angels_camp,Angels Camp,Angels Camp,5,17,do,Outdoor Adventure River Specialists,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.0478,-120.5281,Moaning Cavern,northamerica/unitedstates/california/goldcountry/angels_camp/moaning_cavern,0.286,6.729,2.653,has_external_url,http://www.oars.com/california,https://en.wikivoyage.org/wiki/Angels_Camp
europe/italy/sicily/erice,Erice,Erice,6,102,do,Fazio Winery,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.96119,12.676102,Castello di Venere,europe/italy/sicily/erice/castello_di_venere,0.467,11.273,11.576,has_external_url,https://www.casavinicolafazio.it/en/home-english/,https://en.wikivoyage.org/wiki/Erice
northamerica/unitedstates/alabama/tuscumbia,Tuscumbia,Tuscumbia,4,6,see,Moon Tree,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.74023,-87.70662,Ivy Green,northamerica/unitedstates/alabama/tuscumbia/ivy_green,0.444,1.488,1.071,has_external_url,https://nssdc.gsfc.nasa.gov/planetary/lunar/moon_trees/tuscumbia_tree.html,https://en.wikivoyage.org/wiki/Tuscumbia
europe/hungary/sopron,Sopron,Sopron,9,234,do,Lake mill,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.7178,16.6253,Fertő Lake (Neusiedlersee),europe/hungary/sopron/ferto_lake,0.444,14.42,4.631,has_external_url,http://www.horgasz-sopron.hu,https://en.wikivoyage.org/wiki/Sopron
