world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/southkorea/gyeongju,Gyeongju,Gyeongju,18,80,do,Dori Village Ginkgo Tree Forest,0.85,candidate,has coordinates; has description; high-value type,35.9713,129.0658,Banwolseong Fortress,asia/southkorea/gyeongju/banwolseong,0.392,21.062,19.198,needs_external_source,,https://en.wikivoyage.org/wiki/Gyeongju
asia/india/madhyapradesh/jabalpur,Jabalpur,Jabalpur,7,17,see,Bhedaghat,0.85,candidate,has coordinates; has description; high-value type,23.1312,79.7965,Marble Rocks at Bhedaghat,asia/india/madhyapradesh/jabalpur/bhedaghat,0.529,1.513,14.559,needs_external_source,,https://en.wikivoyage.org/wiki/Jabalpur
asia/pakistan/taxila,Taxila,Taxila,10,22,see,Khader Mohra (Akhuri),0.85,candidate,has coordinates; has description; high-value type,33.7406,72.8467,Bhir Mound,asia/pakistan/taxila/bhir_mound,0.455,2.501,0.898,needs_external_source,,https://en.wikivoyage.org/wiki/Taxila
asia/china/hunan/yueyang,Yueyang,Yueyang,4,21,do,Evening Light Show at Yueyang Tower,0.85,candidate,has coordinates; has description; high-value type,29.3598,113.0854,Yueyang Tower,asia/china/hunan/yueyang/yueyang_tower,0.542,2.783,4.443,needs_external_source,,https://en.wikivoyage.org/wiki/Yueyang
africa/cameroon/bafoussam,Bafoussam,Bafoussam,15,8,do,Grotte Fovu,0.85,candidate,has coordinates; has description; high-value type,5.3272,10.3771,Grande Mosquée de Bafoussam,africa/cameroon/bafoussam/grande_mosquee,0.4,18.256,17.259,needs_external_source,,https://en.wikivoyage.org/wiki/Bafoussam
asia/iran/kerman,Kerman,Kerman,13,15,do,Sadeh Celebration,0.85,candidate,has coordinates; has description; high-value type,30.3147,57.0706,Shazdeh Garden,asia/iran/kerman/shazdeh_garden,0.516,34.806,3.639,needs_external_source,,https://en.wikivoyage.org/wiki/Kerman
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,See a soap box derby,0.85,candidate,has coordinates; has description; high-value type,39.8103407,-86.2037833,Hotel Tango Distillery,northamerica/unitedstates/indiana/indianapolis/hotel_tango,0.4,7.677,6.074,needs_external_source,,https://en.wikivoyage.org/wiki/Indianapolis
europe/belgium/lier,Lier,Lier,8,14,see,Spuihuis,0.85,candidate,has coordinates; has description; high-value type,51.134167,4.576944,The Nete Rivers and Town Ramparts Walk,europe/belgium/lier/nete_rivers,0.443,0.557,0.61,needs_external_source,,https://en.wikivoyage.org/wiki/Lier
europe/france/midi/languedoc/nmes,Nîmes,Nîmes,29,29,do,Le Pont du Gard,0.85,candidate,has coordinates; has description; high-value type,43.947319,4.5352936,Maison Carrée,europe/france/midi/languedoc/nmes/maison_carree,0.455,18.765,18.614,needs_external_source,,https://en.wikivoyage.org/wiki/N%C3%AEmes
europe/unitedkingdom/england/norfolk/the_norfolk_broads,The Norfolk Broads,Norfolk Broads,0,34,see,Horsey Mere,0.85,candidate,has coordinates; has description; high-value type,52.742,1.627,,,0.0,,13.42,needs_external_source,,https://en.wikivoyage.org/wiki/Norfolk_Broads
europe/austria/melk,Melk,Melk,5,24,do,Wachberg,0.85,candidate,has coordinates; has description; high-value type,48.222421,15.352835,Albrechtsberg Castle,europe/austria/melk/albrechtsberg_castle,0.5,2.759,1.288,needs_external_source,,https://en.wikivoyage.org/wiki/Melk
europe/france/midi/cotedazur/nice,Nice,Nice,42,76,do,Cliff Walk,0.85,candidate,has coordinates; has description; high-value type,43.6901,7.29391,Colline du Château,europe/france/midi/cotedazur/nice/colline_du_chateau,0.4,1.21,2.379,needs_external_source,,https://en.wikivoyage.org/wiki/Nice
northamerica/canada/britishcolumbia/lillooet,Lillooet,Lillooet,5,25,see,Old Suspension Bridge,0.85,candidate,has coordinates; has description; high-value type,50.71151,-121.91143,Lillooet Museum and Visitor Centre,northamerica/canada/britishcolumbia/lillooet/lillooet_museum,0.4,2.884,2.505,needs_external_source,,https://en.wikivoyage.org/wiki/Lillooet
asia/china/hebei/cangzhou,Cangzhou,Cangzhou,3,63,do,Qinglan weight loss training camp,0.85,candidate,has coordinates; has description; high-value type,38.33629,116.69941,Grand Canal Heritage Corridor,asia/china/hebei/cangzhou/grand_canal_heritage_corridor,0.226,13.418,14.99,needs_external_source,,https://en.wikivoyage.org/wiki/Cangzhou
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Aung Zha Bridge,0.85,candidate,has coordinates; has description; high-value type,16.88045,96.08709,Mohinga Breakfast,asia/myanmar/yangon/mohinga,0.438,13.595,12.188,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
