world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/england/manchester_liverpool_and_north_west/kendal,Kendal,Kendal (England),6,28,see,Sizergh Castle,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,54.284444,-2.771944,Kendal Castle,europe/unitedkingdom/england/manchester_liverpool_and_north_west/kendal/kendal_castle,0.593,5.055,5.165,has_external_url,https://www.nationaltrust.org.uk/sizergh/,https://en.wikivoyage.org/wiki/Kendal_%28England%29
europe/unitedkingdom/england/manchester_liverpool_and_north_west/bury,Bury St Edmunds,Bury St Edmunds,4,33,do,Theatre Royal,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,52.2406,0.7172,St Edmundsbury Cathedral,europe/unitedkingdom/england/manchester_liverpool_and_north_west/bury/st_edmundsbury_cathedral,0.632,0.368,0.683,has_external_url,http://www.theatreroyal.org/,https://en.wikivoyage.org/wiki/Bury_St_Edmunds
northamerica/unitedstates/westvirginia/huntington,Huntington,Huntington (West Virginia),8,82,see,Altizer Park,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,38.417222,-82.356111,Camden Park,northamerica/unitedstates/westvirginia/huntington/camden_park,0.609,11.685,7.761,has_external_url,https://www.ghprd.org/index.php/altizer-park,https://en.wikivoyage.org/wiki/Huntington_%28West_Virginia%29
northamerica/unitedstates/georgia/albany,Albany,Albany (Georgia),6,10,see,Chehaw Park & Zoo,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,31.6176,-84.1381,Chehaw Park and Wild Animal Park,northamerica/unitedstates/georgia/albany/chehaw_park,0.627,0.898,4.656,has_external_url,https://chehaw.org/,https://en.wikivoyage.org/wiki/Albany_%28Georgia%29
northamerica/unitedstates/nevada/virginiacity,Virginia City,Virginia City (Nevada),5,26,see,Marshall Mint Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,39.31205,-119.649149,C Street Historic District,northamerica/unitedstates/nevada/virginiacity/c_street,0.673,0.327,0.141,has_external_url,https://www.marshallmint.com/,https://en.wikivoyage.org/wiki/Virginia_City_%28Nevada%29
northamerica/unitedstates/arkansas/bentonville,Bentonville,Bentonville,11,18,see,Bentonville History Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,36.366944,-94.209167,Walmart Corporate Campus,northamerica/unitedstates/arkansas/bentonville/walmart_headquarters,0.684,0.316,0.659,has_external_url,https://bentonvillehistorymuseum.org/,https://en.wikivoyage.org/wiki/Bentonville
northamerica/unitedstates/california/centralvalley/fresno,Fresno,Fresno,7,59,do,Tower Theatre,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,36.758,-119.801,Warnors Theatre,northamerica/unitedstates/california/centralvalley/fresno/warnors_theatre,0.714,2.29,2.522,has_external_url,http://www.towertheatrefresno.com,https://en.wikivoyage.org/wiki/Fresno
northamerica/unitedstates/wisconsin/greenbay,Green Bay,Green Bay,15,26,see,Green Bay Botanical Garden,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,44.5316,-88.099,Green Bay Packers Hall of Fame,northamerica/unitedstates/wisconsin/greenbay/green_bay_packers_hall_of_fame,0.607,4.457,7.169,has_external_url,http://gbbg.org/,https://en.wikivoyage.org/wiki/Green_Bay
northamerica/unitedstates/colorado/denver,Denver,Denver,71,146,see,Forney Transportation Museum,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,39.77779,-104.97073,Forney Museum of Transportation,northamerica/unitedstates/colorado/denver/forney_museum,0.712,0.384,4.454,has_external_url,http://forneymuseum.org,https://en.wikivoyage.org/wiki/Denver
europe/unitedkingdom/england/south_east/rochester,Rochester,Rochester (England),6,11,see,Upnor Castle,0.7,candidate,has coordinates; high-value type; has external URL; strong travel term,51.4069,0.52709,Rochester Castle,europe/unitedkingdom/england/south_east/rochester/rochester_castle,0.643,2.585,2.569,has_external_url,https://www.english-heritage.org.uk/visit/places/upnor-castle/,https://en.wikivoyage.org/wiki/Rochester_%28England%29
