world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/canada/britishcolumbia/grandforks,Grand Forks,Grand Forks (British Columbia),8,9,see,Boundary Museum and Interpretive Centre,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.019361,-118.50661,Boundary Museum,northamerica/canada/britishcolumbia/grandforks/boundary_museum,0.556,5.044,5.089,has_external_url,https://boundarymuseum.com/,https://en.wikivoyage.org/wiki/Grand_Forks_%28British_Columbia%29
northamerica/canada/saskatchewan/prince_albert,Prince Albert,Prince Albert,9,10,see,The Historical Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,53.206,-105.7544,Rotary Trail and North Saskatchewan Riverfront,northamerica/canada/saskatchewan/prince_albert/rotary_trail,0.611,0.389,0.453,has_external_url,https://www.historypa.com/historical_museum.html,https://en.wikivoyage.org/wiki/Prince_Albert
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/tavistock,Tavistock,Tavistock,9,10,see,St Michael de Rupe Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.6032436,-4.1624074,St Eustachius' Church,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/devon/tavistock/st_eustachius_church,0.619,6.097,6.066,has_external_url,https://brentorchurch.org.uk/,https://en.wikivoyage.org/wiki/Tavistock
northamerica/canada/britishcolumbia/northvancouver,North Vancouver,North Vancouver,15,80,do,Grouse Mountain Regional Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.37107,-123.0979,Grouse Mountain,northamerica/canada/britishcolumbia/northvancouver/grouse_mountain,0.682,1.537,5.874,has_external_url,https://metrovancouver.org/services/regional-parks/park/grouse-mountain-regional-park,https://en.wikivoyage.org/wiki/North_Vancouver
europe/sweden/uppsala,Uppsala,Uppsala,18,180,do,Parksnäckan,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,59.85138,17.644519,Stadsträdgården,europe/sweden/uppsala/stadstradgarden,0.596,0.404,0.866,has_external_url,http://www.parksnackan.se/,https://en.wikivoyage.org/wiki/Uppsala
northamerica/unitedstates/colorado/breckenridge,Breckenridge,Breckenridge (Colorado),15,40,see,Historic Father Dyer Church,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.4839,-106.04312,Blue River Recpath,northamerica/unitedstates/colorado/breckenridge/blue_river_recpath,0.614,0.386,0.473,has_external_url,https://www.fatherdyer.church/,https://en.wikivoyage.org/wiki/Breckenridge_%28Colorado%29
northamerica/unitedstates/newjersey/newark,Newark,Newark,8,43,see,Gallery Aferro,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.736748,-74.175994,Crane House,northamerica/unitedstates/newjersey/newark/crane_house,0.676,0.324,0.329,has_external_url,http://www.aferro.org,https://en.wikivoyage.org/wiki/Newark
europe/italy/campania/salerno,Salerno,Salerno,10,11,see,Arechi Castle,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.684511,14.754746,Castello di Arechi,europe/italy/campania/salerno/castello_di_arechi,0.67,0.33,1.15,has_external_url,http://www.ilcastellodiarechi.it,https://en.wikivoyage.org/wiki/Salerno
northamerica/unitedstates/pennsylvania/state_college,State College,State College,7,27,see,Matson Museum of Anthropology,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.7971,-77.8697,Palmer Museum of Art,northamerica/unitedstates/pennsylvania/state_college/palmer_museum_of_art,0.571,0.446,0.74,has_external_url,https://anth.la.psu.edu/matson-museum,https://en.wikivoyage.org/wiki/State_College
europe/iceland/selfoss,Selfoss,Selfoss,2,6,see,Bobby Fischer Center,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,63.93737,-20.99627,Ölfusá River,europe/iceland/selfoss/olfusa_river,0.631,0.369,0.36,has_external_url,http://www.fischersetur.is/index.cfm?lang=en&page=pages/start_en3,https://en.wikivoyage.org/wiki/Selfoss
europe/armenia/yerevan,Yerevan,Yerevan,53,133,see,Erebuni Museum of History,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.141111,44.535278,Modern Art Museum of Yerevan,europe/armenia/yerevan/modern_art_museum,0.566,4.969,4.502,has_external_url,https://m.facebook.com/Erebunimuseum/,https://en.wikivoyage.org/wiki/Yerevan
northamerica/unitedstates/washington/burlington,Burlington,Burlington (Washington),3,8,see,Skagit Valley Children's Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.45501,-122.33972,Skagit-Squatch Museum,northamerica/unitedstates/washington/burlington/skagit_squatch_museum,0.654,2.642,2.282,has_external_url,https://www.skagitchildrensmuseum.net/,https://en.wikivoyage.org/wiki/Burlington_%28Washington%29
asia/vietnam/ninh_binh,Ninh Binh,Ninh Binh,8,23,see,Bai Dinh Temple,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,20.275527,105.8628,Bai Dinh Pagoda,asia/vietnam/ninh_binh/bai_dinh_pagoda,0.667,3.537,11.959,has_external_url,https://chuabaidinhninhbinh.vn/,https://en.wikivoyage.org/wiki/Ninh_Binh
europe/finland/espoo,Espoo,Espoo,9,82,see,The Gallen-Kallela museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.206389,24.838333,Glims Farmstead Museum,europe/finland/espoo/glims_farmstead,0.605,8.906,10.075,has_external_url,http://www.gallen-kallela.fi/en/,https://en.wikivoyage.org/wiki/Espoo
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,see,Niagara Falls History Museum,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.089294,-79.091226,Greater Niagara Falls Coach Terminal,northamerica/canada/ontario/niagrafalls/greater_niagara_fa,0.562,1.431,2.934,has_external_url,https://niagarafallsmuseums.ca/,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
asia/china/guangdong/zhongshan,Zhongshan,Zhongshan,13,37,see,Zhongshan Museum of Art,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.51915,113.35823,Zhongshan Park (Yantai Garden),asia/china/guangdong/zhongshan/zhongshan_park,0.649,2.167,3.553,has_external_url,http://www.zsmuseum.cn/category/zsmsg,https://en.wikivoyage.org/wiki/Zhongshan
asia/china/guangxi/nanning,Nanning,Nanning,8,39,see,Shishan Park,0.78,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.8630037936,108.3387797325,Renmin Park,asia/china/guangxi/nanning/renmin_park,0.609,4.068,5.43,has_external_url,http://nnlyj.nanning.gov.cn/ssgy/,https://en.wikivoyage.org/wiki/Nanning
