world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/indonesia/java/semarang,Semarang,Semarang,8,164,see,Czech Republic,0.81,candidate,has coordinates; high-value type; has external URL,-6.988437,110.429688,Blenduk Church,asia/indonesia/java/semarang/blenduk_church,0.214,2.271,0.78,has_external_url,https://mzv.gov.cz/jakarta/in_ID/tentang_kami/konsul_kehormatan/index.html,https://en.wikivoyage.org/wiki/Semarang
europe/unitedkingdom/wales/tenby,Tenby,Tenby,14,27,do,Ritec Valley Quadbikes,0.81,candidate,has coordinates; high-value type; has external URL,51.671105,-4.746462,Caldey Island,europe/unitedkingdom/wales/tenby/caldey_island,0.457,5.209,2.861,has_external_url,http://www.ritec-valley.co.uk,https://en.wikivoyage.org/wiki/Tenby
northamerica/unitedstates/michigan/muskegon,Muskegon,Muskegon,13,29,do,Craigs Cruisers Family Fun Centers - Muskegon,0.81,candidate,has coordinates; high-value type; has external URL,43.1318,-86.2077,LST 393 Veterans Museum,northamerica/unitedstates/michigan/muskegon/lst_393,0.394,12.161,11.855,has_external_url,http://www.craigscruisers.com/holland-hours/,https://en.wikivoyage.org/wiki/Muskegon
europe/germany/berlin,Berlin,Berlin,161,123,see,Serbia,0.81,candidate,has coordinates; high-value type; has external URL,52.4827,13.2717,Roses Bar,europe/germany/berlin/rosesbar,0.533,10.317,9.203,has_external_url,http://www.berlin.mfa.gov.rs/,https://en.wikivoyage.org/wiki/Berlin
northamerica/unitedstates/virginia/alexandria,Alexandria,Alexandria (Virginia),7,64,do,Great Waves Waterpark,0.81,candidate,has coordinates; high-value type; has external URL,38.8048,-77.1024,Old Town Waterfront,northamerica/unitedstates/virginia/alexandria/old_town_waterfront,0.45,5.507,4.801,has_external_url,https://www.novaparks.com/waterparks/great-waves-waterpark,https://en.wikivoyage.org/wiki/Alexandria_%28Virginia%29
asia/thailand/bangkok,Bangkok,Bangkok,108,116,see,Ukraine,0.81,candidate,has coordinates; high-value type; has external URL,13.739266,100.548087,BTS Skytrain,asia/thailand/bangkok/bts,0.526,1.663,5.346,has_external_url,http://thailand.mfa.gov.ua/,https://en.wikivoyage.org/wiki/Bangkok
europe/germany/bavaria/lindau,Lindau,Lindau,10,26,do,Golfclub Lindau,0.81,candidate,has coordinates; high-value type; has external URL,47.5729,9.702,Lindau Abbey (Stiftskirche),europe/germany/bavaria/lindau/lindau_abbey,0.444,3.11,2.56,has_external_url,http://www.golflindau.de/,https://en.wikivoyage.org/wiki/Lindau
africa/cameroon/yaound,Yaoundé,Yaoundé,13,116,see,Israel,0.81,candidate,has coordinates; high-value type; has external URL,3.89233,11.51552,Notre-Dame des Victoires Cathedral,africa/cameroon/yaound/notre_dame_des_victoires,0.278,3.328,2.675,has_external_url,http://embassies.gov.il/yaounde/Pages/default.aspx,https://en.wikivoyage.org/wiki/Yaound%C3%A9
europe/germany/berlin,Berlin,Berlin,161,123,see,Tunisia,0.81,candidate,has coordinates; high-value type; has external URL,52.514167,13.272528,quasi moda,europe/germany/berlin/quasimoda,0.471,8.834,8.304,has_external_url,http://www.tunesien.tn/,https://en.wikivoyage.org/wiki/Berlin
northamerica/unitedstates/utah/saltlakecity,Salt Lake City,Salt Lake City,62,174,see,WeWork 250 Tower,0.81,candidate,has coordinates; high-value type; has external URL,40.7646,-111.88432,Gallivan Center,northamerica/unitedstates/utah/saltlakecity/gallivan_center,0.546,0.454,0.592,has_external_url,https://www.wework.com/buildings/250-tower--salt-lake-city,https://en.wikivoyage.org/wiki/Salt_Lake_City
asia/indonesia/java/yogyakarta,Yogyakarta,Yogyakarta,16,99,see,RS Bethesda,0.81,candidate,has coordinates; high-value type; has external URL,-7.783,110.378,Sono Budoyo,asia/indonesia/java/yogyakarta/sonobudoyo,0.364,2.638,1.768,has_external_url,http://www.bethesda.or.id/,https://en.wikivoyage.org/wiki/Yogyakarta
