world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/luxembourg/grevenmacher,Grevenmacher,Grevenmacher,5,16,see,Jardin des Papillons,0.89,candidate,has coordinates; has description; high-value type; has external URL,49.6841,6.4496,Butterfly Garden (Jardin des Papillons),europe/luxembourg/grevenmacher/butterfly_garden,0.51,0.49,0.709,has_external_url,http://www.papillons.lu,https://en.wikivoyage.org/wiki/Grevenmacher
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/lincoln,Lincoln,Lincoln,19,18,see,Doddington Hall,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.219,-0.654,Downhill (Lower City),europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/lincoln/downhill,0.522,7.555,7.644,has_external_url,https://www.doddingtonhall.com/,https://en.wikivoyage.org/wiki/Lincoln
europe/hungary/sopron,Sopron,Sopron,9,234,do,Krasznai Ferenc Sports-court,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.6824,16.5769,Roman Remains of Scarbantia,europe/hungary/sopron/roman_remains,0.436,0.683,1.622,has_external_url,https://hu-hu.facebook.com/pages/Krasznai-Ferenc-Sportcsarnok-Sopron/389228061090910,https://en.wikivoyage.org/wiki/Sopron
europe/germany/bavaria/passau,Passau,Passau,7,37,do,Beer festival,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.558,13.4128,Neue Residenz (Episcopal Palace),europe/germany/bavaria/passau/neue_residenz,0.462,3.825,4.008,has_external_url,http://www.passauer-dult.de/,https://en.wikivoyage.org/wiki/Passau
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,Drag race your car at Lucas Oil Raceway,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.812778,-86.340833,Lucas Oil Stadium,northamerica/unitedstates/indiana/indianapolis/lucas_oil_stadium,0.393,16.213,16.353,has_external_url,http://www.lucasoilraceway.com/,https://en.wikivoyage.org/wiki/Indianapolis
australiaandpacific/newzealand/north_island/bay_of_plenty/rotorua,Rotorua,Rotorua,10,32,see,Wingspan National Bird of Prey Centre,0.89,candidate,has coordinates; has description; high-value type; has external URL,-38.0904,176.1955,Rainbow Springs Kiwi Wildlife Park,australiaandpacific/newzealand/north_island/bay_of_plenty/rotorua/rainbow_springs,0.366,5.444,7.12,has_external_url,http://www.wingspan.co.nz/,https://en.wikivoyage.org/wiki/Rotorua
northamerica/canada/quebec/longueuil,Longueuil,Longueuil,3,38,see,Quebec National Day,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.48797,-73.40853,Parc Michel-Chartrand,northamerica/canada/quebec/longueuil/parc_michel_chartrand,0.3,8.08,5.765,has_external_url,https://www.facebook.com/FeteNationaleDeSaintHubert/about/?ref=page_internal,https://en.wikivoyage.org/wiki/Longueuil
northamerica/unitedstates/montana/helena,Helena,Helena (Montana),15,34,see,General Mercantile,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.59088,-112.05781,Mount Helena City Park,northamerica/unitedstates/montana/helena/mount_helena,0.547,0.453,1.656,has_external_url,https://generalmerc.com/,https://en.wikivoyage.org/wiki/Helena_%28Montana%29
northamerica/unitedstates/california/orangecounty/irvine,Irvine,Irvine,9,52,do,K1 Speed,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.691394,-117.842192,Irvine Spectrum Center,northamerica/unitedstates/california/orangecounty/irvine/irvine_spectrum,0.333,10.434,1.628,has_external_url,http://www.k1speed.com/irvine-location.html,https://en.wikivoyage.org/wiki/Irvine
northamerica/unitedstates/montana/kalispell,Kalispell,Kalispell,5,23,do,Blacktail Mountain Ski Area,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.014836,-114.36956,Conrad Mansion Museum,northamerica/unitedstates/montana/kalispell/conrad_mansion,0.417,20.853,21.215,has_external_url,https://blacktailmountain.com/,https://en.wikivoyage.org/wiki/Kalispell
