world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/indonesia/maluku/tidore,Tidore,Tidore,14,11,see,Tore Fort,0.89,candidate,has coordinates; has description; high-value type; strong travel term,0.6541,127.4428,Tidore Great Mosque,asia/indonesia/maluku/tidore/great_mosque,0.5,4.172,5.761,needs_external_source,,https://en.wikivoyage.org/wiki/Tidore
asia/malaysia/kotakinabalu,Kota Kinabalu,Kota Kinabalu,15,115,see,Tzer Ying Buddhist Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,5.941873,116.117212,Sabah State Mosque,asia/malaysia/kotakinabalu/sabah_state_mosque,0.372,6.558,6.337,needs_external_source,,https://en.wikivoyage.org/wiki/Kota_Kinabalu
europe/portugal/figueiradafoz,Figueira da Foz,Figueira da Foz,9,8,see,Cabo Mondego,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.1803,-8.9058,Promenade Bars,europe/portugal/figueiradafoz/promenade_bars,0.385,4.927,5.531,needs_external_source,,https://en.wikivoyage.org/wiki/Figueira_da_Foz
europe/bosniaandherzegovina/banjaluka,Banja Luka,Banja Luka,9,36,do,Hot Springs,0.89,candidate,has coordinates; has description; high-value type; strong travel term,44.74899,17.15886,Ferhat Pasha Mosque (Ferhadija),europe/bosniaandherzegovina/banjaluka/ferhadija_mosque,0.333,3.04,3.966,needs_external_source,,https://en.wikivoyage.org/wiki/Banja_Luka
asia/china/shanxiprovince/datong,Datong,Datong,5,31,do,Children's Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.078293,113.278366,Nine Dragon Screen,asia/china/shanxiprovince/datong/nine_dragon_screen,0.424,2.058,2.121,needs_external_source,,https://en.wikivoyage.org/wiki/Datong
africa/tunisia/hammamet,Hammamet,Hammamet,5,8,do,Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.40015,10.58241,Hammamet Beach,africa/tunisia/hammamet/hammamet_beach,0.526,2.251,2.252,needs_external_source,,https://en.wikivoyage.org/wiki/Hammamet
asia/srilanka/colombo,Colombo,Colombo,25,116,see,St Michael and All Angels Anglican Church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,6.91347,79.85194,Gangaramaya Temple,asia/srilanka/colombo/gangaramaya_temple,0.491,0.509,1.828,needs_external_source,,https://en.wikivoyage.org/wiki/Colombo
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,do,Fockeberg,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.31714,12.3622,Zoo Leipzig,europe/germany/saxony/leipzig/zoo_leipzig,0.3,4.229,2.754,needs_external_source,,https://en.wikivoyage.org/wiki/Leipzig
asia/india/uttaranchal/mussoorie,Mussoorie,Mussoorie,13,47,see,Jawahar Aquarium,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.457722,78.074413,Kasmanda Palace,asia/india/uttaranchal/mussoorie/kasmanda_palace,0.47,0.53,0.384,needs_external_source,,https://en.wikivoyage.org/wiki/Mussoorie
europe/russia/khabarovsk,Khabarovsk,Khabarovsk,9,58,see,The Arboretum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.46636,135.08622,Khabarovsk Regional Museum (Grodekov Museum),europe/russia/khabarovsk/regional_museum,0.4,1.962,1.824,needs_external_source,,https://en.wikivoyage.org/wiki/Khabarovsk
