world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/indonesia/java/yogyakarta,Yogyakarta,Yogyakarta,16,99,see,Bentara Budaya,0.89,candidate,has coordinates; has description; high-value type; has external URL,-7.78582,110.37465,Sono Budoyo,asia/indonesia/java/yogyakarta/sonobudoyo,0.48,2.169,1.331,has_external_url,http://www.bentarabudaya.com,https://en.wikivoyage.org/wiki/Yogyakarta
asia/mongolia/ulaanbaatar,Ulaanbaatar,Ulaanbaatar,8,112,do,Sky Resort,0.89,candidate,has coordinates; has description; high-value type; has external URL,47.8728,107.04537,Zaisan Memorial,asia/mongolia/ulaanbaatar/zaisan_memorial,0.4,9.743,10.785,has_external_url,https://m.facebook.com/skyresortofficial/,https://en.wikivoyage.org/wiki/Ulaanbaatar
europe/sweden/gothenburg,Gothenburg,Gothenburg,15,116,do,Delsjön Canoeing,0.89,candidate,has coordinates; has description; high-value type; has external URL,57.691769,12.03817,West Coast Archipelago,europe/sweden/gothenburg/archipelago,0.368,14.66,4.564,has_external_url,http://www.npk.nu/,https://en.wikivoyage.org/wiki/Gothenburg
northamerica/unitedstates/georgia/athens,Athens,Athens (Georgia),11,30,do,Athica,0.89,candidate,has coordinates; has description; high-value type; has external URL,33.96925,-83.39064,40 Watt Club,northamerica/unitedstates/georgia/athens/forty_watt_club,0.333,1.57,1.684,has_external_url,http://www.athica.org,https://en.wikivoyage.org/wiki/Athens_%28Georgia%29
asia/china/guangdong/meizhou,Meizhou,Meizhou,5,11,see,Hakka Land,0.89,candidate,has coordinates; has description; high-value type; has external URL,24.26721,116.14427,Hakka Museum of China,asia/china/guangdong/meizhou/hakka_museum,0.452,4.432,4.432,has_external_url,http://www.ktxjq.com/,https://en.wikivoyage.org/wiki/Meizhou
northamerica/unitedstates/california/sanjose,San Jose,San Jose (California),6,114,do,Teatro Visión,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.35283,-121.85428,Eating Out,northamerica/unitedstates/california/sanjose/eating_out,0.435,4.147,3.706,has_external_url,http://www.teatrovision.org/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
northamerica/unitedstates/california/santa_barbara,Santa Barbara,Santa Barbara,17,107,do,Sanguis,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.42076,-119.67936,Casa de la Guerra,northamerica/unitedstates/california/santa_barbara/casa_de_la_guerra,0.444,1.818,2.146,has_external_url,https://www.sanguiswine.com/,https://en.wikivoyage.org/wiki/Santa_Barbara
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,do,City of Niagara Falls,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.10593,-79.06403,Greater Niagara Falls Coach Terminal,northamerica/canada/ontario/niagrafalls/greater_niagara_fa,0.526,1.748,0.071,has_external_url,https://niagarafalls.ca/city-hall/clerks/marriage-licences/default.aspx,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
northamerica/canada/britishcolumbia/victoria,Victoria,Victoria (British Columbia),12,87,see,Dino Lab Inc.,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.42091,-123.38292,Chinatown,northamerica/canada/britishcolumbia/victoria/chinatown,0.381,1.461,1.525,has_external_url,https://www.dinolabinc.ca,https://en.wikivoyage.org/wiki/Victoria_%28British_Columbia%29
asia/tajikistan/dushanbe,Dushanbe,Dushanbe,50,46,see,Russia,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.5829,68.7541,Dousti Square,asia/tajikistan/dushanbe/dousti_square,0.421,2.891,2.905,has_external_url,http://www.rusemb.tj/,https://en.wikivoyage.org/wiki/Dushanbe
