world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
southamerica/brazil/fernando_de_noronha,Fernando de Noronha,Fernando de Noronha,7,14,see,Capim-Açu,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Dois Irmãos,southamerica/brazil/fernando_de_noronha/dois_irmaos,0.333,,,missing_coordinates; has_external_url,https://www.parnanoronha.com.br/trilha-capim-acu,https://en.wikivoyage.org/wiki/Fernando_de_Noronha
northamerica/unitedstates/oklahoma/broken_arrow,Broken Arrow,Broken Arrow,3,22,see,The Museum Broken Arrow,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Broken Arrow Performing Arts Center,northamerica/unitedstates/oklahoma/broken_arrow/performing_arts_center,0.444,,,missing_coordinates; has_external_url,https://www.brokenarrowmuseum.org/,https://en.wikivoyage.org/wiki/Broken_Arrow
southamerica/chile/vinadelmar,Viña del Mar,Viña del Mar,14,21,see,Museo Artequin en Viña del Mar,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Casino Municipal de Viña del Mar,southamerica/chile/vinadelmar/casino_de_vina,0.511,,,missing_coordinates; has_external_url,http://artequinvina.cl/,https://en.wikivoyage.org/wiki/Vi%C3%B1a_del_Mar
europe/spain/galicia/tui,Tui,Tui,7,15,see,Catedral de Santa María,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Tui Cathedral,europe/spain/galicia/tui/tui_cathedral,0.516,,,missing_coordinates; has_external_url,https://www.catedraldetui.com/,https://en.wikivoyage.org/wiki/Tui
northamerica/unitedstates/maryland/oceancity,Ocean City,Ocean City (New Jersey),5,14,see,Discovery Seashell Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Ocean City Life-Saving Station Museum,northamerica/unitedstates/maryland/oceancity/ocean_city_life_saving_station,0.355,,,missing_coordinates; has_external_url,http://www.shellmuseum.com,https://en.wikivoyage.org/wiki/Ocean_City_%28New_Jersey%29
asia/malaysia/kotakinabalu,Kota Kinabalu,Kota Kinabalu,15,115,do,Borneo Crystal Sdn. Bhd.,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,North Borneo War Monument,asia/malaysia/kotakinabalu/north_borneo_war_monument,0.426,,,missing_coordinates; has_external_url,http://www.borneocrystal.com,https://en.wikivoyage.org/wiki/Kota_Kinabalu
asia/india/andhrapradesh/hyderabad,Hyderabad,Hyderabad,10,55,do,Heritage walk,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Hyderabad House,asia/india/andhrapradesh/hyderabad/hyderabad_house,0.357,,,missing_coordinates; has_external_url,http://telanganatourism.gov.in/heritagewalks/,https://en.wikivoyage.org/wiki/Hyderabad
northamerica/unitedstates/indiana/lafayette,Lafayette,Lafayette (Indiana),5,39,do,Lala Gallery & Studio,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Moses Fowler House,northamerica/unitedstates/indiana/lafayette/moses_fowler_house,0.293,,,missing_coordinates; has_external_url,http://www.lalagallery.com,https://en.wikivoyage.org/wiki/Lafayette_%28Indiana%29
europe/spain/canaryislands/elhierro,El Hierro,El Hierro,5,67,do,Cave Walks,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Pico de Malpaso,europe/spain/canaryislands/elhierro/pico_de_malpaso,0.455,,,missing_coordinates; has_external_url,http://www.hoehlenelhierro.de,https://en.wikivoyage.org/wiki/El_Hierro
northamerica/unitedstates/washington/olympicnationalpark,Olympic National Park,Olympic National Park,10,49,do,North Fork Skokomish River Trail,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Quinault Rain Forest,northamerica/unitedstates/washington/olympicnationalpark/quinault_rain_forest,0.308,,,missing_coordinates; has_external_url,https://www.nps.gov/olym/planyourvisit/north-fork-skokomish.htm,https://en.wikivoyage.org/wiki/Olympic_National_Park
northamerica/unitedstates/newyorkstate/albany,Albany,Albany (New York),6,88,do,Playhouse,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,New York State Museum,northamerica/unitedstates/newyorkstate/albany/new_york_state_museum,0.333,,,missing_coordinates; has_external_url,http://www.parkplayhouse.com,https://en.wikivoyage.org/wiki/Albany_%28New_York%29
europe/norway/alesund,Ålesund,Ålesund,4,13,see,CitySightseeing Ålesund,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Atlantic Sea-Park,europe/norway/alesund/atlantic_sea_park,0.256,,,missing_coordinates; has_external_url,https://www.stromma.no/alesund/,https://en.wikivoyage.org/wiki/%C3%85lesund
northamerica/unitedstates/ohio/toledo,Toledo,Toledo (Ohio),13,91,do,Old West End Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Fifth Third Field,northamerica/unitedstates/ohio/toledo/fifth_third_field,0.368,,,missing_coordinates; has_external_url,https://www.toledooldwestend.com/,https://en.wikivoyage.org/wiki/Toledo_%28Ohio%29
europe/italy/tuscany/lucca,Lucca,Lucca,11,30,do,Puccini festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Puccini Birthplace Museum,europe/italy/tuscany/lucca/puccini_birthplace,0.488,,,missing_coordinates; has_external_url,https://www.puccinifestival.it,https://en.wikivoyage.org/wiki/Lucca
northamerica/unitedstates/florida/northeastflorida/staugustine,St. Augustine,St. Augustine,11,75,do,Blessing of the Fleet,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,St. George Street,northamerica/unitedstates/florida/northeastflorida/staugustine/st_george_street,0.424,,,missing_coordinates; has_external_url,https://www.visitstaugustine.com/event/blessing-fleet,https://en.wikivoyage.org/wiki/St._Augustine
europe/netherlands/gouda,Gouda,Gouda,6,83,do,Cheese Market,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Sint Janskerk,europe/netherlands/gouda/sint_janskerk,0.385,,,missing_coordinates; has_external_url,http://www.goudakaasstad.nl,https://en.wikivoyage.org/wiki/Gouda
europe/ireland/kilkenny,Kilkenny,Kilkenny,13,39,see,National Design & Craft Centre,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Tynan's Bridge House Bar,europe/ireland/kilkenny/tynans_bridge_hous,0.286,,,missing_coordinates; has_external_url,https://www.ndcg.ie/,https://en.wikivoyage.org/wiki/Kilkenny
europe/denmark/fredericia,Fredericia,Fredericia,9,20,see,Gunpowder Tower,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Old Town Grid,europe/denmark/fredericia/old_town,0.5,,,missing_coordinates; has_external_url,http://www.visitfredericia.dk,https://en.wikivoyage.org/wiki/Fredericia
northamerica/unitedstates/alabama/huntsville,Huntsville,Huntsville (Alabama),16,74,see,Ditto Landing,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Burritt on the Mountain,northamerica/unitedstates/alabama/huntsville/burritt_on_the_mountain,0.438,,,missing_coordinates; has_external_url,http://dittolanding.org/,https://en.wikivoyage.org/wiki/Huntsville_%28Alabama%29
europe/slovakia/bratislava,Bratislava,Bratislava,51,87,see,Milan Dobes Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Main Square (Hlavné námestie),europe/slovakia/bratislava/main_square,0.483,,,missing_coordinates; has_external_url,http://www.milandobes.sk/,https://en.wikivoyage.org/wiki/Bratislava
europe/germany/northrhinewestphalia/aachen,Aachen,Aachen,14,74,do,November - December: Aachen Christmas Market,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Alte Aachener Kaffeehausgesellschaft,europe/germany/northrhinewestphalia/aachen/alte_aachener_kaffeehausgesellschaft,0.338,,,missing_coordinates; has_external_url,https://aachenweihnachtsmarkt.de,https://en.wikivoyage.org/wiki/Aachen
asia/india/uttarpradesh/noida,Noida,Noida,12,14,see,Stupa 18 Gallery,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Sector 18 Market,asia/india/uttarpradesh/noida/sector_18_market,0.5,,,missing_coordinates; has_external_url,http://www.stupa18.com,https://en.wikivoyage.org/wiki/Noida
northamerica/unitedstates/mississippi/biloxi,Biloxi,Biloxi,8,27,do,Paradise Pier Fun Park,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Mississippi Aquarium,northamerica/unitedstates/mississippi/biloxi/mississippi_aquarium,0.381,,,missing_coordinates; has_external_url,https://www.paradisepierbiloxi.com/,https://en.wikivoyage.org/wiki/Biloxi
