world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,do,Kulkwitzer See,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.315,12.252,Auerbachs Keller,europe/germany/saxony/leipzig/auerbachs_keller,0.4,8.987,8.991,has_external_url,http://www.kulkwitzersee.com/,https://en.wikivoyage.org/wiki/Leipzig
europe/belgium/ypres,Ypres,Ypres,12,15,see,Memorial Museum Passchendaele 1917,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,50.870733,2.988606,Museum Godshuis Belle,europe/belgium/ypres/museum_godshuis_belle,0.4,7.559,7.585,has_external_url,http://www.passchendaele.be/,https://en.wikivoyage.org/wiki/Ypres
asia/turkey/ankara,Ankara,Ankara,13,116,see,Cermodern,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.9311,32.84983,Kocatepe Mosque,asia/turkey/ankara/kocatepe_mosque,0.417,1.854,1.203,has_external_url,http://www.cermodern.org/,https://en.wikivoyage.org/wiki/Ankara
europe/unitedkingdom/england/south_east/crawley,Crawley,Crawley,5,25,see,Crawley Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.116842,-0.19196,Nymans Garden,europe/unitedkingdom/england/south_east/crawley/nymans_garden,0.296,6.989,1.098,has_external_url,https://crawleymuseums.org/,https://en.wikivoyage.org/wiki/Crawley
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,Kuaba Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.9785,-86.1319,Madam Walker Legacy Center,northamerica/unitedstates/indiana/indianapolis/madame_walker_theatre,0.41,23.303,23.482,has_external_url,https://kuaba.com/,https://en.wikivoyage.org/wiki/Indianapolis
europe/italy/puglia/gravina_in_puglia,Gravina in Puglia,Gravina di Puglia,7,71,see,Naturalistic Area of Capotenda,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.8242233,16.4054649,Gravina Cathedral,europe/italy/puglia/gravina_in_puglia/gravina_cathedral,0.468,1.016,1.54,has_external_url,https://www.iatgravina.it/area-naturalistica-di-capotenda/,https://en.wikivoyage.org/wiki/Gravina_di_Puglia
europe/switzerland/lugano,Lugano,Lugano,7,47,do,Swissminiatur,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.953589,8.950617,Monte Brè,europe/switzerland/lugano/monte_bre,0.381,6.805,5.718,has_external_url,http://www.swissminiatur.ch,https://en.wikivoyage.org/wiki/Lugano
europe/hungary/miskolc,Miskolc,Miskolc,8,82,see,Castle of Diósgyőr,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,48.098,20.6889,Diósgyőr Castle,europe/hungary/miskolc/diósgyőr_castle,0.485,2.66,7.529,has_external_url,http://www.diosgyorivar.hu,https://en.wikivoyage.org/wiki/Miskolc
southamerica/venezuela/barquisimeto,Barquisimeto,Barquisimeto,10,15,do,Temático Bosque Macuto Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,10.0477,-69.3264,Bararida Zoological and Botanical Park,southamerica/venezuela/barquisimeto/bararida_zoo,0.369,4.353,3.338,has_external_url,http://parquebosquemacuto.wordpress.com/,https://en.wikivoyage.org/wiki/Barquisimeto
europe/unitedkingdom/england/eastern_england/colchester,Colchester,Colchester,11,38,see,Green Island Gardens,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.906,0.988,Roman Circus,europe/unitedkingdom/england/eastern_england/colchester/roman_circus,0.375,6.803,6.34,has_external_url,https://www.greenislandgardens.co.uk/,https://en.wikivoyage.org/wiki/Colchester
australiaandpacific/newzealand/greymouth,Greymouth,Greymouth,6,51,do,Woods Creek Track,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-42.548396,171.349038,West Coast Wilderness Trail,australiaandpacific/newzealand/greymouth/west_coast_wilderness_trail,0.455,15.665,15.948,has_external_url,https://www.doc.govt.nz/parks-and-recreation/places-to-go/west-coast/places/greymouth-area/things-to-do/tracks/woods-creek-track/,https://en.wikivoyage.org/wiki/Greymouth
northamerica/unitedstates/newyorkstate/albany,Albany,Albany (New York),6,88,do,Mohawk Hudson-River Bikeway,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.642202,-73.750492,Shaker Heritage Society,northamerica/unitedstates/newyorkstate/albany/first_shaker_village,0.36,6.56,1.066,has_external_url,http://www.mhbht.org/,https://en.wikivoyage.org/wiki/Albany_%28New_York%29
