world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/albania/tirana,Tirana,Tirana,52,117,do,Tirana International Film Festival,0.59,candidate,has description; high-value type; has external URL,,,National Museum of Fine Arts,europe/albania/tirana/national_art_gallery,0.452,,,missing_coordinates; has_external_url,http://www.tiranafilmfest.com/,https://en.wikivoyage.org/wiki/Tirana
northamerica/unitedstates/florida/thepanhandle/apalachicola,Apalachicola,Apalachicola,17,31,do,Apalachicola Antique & Classic Boat Show,0.59,candidate,has description; high-value type; has external URL,,,Apalachicola Maritime Museum,northamerica/unitedstates/florida/thepanhandle/apalachicola/maritime_museum,0.543,,,missing_coordinates; has_external_url,http://www.antiqueboatshow.org,https://en.wikivoyage.org/wiki/Apalachicola
northamerica/mexico/sanmigueldeallende,San Miguel de Allende,San Miguel de Allende,6,87,see,ETN (Enlances Terrestre Nacionales); Turistar,0.59,candidate,has description; high-value type; has external URL,,,Fábrica La Aurora,northamerica/mexico/sanmigueldeallende/fabrica_la_aurora,0.385,,,missing_coordinates; has_external_url,http://www.etn.com.mx,https://en.wikivoyage.org/wiki/San_Miguel_de_Allende
asia/bangladesh/dhaka,Dhaka,Dhaka,20,27,see,Green Line,0.59,candidate,has description; high-value type; has external URL,,,Shaheed Minar,asia/bangladesh/dhaka/shaheed_minar,0.435,,,missing_coordinates; has_external_url,http://www.greenlinebd.com/,https://en.wikivoyage.org/wiki/Dhaka
europe/poland/warsaw,Warsaw,Warsaw,56,70,do,Burn Selector Festival,0.59,candidate,has description; high-value type; has external URL,,,Bar Mleczny (Milk Bar) Prasowy,europe/poland/warsaw/gospoda_pod_kogutem,0.39,,,missing_coordinates; has_external_url,http://selectorfestival.pl/en,https://en.wikivoyage.org/wiki/Warsaw
northamerica/unitedstates/colorado/idaho_springs,Idaho Springs,Idaho Springs,3,39,do,Liquid Descent,0.59,candidate,has description; high-value type; has external URL,,,Indian Springs Resort,northamerica/unitedstates/colorado/idaho_springs/indian_springs_resort,0.343,,,missing_coordinates; has_external_url,https://coloradorafting.com/,https://en.wikivoyage.org/wiki/Idaho_Springs
asia/japan/shikoku/uwajima,Uwajima,Uwajima,4,15,do,Bull sumo,0.59,candidate,has description; high-value type; has external URL,,,Tōgyū Bullfighting,asia/japan/shikoku/uwajima/togyu_bullfighting,0.308,,,missing_coordinates; has_external_url,http://www.tougyu.com/tougyu/taikai_info/index.html,https://en.wikivoyage.org/wiki/Uwajima
northamerica/mexico/puertovallarta,Puerto Vallarta,Puerto Vallarta,34,88,do,Marathon,0.59,candidate,has description; high-value type; has external URL,,,El Arrayán,northamerica/mexico/puertovallarta/el_arrayan,0.533,,,missing_coordinates; has_external_url,http://www.maratonvallarta.com/,https://en.wikivoyage.org/wiki/Puerto_Vallarta
europe/unitedkingdom/england/birmingham_and_west_midlands/coventry,Coventry,Coventry,16,65,do,Wasps RFC,0.59,candidate,has description; high-value type; has external URL,,,Spon Street,europe/unitedkingdom/england/birmingham_and_west_midlands/coventry/spon_street,0.4,,,missing_coordinates; has_external_url,https://www.wasps.co.uk/,https://en.wikivoyage.org/wiki/Coventry
northamerica/unitedstates/arizona/flagstaff,Flagstaff,Flagstaff,12,67,do,Absolute Bikes,0.59,candidate,has description; high-value type; has external URL,,,The Arboretum at Flagstaff,northamerica/unitedstates/arizona/flagstaff/the_arboretum,0.333,,,missing_coordinates; has_external_url,http://www.absolutebikes.net/,https://en.wikivoyage.org/wiki/Flagstaff
europe/france/aquitaine/saintes,Saintes,Saintes,6,93,do,Fête de la Musique,0.59,candidate,has description; high-value type; has external URL,,,Musée Archéologique,europe/france/aquitaine/saintes/musee_archeologique,0.452,,,missing_coordinates; has_external_url,https://www.facebook.com/FetedelaMusique,https://en.wikivoyage.org/wiki/Saintes
europe/belarus/brest,Brest,Brest (Belarus),5,14,see,State Archive of the Brest Oblast,0.59,candidate,has description; high-value type; has external URL,,,Brest Fortress,europe/belarus/brest/brest_fortress,0.372,,,missing_coordinates; has_external_url,http://www.brestjust.gov.by/pages/gosudarstvennyy-arkhiv-brestskoy-oblasti,https://en.wikivoyage.org/wiki/Brest_%28Belarus%29
northamerica/unitedstates/texas/austin,Austin,Austin,45,55,do,Texas Book Festival,0.59,candidate,has description; high-value type; has external URL,,,Texas State Capitol,northamerica/unitedstates/texas/austin/texas_state_capitol,0.526,,,missing_coordinates; has_external_url,http://www.texasbookfestival.org/,https://en.wikivoyage.org/wiki/Austin
asia/japan/honshu/hiroshima,Hiroshima,Hiroshima,8,99,do,Big Wave,0.59,candidate,has description; high-value type; has external URL,,,A-Bomb Dome (Genbaku Dome),asia/japan/honshu/hiroshima/abomb_dome,0.353,,,missing_coordinates; has_external_url,https://www.sports-or.city.hiroshima.jp/facilities/sogo-p,https://en.wikivoyage.org/wiki/Hiroshima
europe/romania/iasi,Iași,Iași,7,29,see,Tourism Information Centre Iaşi,0.59,candidate,has description; high-value type; has external URL,,,Iași National Theatre,europe/romania/iasi/iasi_national_theatre,0.538,,,missing_coordinates; has_external_url,http://turism-iasi.ro/index.php?id=102,https://en.wikivoyage.org/wiki/Ia%C8%99i
