world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/washington/seattle,Seattle,Seattle,19,70,do,Luminata,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Blue Moon Tavern,northamerica/unitedstates/washington/seattle/blue_moon_tavern,0.5,,,missing_coordinates; has_external_url,https://fremontartscouncil.org/luminata,https://en.wikivoyage.org/wiki/Seattle
africa/southafrica/pretoria,Pretoria,Pretoria,12,120,do,Austin Roberts Bird Sanctuary,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Loftus Versfeld Stadium,africa/southafrica/pretoria/loftus_versfeld,0.423,,,missing_coordinates; has_external_url,http://www.tshwane.gov.za/sites/tourism/NatureConservation/Pages/Austin-Roberts-Memorial-Bird.aspx,https://en.wikivoyage.org/wiki/Pretoria
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/york,York,York,51,165,do,York Festival of Ideas,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,York Ghost Tours,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/york/york_ghost_tour,0.526,,,missing_coordinates; has_external_url,https://yorkfestivalofideas.com/,https://en.wikivoyage.org/wiki/York
northamerica/canada/saskatchewan/swift_current,Swift Current,Swift Current,3,15,see,Rider Express,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Art Gallery of Swift Current,northamerica/canada/saskatchewan/swift_current/art_gallery,0.293,,,missing_coordinates; has_external_url,https://riderexpress.ca/schedules/,https://en.wikivoyage.org/wiki/Swift_Current
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,see,Propsteikirche St. Gertrud von Brabant,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Rotisserie du Boeuf,europe/germany/northrhinewestphalia/bochum/rottisserie_du_boeuf,0.34,,,missing_coordinates; has_external_url,http://www.propstei-wattenscheid.de/,https://en.wikivoyage.org/wiki/Bochum
europe/sweden/uppsala,Uppsala,Uppsala,18,180,do,Valborg,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Hambergs Fisk,europe/sweden/uppsala/hambergs_fisk,0.4,,,missing_coordinates; has_external_url,https://valborgiuppsala.se/en/,https://en.wikivoyage.org/wiki/Uppsala
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,do,Bay FC,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Back A Yard,northamerica/unitedstates/california/san_jose/back_a_yard,0.4,,,missing_coordinates; has_external_url,https://bayfc.com/,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
northamerica/canada/alberta/calgary,Calgary,Calgary,38,59,do,Dragon Boat Race and Festival,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Glenmore Landing,northamerica/canada/alberta/calgary/glenmorelanding,0.444,,,missing_coordinates; has_external_url,https://chinatownslotpg.com/dragonboat/,https://en.wikivoyage.org/wiki/Calgary
africa/seychelles/ladigue,La Digue,La Digue,9,19,see,Inter Island Ferry,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Grand Anse,africa/seychelles/ladigue/grand_anse,0.429,,,missing_coordinates; has_external_url,https://www.iif-catrose.com/,https://en.wikivoyage.org/wiki/La_Digue
europe/ireland/waterford,Waterford,Waterford,6,48,see,Irish Wake Museum,0.63,candidate,has description; high-value type; has external URL; strong travel term,,,Waterford Medieval Museum,europe/ireland/waterford/medieval_museum,0.476,,,missing_coordinates; has_external_url,https://www.waterfordtreasures.com/museum/irish-wake-museum/,https://en.wikivoyage.org/wiki/Waterford
