world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/newmexico/ruidoso,Ruidoso,Ruidoso,7,10,do,Perk Canyon,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.341,-105.7005,Noisy Water Winery,northamerica/unitedstates/newmexico/ruidoso/noisy_water_winery,0.345,3.067,2.752,has_external_url,https://www.ruidosooutdoors.com/hiking-gallery-page-ruidoso-outdoors/perkcanyon,https://en.wikivoyage.org/wiki/Ruidoso
northamerica/unitedstates/texas/sanantonio,San Antonio,San Antonio,26,86,do,Eisenhower Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,29.6223,-98.5725,Spanish Governor's Palace,northamerica/unitedstates/texas/sanantonio/spanish_governors_palace,0.45,23.16,23.224,has_external_url,https://www.sanantonio.gov/ParksAndRec/Parks-Facilities/All-Parks-Facilities/Parks-Facilities-Details/ArtMID/14820/ArticleID/2662/Eisenhower-Park,https://en.wikivoyage.org/wiki/San_Antonio
northamerica/unitedstates/massachusetts/worcester,Worcester,Worcester (Massachusetts),20,108,see,EcoTarium - A Museum of Science and Nature,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.264111,-71.766806,Cathedral of Saint Paul,northamerica/unitedstates/massachusetts/worcester/cathedral_of_st_paul,0.393,3.098,2.892,has_external_url,http://www.ecotarium.org/,https://en.wikivoyage.org/wiki/Worcester_%28Massachusetts%29
northamerica/canada/ontario/welland,Welland,Welland,6,29,do,Fonthill Bandshell,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,43.044075,-79.286011,Main Street Tunnel,northamerica/canada/ontario/welland/main_street_tunnel,0.278,7.983,6.529,has_external_url,http://www.fonthillbandshell.com/,https://en.wikivoyage.org/wiki/Welland
asia/turkey/konya,Konya,Konya,24,16,see,Science Centre,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.9874,32.5939,Mevlana Cultural Centre (Sema Performances),asia/turkey/konya/mevlana_cultural_center,0.541,14.793,15.539,has_external_url,https://www.konyabilimmerkezi.com/,https://en.wikivoyage.org/wiki/Konya
northamerica/unitedstates/washington/olympia,Olympia,Olympia (Washington),12,29,see,Olympic Flight Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,46.9758,-122.898,Olympia Farmers Market,northamerica/unitedstates/washington/olympia/olympia_farmers_market,0.512,8.257,7.709,has_external_url,http://www.olympicflightmuseum.com/,https://en.wikivoyage.org/wiki/Olympia_%28Washington%29
northamerica/unitedstates/georgia/valdosta,Valdosta,Valdosta,8,27,see,Annette Howell Turner Center for the Arts,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,30.836251,-83.281262,Historic Downtown and Courthouse Square,northamerica/unitedstates/georgia/valdosta/historic_downtown,0.525,0.475,0.475,has_external_url,http://www.turnercenter.org/,https://en.wikivoyage.org/wiki/Valdosta
europe/germany/saxony/dresden,Dresden,Dresden,31,149,see,Leonhardi Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.0551,13.8168,Dresden City Museum (Stadtmuseum),europe/germany/saxony/dresden/stadtmuseum,0.514,5.186,5.535,has_external_url,https://leonhardi-museum.de/en,https://en.wikivoyage.org/wiki/Dresden
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,Royal Birmingham Society of Artists,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.4849,-1.9075,Newman Brothers Coffin Works,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/newman_brothers_coffin_works,0.549,0.451,0.663,has_external_url,http://www.rbsa.org.uk/,https://en.wikivoyage.org/wiki/Birmingham
northamerica/unitedstates/kansas/lawrence,Lawrence,Lawrence (Kansas),8,39,see,Allen Fieldhouse,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.954306,-95.252394,The Eldridge Hotel,northamerica/unitedstates/kansas/lawrence/eldridge_hotel,0.4,2.32,2.42,has_external_url,https://kuathletics.com/facilities/allen-fieldhouse/,https://en.wikivoyage.org/wiki/Lawrence_%28Kansas%29
