world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/indonesia/bali/ubud,Ubud,Ubud,21,95,do,Payuk Bali Home Cooking Class,0.74,candidate,has coordinates; has description; high-value type; has external URL,-8.50357,115.277567,Balinese Cooking Classes,asia/indonesia/bali/ubud/cooking_class,0.717,1.951,1.78,has_external_url,http://www.payukbali.com/,https://en.wikivoyage.org/wiki/Ubud
australiaandpacific/australia/tasmania/hobart,Hobart,Hobart,57,83,do,Moorilla,0.74,candidate,has coordinates; has description; high-value type; has external URL,-42.8116,147.2567,MONA — Museum of Old and New Art,australiaandpacific/australia/tasmania/hobart/mona,0.617,0.383,9.72,has_external_url,http://moorilla.com.au/,https://en.wikivoyage.org/wiki/Hobart
europe/czechrepublic/olomouc,Olomouc,Olomouc,16,49,see,Botanic Gardens,0.74,candidate,has coordinates; has description; high-value type; has external URL,49.5931,17.2609,Mausoleum of Yugoslav Soldiers,europe/czechrepublic/olomouc/yugoslav_mausoleum,0.649,0.351,0.711,has_external_url,http://www.flora-ol.cz/vystaviste-flora-olomouc-en,https://en.wikivoyage.org/wiki/Olomouc
asia/malaysia/ipoh,Ipoh,Ipoh,20,78,see,Kinta Riverfront Walk,0.74,candidate,has coordinates; has description; high-value type; has external URL,4.6012,101.0793,Ipoh Railway Station,asia/malaysia/ipoh/ipoh_railway_station,0.614,0.386,1.221,has_external_url,http://www.ipoh-city.com/attraction/Kinta_Riverfront_Walk/,https://en.wikivoyage.org/wiki/Ipoh
northamerica/unitedstates/michigan/marquette,Marquette,Marquette (Michigan),7,42,do,Marquette Mountain,0.74,candidate,has coordinates; has description; high-value type; has external URL,46.508,-87.42,Sugarloaf Mountain,northamerica/unitedstates/michigan/marquette/sugarloaf_mountain,0.611,11.694,17.445,has_external_url,http://www.marquettemountain.com,https://en.wikivoyage.org/wiki/Marquette_%28Michigan%29
europe/ireland/waterford,Waterford,Waterford,6,48,do,Waterford and Suir Valley Railway,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.2469,-7.2469,Waterford Medieval Museum,europe/ireland/waterford/medieval_museum,0.552,9.667,9.322,has_external_url,https://www.wsvrailway.ie/,https://en.wikivoyage.org/wiki/Waterford
northamerica/dominicanrepublic/punta_cana,Punta Cana,Punta Cana,10,17,see,Centro Medico Punta Cana,0.74,candidate,has coordinates; has description; high-value type; has external URL,18.6865,-68.44902,Bávaro Beach,northamerica/dominicanrepublic/punta_cana/bavaro_beach,0.63,0.37,12.492,has_external_url,https://www.centromedicopuntacana.com/,https://en.wikivoyage.org/wiki/Punta_Cana
northamerica/canada/ontario/niagrafalls,Niagara Falls,Niagara Falls (Ontario),10,83,do,Niagara Helicopters Limited,0.74,candidate,has coordinates; has description; high-value type; has external URL,43.11862,-79.074395,Niagara-on-the-Lake,northamerica/canada/ontario/niagrafalls/niagara_on_the_lake,0.571,15.177,1.589,has_external_url,http://www.niagarahelicopters.com,https://en.wikivoyage.org/wiki/Niagara_Falls_%28Ontario%29
asia/laos/vangvieng,Vang Vieng,Vang Vieng,15,27,do,Organic Farm,0.74,candidate,has coordinates; has description; high-value type; has external URL,18.96129,102.44481,Organic Farm Restaurant,asia/laos/vangvieng/organic_farm_restaurant,0.686,3.999,1.469,has_external_url,http://www.laofarm.org/,https://en.wikivoyage.org/wiki/Vang_Vieng
europe/finland/jyvaskyla,Jyväskylä,Jyväskylä,10,66,see,Jyväskylä harbour,0.74,candidate,has coordinates; has description; high-value type; has external URL,62.2373,25.756,Jyväskylä Art Museum,europe/finland/jyvaskyla/jyvaskyla_art_museum,0.686,0.746,0.634,has_external_url,https://visitjyvaskyla.fi/en/attractions/jyvaskyla-harbour-in-lutakko/,https://en.wikivoyage.org/wiki/Jyv%C3%A4skyl%C3%A4
africa/uganda/kampala,Kampala,Kampala,13,59,see,Wamala tombs,0.74,candidate,has coordinates; has description; high-value type; has external URL,0.3911,32.5254,Kasubi Tombs,africa/uganda/kampala/kasubitombs,0.583,7.524,10.261,has_external_url,https://www.wmf.org/project/wamala-king%E2%80%99s-tombs,https://en.wikivoyage.org/wiki/Kampala
australiaandpacific/newzealand/whangarei,Whangarei,Whangarei,11,21,see,Whangarei Quarry Gardens,0.74,candidate,has coordinates; has description; high-value type; has external URL,-35.7128,174.3085,Whangarei Heads,australiaandpacific/newzealand/whangarei/whangarei_heads,0.615,25.578,1.911,has_external_url,http://www.whangareigardens.org.nz/,https://en.wikivoyage.org/wiki/Whangarei
europe/unitedkingdom/scotland/inverness,Inverness,Inverness,9,41,see,Inverness Botanic Gardens,0.74,candidate,has coordinates; has description; high-value type; has external URL,57.4632,-4.2404,Inverness Castle,europe/unitedkingdom/scotland/inverness/inverness_castle,0.634,1.708,1.964,has_external_url,https://www.highlifehighland.com/inverness-botanic-gardens/,https://en.wikivoyage.org/wiki/Inverness
europe/spain/catalonia/olot,Olot,Olot,13,10,see,Espai crater,0.74,candidate,has coordinates; has description; high-value type; has external URL,42.185035,2.485637,Volcà del Montsacopa,europe/spain/catalonia/olot/volca_montsacopa,0.663,0.337,0.419,has_external_url,https://espaicrater.com,https://en.wikivoyage.org/wiki/Olot
europe/netherlands/arnhem,Arnhem,Arnhem,12,78,do,Focus Filmtheater Arnhem,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.98254,5.90451,Korenmarkt,europe/netherlands/arnhem/korenmarkt,0.666,0.334,0.489,has_external_url,http://www.focusarnhem.nl,https://en.wikivoyage.org/wiki/Arnhem
southamerica/venezuela/maracaibo,Maracaibo,Maracaibo,5,32,see,Museo Rafael Urdaneta,0.74,candidate,has coordinates; has description; high-value type; has external URL,10.64654,-71.60976,General Rafael Urdaneta Bridge,southamerica/venezuela/maracaibo/urdaneta_bridge,0.667,6.057,3.799,has_external_url,https://www.facebook.com/pages/category/History-Museum/Museo-Rafael-Urdaneta-83637208173/,https://en.wikivoyage.org/wiki/Maracaibo
europe/poland/katowice,Katowice,Katowice,12,77,do,Rialto,0.74,candidate,has coordinates; has description; high-value type; has external URL,50.2565,19.0207,U Michała,europe/poland/katowice/u_michała,0.675,0.325,0.96,has_external_url,https://www.rialto.katowice.pl/,https://en.wikivoyage.org/wiki/Katowice
northamerica/unitedstates/newyorkstate/rochester,Rochester,Rochester (New York),13,238,do,Rochester Movies 10,0.74,candidate,has coordinates; has description; high-value type; has external URL,43.1005,-77.6311,Rochester Public Market,northamerica/unitedstates/newyorkstate/rochester/rochester_public_market,0.571,7.785,6.495,has_external_url,https://www.rochestermovies10.com,https://en.wikivoyage.org/wiki/Rochester_%28New_York%29
europe/sweden/stockholm,Stockholm,Stockholm,56,118,see,Norway,0.74,candidate,has coordinates; has description; high-value type; has external URL,59.333794,18.107336,Norrmalm,europe/sweden/stockholm/norrmalm,0.571,2.41,2.271,has_external_url,https://www.norway.no/no/sweden/,https://en.wikivoyage.org/wiki/Stockholm
northamerica/unitedstates/oklahoma/tulsa,Tulsa,Tulsa,16,92,see,Greenwood Cultural Center,0.74,candidate,has coordinates; has description; high-value type; has external URL,36.161993,-95.987539,Woody Guthrie Center,northamerica/unitedstates/oklahoma/tulsa/woody_guthrie_center,0.667,1.324,0.786,has_external_url,https://www.greenwoodculturalcenter.org/,https://en.wikivoyage.org/wiki/Tulsa
northamerica/unitedstates/virginia/charlottesville,Charlottesville,Charlottesville,11,94,see,James Monroe's Highland,0.74,candidate,has coordinates; has description; high-value type; has external URL,37.9794,-78.4544,Ash Lawn-Highland,northamerica/unitedstates/virginia/charlottesville/ash_lawn_highland,0.65,2.077,5.883,has_external_url,https://www.highland.org/,https://en.wikivoyage.org/wiki/Charlottesville
europe/italy/lombardia/mantua,Mantua,Mantua,10,44,see,Casa del Cappellaio,0.74,candidate,has coordinates; has description; high-value type; has external URL,45.158292,10.7936677,Palazzo Ducale,europe/italy/lombardia/mantua/palazzo_ducale,0.647,0.353,9.707,has_external_url,http://www.turismo.mantova.it/index.php/risorse/scheda/id/958,https://en.wikivoyage.org/wiki/Mantua
europe/unitedkingdom/wales/llangollen,Llangollen,Llangollen,5,16,do,Safe & Sound Outdoors,0.74,candidate,has coordinates; has description; high-value type; has external URL,52.96948,-3.16906,Plas Newydd,europe/unitedkingdom/wales/llangollen/plas_newydd,0.649,0.351,0.159,has_external_url,http://www.sasoutdoors.co.uk/,https://en.wikivoyage.org/wiki/Llangollen
europe/germany/brandenburg/cottbus,Cottbus,Cottbus,6,43,see,Cottbuser Ostsee,0.74,candidate,has coordinates; has description; high-value type; has external URL,51.7875,14.4322,Cottbus Zoo,europe/germany/brandenburg/cottbus/cottbus_zoo,0.667,7.508,7.467,has_external_url,https://cottbuser-ostsee.de/,https://en.wikivoyage.org/wiki/Cottbus
northamerica/unitedstates/newyorkstate/ithaca_tompkins_c,Ithaca,Ithaca (New York),19,87,see,Ithaca College,0.74,candidate,has coordinates; has description; high-value type; has external URL,42.4218,-76.4947,Ithaca Falls,northamerica/unitedstates/newyorkstate/ithaca_tompkins_c/ithaca_falls,0.692,3.468,2.111,has_external_url,http://www.ithaca.edu,https://en.wikivoyage.org/wiki/Ithaca_%28New_York%29
northamerica/greenland/nanortalik,Nanortalik,Nanortalik,4,10,see,Tasermiut Fjord,0.74,candidate,has coordinates; has description; high-value type; has external URL,60.14189,-45.237749,Nanortalik Church,northamerica/greenland/nanortalik/nanortalik_church,0.691,0.309,0.35,has_external_url,https://tasermiutcamp.gl/,https://en.wikivoyage.org/wiki/Nanortalik
northamerica/unitedstates/ohio/cleveland,Cleveland,Cleveland,59,29,see,Cleveland Plain Dealer,0.74,candidate,has coordinates; has description; high-value type; has external URL,41.507083,-81.679778,Cleveland Public Library,northamerica/unitedstates/ohio/cleveland/cleveland_public_library,0.696,1.188,1.422,has_external_url,https://www.cleveland.com/,https://en.wikivoyage.org/wiki/Cleveland
