world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/uzbekistan/tashkent,Tashkent,Tashkent,41,109,see,Oqsaroy Presidential Palace,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.3083,69.2599,Tashkent Botanical Garden,asia/uzbekistan/tashkent/botanical_garden,0.423,4.749,1.632,needs_external_source,,https://en.wikivoyage.org/wiki/Tashkent
asia/china/guangxi/liuzhou,Liuzhou,Liuzhou,6,13,see,Malushan Rare Stones Exposition Garden,0.89,candidate,has coordinates; has description; high-value type; strong travel term,24.34346135,109.43781172,Liuzhou Military Museum,asia/china/guangxi/liuzhou/liuzhou_military_museum,0.328,4.635,4.214,needs_external_source,,https://en.wikivoyage.org/wiki/Liuzhou
asia/china/hubei/enshi,Enshi,Enshi,4,42,do,Daughter City Amusement Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.267858,109.50255,Tusi City,asia/china/hubei/enshi/tusi_city,0.324,5.376,1.451,needs_external_source,,https://en.wikivoyage.org/wiki/Enshi
northamerica/turksandcaicosislands/southcaicos,South Caicos,South Caicos,5,13,do,Valley Bay Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,21.5026,-71.493,Sail Rock and the South-End Beaches,northamerica/turksandcaicosislands/southcaicos/sail_rock,0.426,6.99,2.808,needs_external_source,,https://en.wikivoyage.org/wiki/South_Caicos
asia/china/sichuanprovince/leshan,Leshan,Leshan,4,18,do,Haitang Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,29.5583927112,103.7609020059,Leshan Giant Buddha,asia/china/sichuanprovince/leshan/leshan_giant_buddha,0.452,1.938,1.545,needs_external_source,,https://en.wikivoyage.org/wiki/Leshan
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bournemouth,Bournemouth,Bournemouth,12,49,see,The Launderette,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.7195,-1.8866,The Square,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bournemouth/the_square,0.513,0.487,0.476,needs_external_source,,https://en.wikivoyage.org/wiki/Bournemouth
asia/china/zhejiang/hangzhou,Hangzhou,Hangzhou,21,79,see,Yanggong Causeway,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.25049,120.12632,Grand Canal (Hangzhou Terminal),asia/china/zhejiang/hangzhou/grand_canal,0.429,9.451,7.582,needs_external_source,,https://en.wikivoyage.org/wiki/Hangzhou
europe/portugal/setubal,Setúbal,Setúbal,13,47,do,Galapinhos Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.48387,-8.96835,Sado Estuary Dolphin Watching,europe/portugal/setubal/dolphin_watching,0.4,4.574,7.925,needs_external_source,,https://en.wikivoyage.org/wiki/Set%C3%BAbal
asia/india/assam/guwahati,Guwahati,Guwahati,24,59,do,Amchang Wildlife Sanctuary,0.89,candidate,has coordinates; has description; high-value type; strong travel term,26.18422,91.86213,Cafe Hendrix,asia/india/assam/guwahati/cafe_hendrix,0.368,10.539,10.803,needs_external_source,,https://en.wikivoyage.org/wiki/Guwahati
europe/azerbaijan/nagornokarabakh/shusha,Shusha,Shusha,5,17,see,Zontik Waterfall,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.75689,46.76453,Shusha Fortress Walls,europe/azerbaijan/nagornokarabakh/shusha/shusha_fortress,0.378,1.605,1.345,needs_external_source,,https://en.wikivoyage.org/wiki/Shusha
asia/srilanka/colombo,Colombo,Colombo,25,116,see,St Andrew's Scots Kirk church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,6.91893,79.84768,Sky Lounge (Hilton),asia/srilanka/colombo/rooftop_bar_clock,0.515,0.485,1.747,needs_external_source,,https://en.wikivoyage.org/wiki/Colombo
asia/china/hainanisland/haikou,Haikou,Haikou,11,64,see,Evergreen Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,20.0359313628,110.3094079358,People's Park,asia/china/hainanisland/haikou/peoples_park_haikou,0.519,3.553,11.938,needs_external_source,,https://en.wikivoyage.org/wiki/Haikou
northamerica/mexico/acapulco,Acapulco,Acapulco,8,17,see,Puerto Marqués,0.89,candidate,has coordinates; has description; high-value type; strong travel term,16.80085,-99.8353,Fort of San Diego,northamerica/mexico/acapulco/fort_san_diego,0.323,8.172,9.741,needs_external_source,,https://en.wikivoyage.org/wiki/Acapulco
southamerica/ecuador/banos,Baños,Baños,7,30,see,Manto de la novia,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-1.4045,-78.3361,Thermal Baths,southamerica/ecuador/banos/thermal_baths,0.333,9.881,11.49,needs_external_source,,https://en.wikivoyage.org/wiki/Ba%C3%B1os
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/stonehenge,Stonehenge,Stonehenge,0,8,see,The Avenue,0.89,candidate,has coordinates; has description; high-value type; strong travel term,51.18219,-1.82021,,,0.0,,0.559,needs_external_source,,https://en.wikivoyage.org/wiki/Stonehenge
europe/ukraine/lviv,Lviv,Lviv,12,176,do,Stryiskyi Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,49.8234,24.0257,Rynok Square,europe/ukraine/lviv/rynok_square,0.462,2.048,2.111,needs_external_source,,https://en.wikivoyage.org/wiki/Lviv
