world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/esztergom,Esztergom,Esztergom,6,86,see,Orthodox church,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.78761,18.74095,Royal Palace Ruins,europe/hungary/esztergom/royal_palace_ruins,0.303,1.341,0.218,needs_external_source,,https://en.wikivoyage.org/wiki/Esztergom
africa/kenya/thecoast/malindi,Malindi,Malindi,5,38,do,Garoda Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-3.3841,39.982,Vasco da Gama Pillar,africa/kenya/thecoast/malindi/vasco_da_gama_pillar,0.375,24.381,17.197,needs_external_source,,https://en.wikivoyage.org/wiki/Malindi
asia/india/kerala/thrissur,Thrissur,Thrissur,5,58,see,Chavakad Beach,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.57199,76.00746,Shakthan Thampuran Palace Museum,asia/india/kerala/thrissur/shakthan_thampuran_palace,0.304,22.749,23.192,needs_external_source,,https://en.wikivoyage.org/wiki/Thrissur
europe/greece/samos,Samos,Samos,17,56,see,Prophet Elias,0.89,candidate,has coordinates; has description; high-value type; strong travel term,37.77544,26.71903,Mount Kerkis,europe/greece/samos/mount_kerkis,0.48,10.129,22.804,needs_external_source,,https://en.wikivoyage.org/wiki/Samos
asia/china/yunnanprovince/ruili,Ruili,Ruili,5,20,see,Memorial Park for Overseas Chinese Drivers and Mechanics from Southeast Asia in Chinese People's War of Resistance against Japanese Aggression,0.89,candidate,has coordinates; has description; high-value type; strong travel term,24.0127,97.8492,Burmese Tea Shops,asia/china/yunnanprovince/ruili/burmese_tea_shops,0.444,0.556,0.452,needs_external_source,,https://en.wikivoyage.org/wiki/Ruili
europe/romania/bucharest,Bucharest,Bucharest,11,139,see,Museum of Mary and Dr. G. Severeanu,0.89,candidate,has coordinates; has description; high-value type; strong travel term,44.447315,26.092963,Stavropoleos Monastery,europe/romania/bucharest/stavropoleos_monastery,0.291,1.786,1.467,needs_external_source,,https://en.wikivoyage.org/wiki/Bucharest
asia/turkey/alanya,Alanya,Alanya,6,22,see,Atatürk House Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.5492,31.9996,Alanya Museum,asia/turkey/alanya/alanya_museum,0.545,0.702,0.058,needs_external_source,,https://en.wikivoyage.org/wiki/Alanya
europe/greece/thassos_island,Thassos,Thasos,14,112,see,Tripiti,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.623,24.5397,Ypsario Mountain,europe/greece/thassos_island/ypsario_mountain,0.348,16.571,11.626,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
europe/hungary/eger,Eger,Eger,12,49,see,Rókus (St. Roch) Chapel,0.89,candidate,has coordinates; has description; high-value type; strong travel term,47.90018,20.38612,Eger Thermal Baths,europe/hungary/eger/thermal_baths,0.546,0.454,0.886,needs_external_source,,https://en.wikivoyage.org/wiki/Eger
asia/china/shandong_province/weifang,Weifang,Weifang,5,29,see,Shi Hu Yuang Museum,0.89,candidate,has coordinates; has description; high-value type; strong travel term,36.712599,119.156187,Weifang World Kite Museum,asia/china/shandong_province/weifang/world_kite_museum,0.5,3.8,5.029,needs_external_source,,https://en.wikivoyage.org/wiki/Weifang
europe/unitedkingdom/wales/fishguard,Fishguard,Fishguard,6,7,see,Memorial stone,0.89,candidate,has coordinates; has description; high-value type; strong travel term,52.024042,-5.02438,Pembrokeshire Coast Path,europe/unitedkingdom/wales/fishguard/pembrokeshire_coast_path,0.368,4.681,4.681,needs_external_source,,https://en.wikivoyage.org/wiki/Fishguard
asia/india/madhyapradesh/ujjain,Ujjain,Ujjain,8,25,see,Mangalnath,0.89,candidate,has coordinates; has description; high-value type; strong travel term,23.21127,75.78265,Ram Ghat,asia/india/madhyapradesh/ujjain/ram_ghat,0.444,3.8,2.768,needs_external_source,,https://en.wikivoyage.org/wiki/Ujjain
europe/spain/spanishcostas/benidorm,Benidorm,Benidorm,6,34,do,Platja de Ponent,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.5362,-0.1485,Poniente Beach,europe/spain/spanishcostas/benidorm/poniente_beach,0.444,1.117,1.758,needs_external_source,,https://en.wikivoyage.org/wiki/Benidorm
asia/china/zhejiang/shaoxing,Shaoxing,Shaoxing,11,48,see,Yangshan Stone Buddha,0.89,candidate,has coordinates; has description; high-value type; strong travel term,30.11658072757225,120.54014656451109,Shaoxing Stinky Tofu,asia/china/zhejiang/shaoxing/stinky_tofu,0.488,14.107,14.185,needs_external_source,,https://en.wikivoyage.org/wiki/Shaoxing
southamerica/colombia/pereira,Pereira,Pereira,15,19,see,Alto del Nudo,0.89,candidate,has coordinates; has description; high-value type; strong travel term,4.873,-75.7091,Salento and the Valle de Cocora,southamerica/colombia/pereira/salento_day_trip,0.485,30.341,6.793,needs_external_source,,https://en.wikivoyage.org/wiki/Pereira
southamerica/brazil/curitiba,Curitiba,Curitiba,10,62,see,Tanguá Park,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-25.37906,-49.28243,Teatro Guaíra,southamerica/brazil/curitiba/teatro_guaira,0.522,5.726,5.73,needs_external_source,,https://en.wikivoyage.org/wiki/Curitiba
northamerica/unitedstates/utah/moab,Moab,Moab,9,17,see,Mill Canyon Dinosaur Tracks,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.72285,-109.73648,Corona Arch,northamerica/unitedstates/utah/moab/corona_arch,0.368,19.689,23.404,needs_external_source,,https://en.wikivoyage.org/wiki/Moab
