world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/deserts/barstow,Barstow,Barstow,6,17,see,Main Street Murals,0.59,candidate,has description; high-value type; has external URL,,,Painted Rocks,northamerica/unitedstates/california/deserts/barstow/painted_rocks,0.516,,,missing_coordinates; has_external_url,http://www.mainstreetmurals.com/,https://en.wikivoyage.org/wiki/Barstow
northamerica/mexico/guanajuato,Guanajuato,Guanajuato,50,102,see,Omnibus de Mexico,0.59,candidate,has description; high-value type; has external URL,,,Mestizo,northamerica/mexico/guanajuato/mestizo,0.381,,,missing_coordinates; has_external_url,https://www.odm.com.mx/,https://en.wikivoyage.org/wiki/Guanajuato
northamerica/unitedstates/colorado/grandjunction,Grand Junction,Grand Junction,4,56,do,Westwater Canyon,0.59,candidate,has description; high-value type; has external URL,,,Western Colorado Botanical Gardens,northamerica/unitedstates/colorado/grandjunction/western_colorado_botanical_gardens,0.44,,,missing_coordinates; has_external_url,https://www.blm.gov/programs/recreation/passes-and-permits/lotteries/utah/westwatercanyon,https://en.wikivoyage.org/wiki/Grand_Junction
northamerica/unitedstates/california/orangecounty/irvine,Irvine,Irvine,9,52,see,Metrolink,0.59,candidate,has description; high-value type; has external URL,,,Zov's Bistro,northamerica/unitedstates/california/orangecounty/irvine/zov_bistro,0.286,,,missing_coordinates; has_external_url,https://metrolinktrains.com/,https://en.wikivoyage.org/wiki/Irvine
northamerica/unitedstates/wisconsin/eau_claire,Eau Claire,Eau Claire (Wisconsin),5,87,do,CountryFest,0.59,candidate,has description; high-value type; has external URL,,,Carson Park,northamerica/unitedstates/wisconsin/eau_claire/carson_park,0.273,,,missing_coordinates; has_external_url,http://www.countryfest.com/,https://en.wikivoyage.org/wiki/Eau_Claire_%28Wisconsin%29
asia/oman/muscat,Muscat,Muscat,24,152,see,Egypt Air,0.59,candidate,has description; high-value type; has external URL,,,Bait Al Zubair,asia/oman/muscat/bait_al_zubair,0.435,,,missing_coordinates; has_external_url,http://www.egyptair.com/,https://en.wikivoyage.org/wiki/Muscat
africa/namibia/walvisbay,Walvis Bay,Walvis Bay,13,10,do,Dolphin and whale watching,0.59,candidate,has description; high-value type; has external URL,,,Pelican Point Lighthouse,africa/namibia/walvisbay/pelican_point_lighthouse,0.32,,,missing_coordinates; has_external_url,https://www.laramontours.com/,https://en.wikivoyage.org/wiki/Walvis_Bay
northamerica/unitedstates/pennsylvania/york,York,York (Pennsylvania),5,37,see,YorkPA.org,0.59,candidate,has description; high-value type; has external URL,,,York Central Market,northamerica/unitedstates/pennsylvania/york/central_market,0.414,,,missing_coordinates; has_external_url,http://yorkpa.org,https://en.wikivoyage.org/wiki/York_%28Pennsylvania%29
northamerica/unitedstates/alabama/huntsville,Huntsville,Huntsville (Alabama),16,74,do,Space Camp/Aviation Challenge,0.59,candidate,has description; high-value type; has external URL,,,Alabama Constitution Village,northamerica/unitedstates/alabama/huntsville/alabama_constitution_village,0.491,,,missing_coordinates; has_external_url,http://spacecamp.com/,https://en.wikivoyage.org/wiki/Huntsville_%28Alabama%29
australiaandpacific/australia/tasmania/eastcoast/st_helens,St Helens,St Helens (Tasmania),11,39,do,Peron Dunes,0.59,candidate,has description; high-value type; has external URL,,,Georges Bay,australiaandpacific/australia/tasmania/eastcoast/st_helens/georges_bay,0.364,,,missing_coordinates; has_external_url,https://parks.tas.gov.au/things-to-do/four-wheel-driving-(4wd)/peron-dunes,https://en.wikivoyage.org/wiki/St_Helens_%28Tasmania%29
northamerica/unitedstates/ohio/canton,Canton,Canton (Ohio),10,52,see,The Repository,0.59,candidate,has description; high-value type; has external URL,,,Eagles Temple,northamerica/unitedstates/ohio/canton/eagles_temple,0.261,,,missing_coordinates; has_external_url,https://www.cantonrep.com/,https://en.wikivoyage.org/wiki/Canton_%28Ohio%29
northamerica/unitedstates/oklahoma/ada,Ada,Ada (Oklahoma),6,10,do,Ada Fest,0.59,candidate,has description; high-value type; has external URL,,,Ada Arts and Heritage Center,northamerica/unitedstates/oklahoma/ada/ada_arts_and_heritage_center,0.278,,,missing_coordinates; has_external_url,http://www.adafestoklahoma.org/,https://en.wikivoyage.org/wiki/Ada_%28Oklahoma%29
northamerica/guatemala/guatemalacity,Guatemala City,Guatemala City,12,76,see,Cayalá City,0.59,candidate,has description; high-value type; has external URL,,,Kaminaljuyú,northamerica/guatemala/guatemalacity/kaminal_juyu,0.4,,,missing_coordinates; has_external_url,https://www.cayala.com.gt/,https://en.wikivoyage.org/wiki/Guatemala_City
