world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/california/san_jose,San Jose,San Jose (California),33,114,see,Alum Rock Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,37.3977,-121.8,Back A Yard,northamerica/unitedstates/california/san_jose/back_a_yard,0.522,10.063,10.531,has_external_url,https://www.sanjose.org/listings/alum-rock-park,https://en.wikivoyage.org/wiki/San_Jose_%28California%29
europe/unitedkingdom/england/south_east/guildford,Guildford,Guildford,17,84,see,Watts Gallery and Watts Chapel,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.2213,-0.6293,Watts Cemetery Chapel,europe/unitedkingdom/england/south_east/guildford/watts_chapel,0.471,3.161,4.217,has_external_url,http://www.wattsgallery.org.uk/en-gb/,https://en.wikivoyage.org/wiki/Guildford
europe/unitedkingdom/england/eastern_england/southendonsea,Southend-on-Sea,Southend-on-Sea,10,58,see,Hadleigh Castle,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.543708,0.610268,Adventure Island,europe/unitedkingdom/england/eastern_england/southendonsea/adventure_island,0.323,7.405,7.113,has_external_url,https://www.english-heritage.org.uk/visit/places/hadleigh-castle/,https://en.wikivoyage.org/wiki/Southend-on-Sea
europe/germany/northrhinewestphalia/wuppertal,Wuppertal,Wuppertal,5,15,see,Skulpturenpark Waldfrieden,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.25484,7.16831,Lego Bridge,europe/germany/northrhinewestphalia/wuppertal/lego_bridge,0.378,1.502,1.225,has_external_url,https://skulpturenpark-waldfrieden.de/,https://en.wikivoyage.org/wiki/Wuppertal
europe/italy/puglia/lecce,Lecce,Lecce,7,27,see,Sigismondo Castromediano Archaeological Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,40.34719,18.17138,Museo Provinciale Sigismondo Castromediano,europe/italy/puglia/lecce/museo_provinciale,0.545,0.762,22.174,has_external_url,https://www.comune.lecce.it/vivi-lecce/musei-e-gallerie/museo-provinciale-sigismondo-castromediano,https://en.wikivoyage.org/wiki/Lecce
europe/romania/sibiu,Sibiu,Sibiu,11,16,see,ASTRA Museum of Traditional Folk Civilization,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,45.754991,24.116063,ASTRA Open-Air Museum,europe/romania/sibiu/astra_open_air_museum,0.364,0.889,5.474,has_external_url,http://www.muzeulastra.ro/,https://en.wikivoyage.org/wiki/Sibiu
europe/hungary/veszprem,Veszprém,Veszprém,11,105,see,Szentgál,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.124,17.729,Veszprém County Hall,europe/hungary/veszprem/veszprem_county_hall,0.429,14.03,13.968,has_external_url,http://www.szentgal.hu/,https://en.wikivoyage.org/wiki/Veszpr%C3%A9m
asia/israel/beer_sheva,Be'er Sheva,Beer Sheva,11,19,see,Israeli Air Force Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,31.238344,34.696028,Negev Museum of Art,asia/israel/beer_sheva/negev_museum_of_art,0.419,8.788,9.21,has_external_url,https://101israel.com/israeli-air-force-museum/,https://en.wikivoyage.org/wiki/Beer_Sheva
europe/netherlands/eindhoven,Eindhoven,Eindhoven,15,91,do,Aquabest,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,51.49759,5.433689,Van Abbemuseum,europe/netherlands/eindhoven/van_abbemuseum,0.455,7.548,6.707,has_external_url,http://www.aquabest.nl/,https://en.wikivoyage.org/wiki/Eindhoven
asia/indonesia/java/surabaya,Surabaya,Surabaya,12,138,see,Museum Etnografi dan Pusat Kajian Kematian FISIP UNAIR,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-7.272438,112.759563,House of Sampoerna,asia/indonesia/java/surabaya/house_of_sampoerna,0.361,5.41,3.77,has_external_url,https://museoetno.fisip.unair.ac.id/,https://en.wikivoyage.org/wiki/Surabaya
europe/spain/spanishcostas/altea,Altea,Altea,8,28,do,Palau de Altea,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,38.5993,-0.0581,Plaza de la Iglesia Terraces,europe/spain/spanishcostas/altea/plaza_iglesia_terraces,0.485,0.662,0.826,has_external_url,https://palaualtea.es/,https://en.wikivoyage.org/wiki/Altea
northamerica/unitedstates/newjersey/longbeachisland,Long Beach Island,Long Beach Island,0,68,see,Long Beach Island Historical Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.5624,-74.2387,,,0.0,,9.257,has_external_url,https://lbihistoricalmuseum.org,https://en.wikivoyage.org/wiki/Long_Beach_Island
northamerica/unitedstates/westvirginia/harpersferry,Harpers Ferry,Harpers Ferry,5,12,do,River & Trail Outfitters,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,39.330619,-77.703797,Maryland Heights,northamerica/unitedstates/westvirginia/harpersferry/maryland_heights,0.333,1.966,2.645,has_external_url,http://www.rivertrail.com/,https://en.wikivoyage.org/wiki/Harpers_Ferry
