world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/hungary/kecskemet,Kecskemét,Kecskemét,12,106,see,Gas-car Ltd.,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.9027,19.7324,Great Church (Kecskemét Cathedral),europe/hungary/kecskemet/great_church,0.435,3.186,3.108,has_external_url,http://www.gascar.hu,https://en.wikivoyage.org/wiki/Kecskem%C3%A9t
europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol,Bristol,Bristol,31,168,see,Leigh Woods,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.454221,-2.641826,Balti Desh,europe/unitedkingdom/england/bristol_plymouth_and_the_south_west/bristol/baltidesh,0.476,3.597,3.086,has_external_url,https://www.nationaltrust.org.uk/leigh-woods/,https://en.wikivoyage.org/wiki/Bristol
europe/hungary/miskolc,Miskolc,Miskolc,8,82,see,Collection of Mining,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.0795,20.6981,National Theatre of Miskolc,europe/hungary/miskolc/national_theatre,0.426,7.215,7.313,has_external_url,https://www.hellomiskolc.hu/banyaszati-gyujtemeny-p-688.html,https://en.wikivoyage.org/wiki/Miskolc
europe/unitedkingdom/scotland/aberdeen,Aberdeen,Aberdeen,17,83,do,P&J Live,0.89,candidate,has coordinates; has description; high-value type; has external URL,57.1853,-2.1931,Aberdeen Art Gallery,europe/unitedkingdom/scotland/aberdeen/aberdeen_art_gallery,0.312,6.476,7.317,has_external_url,https://www.pandjlive.com/,https://en.wikivoyage.org/wiki/Aberdeen
northamerica/unitedstates/utah/wendover,Wendover,Wendover (Utah/Nevada),5,28,see,Wendover Community Health Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.73968,-114.07562,Historic Wendover Airfield Museum,northamerica/unitedstates/utah/wendover/historic_wendover_airfield,0.369,3.449,3.733,has_external_url,http://nevadahealthcenters.org/locations/rural-nevada/wendover-community-health-center/,https://en.wikivoyage.org/wiki/Wendover_%28Utah/Nevada%29
europe/unitedkingdom/england/manchester_liverpool_and_north_west/carlisle,Carlisle,Carlisle,5,19,do,Eden Rock,0.89,candidate,has coordinates; has description; high-value type; has external URL,54.8829,-2.9098,The Citadel,europe/unitedkingdom/england/manchester_liverpool_and_north_west/carlisle/the_citadel,0.25,1.817,2.267,has_external_url,https://www.edenrockclimbing.com/carlisle-home,https://en.wikivoyage.org/wiki/Carlisle
europe/switzerland/lausanne,Lausanne,Lausanne,14,82,see,Hôpital de l'Enfance,0.89,candidate,has coordinates; has description; high-value type; has external URL,46.52952,6.61469,Cathédrale de Lausanne,europe/switzerland/lausanne/cathedrale,0.5,1.738,1.623,has_external_url,http://www.hopital-enfance.ch/,https://en.wikivoyage.org/wiki/Lausanne
northamerica/unitedstates/pennsylvania/lancastercounty/lititz,Lititz,Lititz,12,21,do,Refreshing Mountain Retreat and Adventure Center,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.250492,-76.234438,Lititz Moravian Historic District,northamerica/unitedstates/pennsylvania/lancastercounty/lititz/lititz_moravian_historic_district,0.346,12.087,12.079,has_external_url,https://refreshingmountain.com/,https://en.wikivoyage.org/wiki/Lititz
asia/china/gansu/tianshui,Tianshui,Tianshui,4,27,do,Maijishan Grottoes,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.5856,105.8579,Wushan Water Curtain Caves,asia/china/gansu/tianshui/wushan_water_curtain_caves,0.409,94.698,11.611,has_external_url,http://www.maijishan.org,https://en.wikivoyage.org/wiki/Tianshui
northamerica/unitedstates/california/highsierra/laketahoe,Lake Tahoe,Lake Tahoe,6,21,do,Squaw Valley Stables,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.19985,-120.22599,Sugar Pine Point State Park,northamerica/unitedstates/california/highsierra/laketahoe/sugar_pine_point,0.426,18.172,19.56,has_external_url,https://www.olympicvalleystables.com/,https://en.wikivoyage.org/wiki/Lake_Tahoe
southamerica/ecuador/banos,Baños,Baños,7,30,do,Parque Aventura San Martin,0.89,candidate,has coordinates; has description; high-value type; has external URL,-1.39459,-78.441592,Basilica de la Virgen del Agua Santa,southamerica/ecuador/banos/basilica,0.462,2.1,21.09,has_external_url,http://guiaec.com,https://en.wikivoyage.org/wiki/Ba%C3%B1os
northamerica/unitedstates/arkansas/littlerock,Little Rock,Little Rock,14,93,see,Arkansas Governor's Mansion,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.731897,-92.275992,Arkansas State Capitol,northamerica/unitedstates/arkansas/littlerock/arkansas_state_capitol,0.531,1.988,2.047,has_external_url,https://www.littlerock.com/directory/arkansas-governors-mansion/,https://en.wikivoyage.org/wiki/Little_Rock
northamerica/unitedstates/ohio/canton,Canton,Canton (Ohio),10,52,see,Stark State College of Technology,0.89,candidate,has coordinates; has description; high-value type; has external URL,40.8708,-81.44,Stark County Courthouse,northamerica/unitedstates/ohio/canton/stark_county_courthouse,0.464,9.674,9.721,has_external_url,http://www.starkstate.edu,https://en.wikivoyage.org/wiki/Canton_%28Ohio%29
