world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/italy/lombardia/como,Como,Como,10,35,do,Centro Sportivo Casate,0.89,candidate,has coordinates; has description; high-value type; has external URL,45.79881,9.05367,Como Cathedral,europe/italy/lombardia/como/theduomo,0.444,14.62,14.62,has_external_url,http://www.csusrl.it/italian/casate.php?iExpand1=34,https://en.wikivoyage.org/wiki/Como
europe/germany/hessen/kassel,Kassel,Kassel,19,95,do,Auebad Kassel,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.30105,9.50015,Karlsaue,europe/germany/hessen/kassel/karlsaue,0.514,0.486,1.646,has_external_url,http://www.kassel-baeder.de/auebadkassel/,https://en.wikivoyage.org/wiki/Kassel
europe/portugal/funchal,Funchal,Funchal,14,33,do,CS Marítimo,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.645561,-16.928331,Sacred Art Museum,europe/portugal/funchal/sacred_art_museum,0.429,1.905,1.895,has_external_url,https://www.csmaritimo.org.pt/,https://en.wikivoyage.org/wiki/Funchal
northamerica/canada/ontario/stcatharines,St. Catharines,St. Catharines,12,62,see,Canal Valley,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.157379,-79.229817,Brock University,northamerica/canada/ontario/stcatharines/brock_university,0.357,4.721,1.16,has_external_url,https://www.stcatharines.ca/en/facilities/Detail.aspx?CategoryIds=&FacilityTypeIds=&Keywords=&Page=2&CloseMap=false&Scroll=true&id=7689e65b-c182-4458-b16f-43ab332f7fe1#,https://en.wikivoyage.org/wiki/St._Catharines
northamerica/unitedstates/newjersey/toms_river,Toms River,Toms River,14,31,do,Route 37 Watersports,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.9497,-74.114,Rova Farms Resort,northamerica/unitedstates/newjersey/toms_river/rova_farms,0.432,17.22,7.062,has_external_url,https://www.route37watersports.com,https://en.wikivoyage.org/wiki/Toms_River
southamerica/brazil/recife,Recife,Recife,34,154,see,Pernambucan Academy of Letters,0.89,candidate,has coordinates; has description; high-value type; has external URL,-8.039482,-34.904187,Malakoff Tower,southamerica/brazil/recife/malakoff_tower,0.409,4.374,3.003,has_external_url,http://aplpe.com.br/,https://en.wikivoyage.org/wiki/Recife
europe/unitedkingdom/england/manchester_liverpool_and_north_west/clitheroe,Clitheroe,Clitheroe,5,14,see,Sawley Abbey,0.89,candidate,has coordinates; has description; high-value type; has external URL,53.9142,-2.3399,Salthill Quarry,europe/unitedkingdom/england/manchester_liverpool_and_north_west/clitheroe/salthill_quarry,0.444,4.423,5.893,has_external_url,https://www.english-heritage.org.uk/visit/places/sawley-abbey/,https://en.wikivoyage.org/wiki/Clitheroe
northamerica/unitedstates/illinois/collinsville,Collinsville,Collinsville (Illinois),9,10,see,Gateway International Raceway,0.89,candidate,has coordinates; has description; high-value type; has external URL,38.6508,-90.1354,Piazza Italia,northamerica/unitedstates/illinois/collinsville/piazza_italia,0.381,13.125,13.281,has_external_url,http://www.gatewaymsp.com/,https://en.wikivoyage.org/wiki/Collinsville_%28Illinois%29
europe/unitedkingdom/england/norfolk/the_norfolk_broads,The Norfolk Broads,Norfolk Broads,0,34,do,Rowan Craft Ltd,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.4715,1.516,,,0.0,,17.851,has_external_url,https://www.facebook.com/Rowan-craft-ltd-1437288826564963/,https://en.wikivoyage.org/wiki/Norfolk_Broads
europe/denmark/aalborg,Aalborg,Aalborg,5,49,see,Aalborg Akvavit,0.89,candidate,has coordinates; has description; high-value type; has external URL,57.053999,9.910703,Kunsten — Museum of Modern Art,europe/denmark/aalborg/kunsten,0.233,1.029,1.081,has_external_url,http://www.aalborgakvavit.dk/,https://en.wikivoyage.org/wiki/Aalborg
europe/austria/linz,Linz,Linz,11,63,see,Botanic Gardens,0.89,candidate,has coordinates; has description; high-value type; has external URL,48.29643,14.27735,Ars Electronica Center,europe/austria/linz/ars_electronica_center,0.378,1.46,1.321,has_external_url,http://www.linz.at/umwelt/botanischergarten.asp,https://en.wikivoyage.org/wiki/Linz
northamerica/canada/alberta/banff,Banff,Banff,45,93,do,Bow Valley Parkway,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.171,-115.661,Bow Lake .,northamerica/canada/alberta/banff/bowlake,0.538,77.465,6.216,has_external_url,https://parks.canada.ca/pn-np/ab/banff/visit/les10-top10/promenade-de-la-vallee-de-la-bow-bow-valley-parkway,https://en.wikivoyage.org/wiki/Banff
europe/denmark/fredrikshavn,Frederikshavn,Frederikshavn,7,44,do,Cup No.1,0.89,candidate,has coordinates; has description; high-value type; has external URL,57.4486,10.4988,Cloostårnet,europe/denmark/fredrikshavn/cloos_tower,0.316,3.287,2.239,has_external_url,http://www.cupno1.com/tournament-info,https://en.wikivoyage.org/wiki/Frederikshavn
northamerica/unitedstates/arizona/yuma,Yuma,Yuma,6,33,do,Silver Spur Rodeo,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.671171,-114.591161,Lute's Casino,northamerica/unitedstates/arizona/yuma/lutes_casino,0.4,6.335,6.601,has_external_url,http://yumarodeo.com/,https://en.wikivoyage.org/wiki/Yuma
northamerica/unitedstates/massachusetts/lowell,Lowell,Lowell (Massachusetts),7,20,do,UMass Lowell Bellgarde Boathouse,0.89,candidate,has coordinates; has description; high-value type; has external URL,42.640517,-71.352456,New England Quilt Museum,northamerica/unitedstates/massachusetts/lowell/new_england_quilt_museum,0.393,3.345,3.597,has_external_url,https://www.uml.edu/campusrecreation/facilities/bellegarde-boathouse.aspx,https://en.wikivoyage.org/wiki/Lowell_%28Massachusetts%29
europe/germany/northrhinewestphalia/aachen,Aachen,Aachen,14,74,see,Ludwig Forum für Internationale Kunst,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.781113,6.101722,International Newspaper Museum,europe/germany/northrhinewestphalia/aachen/international_newspaper_museum,0.478,1.364,1.363,has_external_url,http://ludwigforum.de/en/,https://en.wikivoyage.org/wiki/Aachen
europe/ukraine/kyiv,Kyiv,Kyiv,52,205,do,Go kayaking in-between the islands of Dnipro river or countless river bays,0.89,candidate,has coordinates; has description; high-value type; has external URL,50.512975,30.515162,Ukrainian National Chornobyl Museum,europe/ukraine/kyiv/chornobyl_museum,0.343,5.158,7.031,has_external_url,https://kayakcenter.kyiv.ua,https://en.wikivoyage.org/wiki/Kyiv
northamerica/unitedstates/missouri/kansascity,Kansas City,Kansas City,56,127,do,Worlds of Fun,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.1773,-94.489,Wornall/Majors House Museums,northamerica/unitedstates/missouri/kansascity/wornall_majors_house,0.39,18.686,11.527,has_external_url,https://www.worldsoffun.com/,https://en.wikivoyage.org/wiki/Kansas_City
europe/germany/saxony/leipzig,Leipzig,Leipzig,16,133,see,Sächsisches Psychiatriemuseum,0.89,candidate,has coordinates; has description; high-value type; has external URL,51.336667,12.355278,Stasi Museum (Runde Ecke),europe/germany/saxony/leipzig/stasi_museum,0.488,1.065,1.422,has_external_url,http://www.psychiatriemuseum.de/,https://en.wikivoyage.org/wiki/Leipzig
europe/russia/kazan,Kazan,Kazan,45,55,see,Engelhardt Astronomical Observatory,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.839908,48.812414,National Museum of Tatarstan,europe/russia/kazan/national_museum_tatarstan,0.413,19.192,19.352,has_external_url,http://planetarium-kzn.ru/index.html,https://en.wikivoyage.org/wiki/Kazan
europe/bosniaandherzegovina/sarajevo,Sarajevo,Sarajevo,42,173,see,Visegrad Gate,0.89,candidate,has coordinates; has description; high-value type; has external URL,43.86182,18.4456,Ferhadija Street,europe/bosniaandherzegovina/sarajevo/ferhadija_street,0.483,1.666,2.677,has_external_url,http://www.sarajevo-tourism.com/vratnik-town-walls-with-tower-gates,https://en.wikivoyage.org/wiki/Sarajevo
europe/unitedkingdom/scotland/glasgow,Glasgow,Glasgow,32,184,see,Titan Crane,0.89,candidate,has coordinates; has description; high-value type; has external URL,55.8974,-4.4087,Botanic Gardens,europe/unitedkingdom/scotland/glasgow/botanic_gardens,0.462,7.752,10.678,has_external_url,https://www.titanclydebank.com/,https://en.wikivoyage.org/wiki/Glasgow
europe/sweden/gvle,Gävle,Gävle,5,44,do,Hemlingbybacken,0.89,candidate,has coordinates; has description; high-value type; has external URL,60.6505,17.17,Monitor ERP Arena,europe/sweden/gvle/brynas_arena,0.312,4.962,3.007,has_external_url,https://www.gavle.se/kommunens-service/kultur-och-fritid/natur-och-friluftsliv/hemlingby-friluftsomrade/besok-hemlingbybacken-och-snowpark/,https://en.wikivoyage.org/wiki/G%C3%A4vle
