world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/jiangsu_province/zhenjiang,Zhenjiang,Zhenjiang,6,13,see,Zhulin Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,32.1791884194,119.445117258,Jinshan Temple and Park,asia/china/jiangsu_province/zhenjiang/jinshan_temple,0.5,5.586,2.169,needs_external_source,,https://en.wikivoyage.org/wiki/Zhenjiang
asia/china/shandong_province/rizhao,Rizhao,Rizhao,6,52,do,Rizhao Forest Ferris Wheel,0.89,candidate,has coordinates; has description; high-value type; strong travel term,35.52741,119.61627,Rizhao Ocean Park,asia/china/shandong_province/rizhao/rizhao_ocean_park,0.512,16.076,14.806,needs_external_source,,https://en.wikivoyage.org/wiki/Rizhao
northamerica/costarica/heredia,Heredia,Heredia,7,59,see,Historic city center,0.89,candidate,has coordinates; has description; high-value type; strong travel term,10.0208,-84.1236,Parque Central,northamerica/costarica/heredia/parque_central,0.412,2.633,2.189,needs_external_source,,https://en.wikivoyage.org/wiki/Heredia
australiaandpacific/fiji/vitilevu/lautoka,Lautoka,Lautoka,9,12,do,Botanical Gardens,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-17.6129,177.451275,Lautoka Municipal Market,australiaandpacific/fiji/vitilevu/lautoka/municipal_market,0.488,0.634,0.975,needs_external_source,,https://en.wikivoyage.org/wiki/Lautoka
asia/indonesia/java/surabaya,Surabaya,Surabaya,12,138,see,Monumen Jalasveva Jayamahe,0.89,candidate,has coordinates; has description; high-value type; strong travel term,-7.1955,112.74,House of Sampoerna,asia/indonesia/java/surabaya/house_of_sampoerna,0.364,3.977,5.654,needs_external_source,,https://en.wikivoyage.org/wiki/Surabaya
europe/ukraine/donetsk,Donetsk,Donetsk,12,124,see,Journalists and writers Monument,0.89,candidate,has coordinates; has description; high-value type; strong travel term,48.05188,37.77686,To Donbas Liberators Monument,europe/ukraine/donetsk/to_donbas_liberators_monument,0.525,5.575,4.445,needs_external_source,,https://en.wikivoyage.org/wiki/Donetsk
asia/china/shaanxi/yulin,Yulin,Yulin (Shaanxi),4,36,see,Wuliang Temple,0.89,candidate,has coordinates; has description; high-value type; strong travel term,38.299379200594196,109.75260372578828,Hongshi Gorge,asia/china/shaanxi/yulin/hongshi_gorge,0.296,4.946,3.955,needs_external_source,,https://en.wikivoyage.org/wiki/Yulin_%28Shaanxi%29
northamerica/unitedstates/westvirginia/parkersburg,Parkersburg,Parkersburg,9,28,do,Harvest Moon Arts and Crafts Festival,0.89,candidate,has coordinates; has description; high-value type; strong travel term,39.271,-81.529,Point Park & Riverfront,northamerica/unitedstates/westvirginia/parkersburg/point_park,0.387,3.003,2.889,needs_external_source,,https://en.wikivoyage.org/wiki/Parkersburg
europe/ukraine/kharkiv,Kharkiv,Kharkiv,13,157,see,The house-museum of the Hryzodubovy family,0.89,candidate,has coordinates; has description; high-value type; strong travel term,50.00702,36.24106,Kharkiv Art Museum,europe/ukraine/kharkiv/kharkiv_art_museum,0.308,0.899,1.786,needs_external_source,,https://en.wikivoyage.org/wiki/Kharkiv
europe/greece/thassos_island,Thassos,Thasos,14,112,see,Waterfall,0.89,candidate,has coordinates; has description; high-value type; strong travel term,40.6602,24.699,Giola Natural Pool,europe/greece/thassos_island/giola_lagoon,0.444,15.251,4.849,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
asia/uzbekistan/tashkent,Tashkent,Tashkent,41,109,see,Zengi-Ata,0.89,candidate,has coordinates; has description; high-value type; strong travel term,41.1971,69.1581,Magic City,asia/uzbekistan/tashkent/aqua_park,0.421,14.59,16.301,needs_external_source,,https://en.wikivoyage.org/wiki/Tashkent
