world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/lithuania/panevezys,Panevėžys,Panevėžys,7,19,see,Flax Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,55.6295,24.2322,Upytė Ethnographic Museum,europe/lithuania/panevezys/upyte_ethnographic_museum,0.457,,14.083,has_external_url,https://www.pamatyklietuvoje.lt/details/linu-muziejus-stultiskiu-vejo-malunas/881,https://en.wikivoyage.org/wiki/Panev%C4%97%C5%BEys
asia/china/guangxi/nanning,Nanning,Nanning,8,39,see,Anthropology Museum of Guangxi,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,22.777209,108.397774,Guangxi Museum,asia/china/guangxi/nanning/guangxi_museum,0.318,9.101,9.703,has_external_url,https://www.amgx.org.cn/,https://en.wikivoyage.org/wiki/Nanning
northamerica/unitedstates/arizona/cave_creek,Cave Creek,Cave Creek,0,31,see,Cave Creek Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,33.828987,-111.948303,,,0.0,,0.494,has_external_url,http://cavecreekmuseum.com/,https://en.wikivoyage.org/wiki/Cave_Creek
northamerica/canada/saskatchewan/saskatoon,Saskatoon,Saskatoon,6,72,see,Civic Conservatory (ex-Mendel Art Gallery),0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.1348,-106.6495,Wanuskewin Heritage Park,northamerica/canada/saskatchewan/saskatoon/wanuskewin_heritage_park,0.286,7.587,0.84,has_external_url,http://www.mendel.ca,https://en.wikivoyage.org/wiki/Saskatoon
asia/indonesia/java/solo,Solo,Solo,20,80,see,Sahasra Adhi Pura,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-7.6014,110.8632,Sheikh Zayed Grand Mosque,asia/indonesia/java/solo/sheikh_zayed_mosque,0.381,6.56,5.247,has_external_url,http://www.sahasraadhipura.org/,https://en.wikivoyage.org/wiki/Solo
europe/germany/bavaria/fuerth,Fürth,Fürth,5,33,see,Rundfunk Museum,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.468574,11.012703,Jewish Museum Franken,europe/germany/bavaria/fuerth/jewish_museum_franken,0.389,2.028,4.489,has_external_url,http://www.rundfunkmuseum.fuerth.de/index_eng.htm,https://en.wikivoyage.org/wiki/F%C3%BCrth
europe/france/centre/loirevalley/angers,Angers,Angers,10,18,see,Espace Air Passion,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,47.563134,-0.315834,Le Favre d'Anne,europe/france/centre/loirevalley/angers/le_favre_danne,0.4,20.801,20.29,has_external_url,https://www.musee-aviation-angers.fr/,https://en.wikivoyage.org/wiki/Angers
europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham,Birmingham,Birmingham,16,180,see,RSPB Sandwell Valley,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,52.5259,-1.9719,Birmingham Museum and Art Gallery,europe/unitedkingdom/england/birmingham_and_west_midlands/birmingham/birmingham_museum_and_art_gallery,0.453,6.9,6.952,has_external_url,http://www.rspb.org/reserves/guide/s/sandwellvalley/,https://en.wikivoyage.org/wiki/Birmingham
northamerica/canada/manitoba/winnipeg,Winnipeg,Winnipeg,22,164,see,Winnipeg Art Gallery,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,49.889444,-97.150556,Centennial Concert Hall,northamerica/canada/manitoba/winnipeg/centennial_concert_hall,0.465,1.512,1.1,has_external_url,http://www.wag.ca/,https://en.wikivoyage.org/wiki/Winnipeg
europe/finland/espoo,Espoo,Espoo,9,82,do,Serena Water Amusement Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,60.324525,24.736514,Glims Farmstead Museum,europe/finland/espoo/glims_farmstead,0.449,11.929,14.013,has_external_url,http://www.serena.fi/index.php?lang=en_EN,https://en.wikivoyage.org/wiki/Espoo
northamerica/unitedstates/idaho/twinfalls,Twin Falls,Twin Falls,9,22,do,Dierkes Lake Park,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,42.595278,-114.388889,Balanced Rock,northamerica/unitedstates/idaho/twinfalls/balanced_rock,0.4,36.139,7.963,has_external_url,https://www.tfid.org/Facilities/Facility/Details/13,https://en.wikivoyage.org/wiki/Twin_Falls
europe/denmark/sonderborg,Sønderborg,Sønderborg,11,19,see,Alsion,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,54.91301,9.77952,Colosseum Biograf,europe/denmark/sonderborg/colosseum,0.442,0.558,0.799,has_external_url,http://www.alsion.dk/,https://en.wikivoyage.org/wiki/S%C3%B8nderborg
northamerica/mexico/toluca,Toluca,Toluca,13,22,see,Virreynal Museum Zinacantepec,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,19.28333,-99.73455,Modelo Museum of Science and Industry,northamerica/mexico/toluca/modelo_museum,0.424,8.669,8.214,has_external_url,https://www.cultura.gob.mx/estados/turismo-cultural-detalle.php?id=50950#.X-kJothKjIV,https://en.wikivoyage.org/wiki/Toluca
australiaandpacific/australia/queensland/sunshinecoast,Sunshine Coast,Sunshine Coast,7,112,do,Aussie World,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,-26.7502,153.047,Australia Zoo,australiaandpacific/australia/queensland/sunshinecoast/australia_zoo,0.4,12.951,11.602,has_external_url,http://www.aussieworld.com.au/,https://en.wikivoyage.org/wiki/Sunshine_Coast
europe/unitedkingdom/scotland/oban,Oban,Oban,6,25,see,St Columba's Cathedral,0.93,candidate,has coordinates; has description; high-value type; has external URL; strong travel term,56.4194,-5.4789,McCaig's Tower,europe/unitedkingdom/scotland/oban/mccaigs_tower,0.444,0.641,0.914,has_external_url,https://www.rcdai.org.uk/oban-st-columbas-cathedral/,https://en.wikivoyage.org/wiki/Oban
