world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/rhodeisland/newport,Newport,Newport (Rhode Island),10,111,do,Skydive Newport,0.59,candidate,has description; high-value type; has external URL,,,Newport Tower,northamerica/unitedstates/rhodeisland/newport/newport_tower,0.5,,,missing_coordinates; has_external_url,https://www.skydivenewport.com/,https://en.wikivoyage.org/wiki/Newport_%28Rhode_Island%29
northamerica/canada/ontario/burlington,Burlington,Burlington (Ontario),16,45,see,Amtrak,0.59,candidate,has description; high-value type; has external URL,,,Martimas's Grave,northamerica/canada/ontario/burlington/martimas_grave,0.364,,,missing_coordinates; has_external_url,https://www.amtrak.com/home,https://en.wikivoyage.org/wiki/Burlington_%28Ontario%29
northamerica/mexico/cozumel,Cozumel,Cozumel,15,49,do,Buena Ventura Diving,0.59,candidate,has description; high-value type; has external URL,,,Santa Rosa Wall,northamerica/mexico/cozumel/santa_rosa_wall,0.286,,,missing_coordinates; has_external_url,https://www.facebook.com/pages/category/Tour-Agency/Buena-Ventura-Diving-187813318369/,https://en.wikivoyage.org/wiki/Cozumel
northamerica/unitedstates/massachusetts/woods_hole,Woods Hole,Woods Hole,5,16,do,Woods Hole Film Festival,0.59,candidate,has description; high-value type; has external URL,,,Woods Hole Science Aquarium,northamerica/unitedstates/massachusetts/woods_hole/woods_hole_science_aquarium,0.549,,,missing_coordinates; has_external_url,http://www.woodsholefilmfestival.org/,https://en.wikivoyage.org/wiki/Woods_Hole
northamerica/unitedstates/pennsylvania/harrisburg,Harrisburg,Harrisburg,6,44,see,Greyhound,0.59,candidate,has description; high-value type; has external URL,,,Riverfront Park,northamerica/unitedstates/pennsylvania/harrisburg/riverfront_park,0.333,,,missing_coordinates; has_external_url,http://www.greyhound.com,https://en.wikivoyage.org/wiki/Harrisburg
australiaandpacific/frenchpolynesia/borabora,Bora Bora,Bora Bora,15,13,do,Aquasafari,0.59,candidate,has description; high-value type; has external URL,,,Bora Bora Lagoonarium,australiaandpacific/frenchpolynesia/borabora/lagoonarium,0.387,,,missing_coordinates; has_external_url,http://www.aquasafaribora.com/,https://en.wikivoyage.org/wiki/Bora_Bora
northamerica/unitedstates/florida/cassadaga,Cassadaga,Cassadaga (Florida),3,8,do,Universal Center of Cassadaga,0.59,candidate,has description; high-value type; has external URL,,,Southern Cassadaga Spiritualist Camp,northamerica/unitedstates/florida/cassadaga/spiritualist_camp,0.431,,,missing_coordinates; has_external_url,http://www.cassadaga.com/,https://en.wikivoyage.org/wiki/Cassadaga_%28Florida%29
africa/botswana/maun,Maun,Maun,13,21,see,Self Drive Adventures,0.59,candidate,has description; high-value type; has external URL,,,Thamalakane River,africa/botswana/maun/thamalakane_river,0.368,,,missing_coordinates; has_external_url,http://www.selfdriveadventures.com,https://en.wikivoyage.org/wiki/Maun
northamerica/unitedstates/newmexico/alamogordo,Alamogordo,Alamogordo,6,21,do,Sidney Paul Gordon Shooting Range,0.59,candidate,has description; high-value type; has external URL,,,Atari Video Game Burial Site,northamerica/unitedstates/newmexico/alamogordo/atari_landfill,0.328,,,missing_coordinates; has_external_url,https://m.facebook.com/pages/Sydney-Paul-Gordon-Shooting-Range/183664405010125,https://en.wikivoyage.org/wiki/Alamogordo
northamerica/unitedstates/california/westhollywood,West Hollywood,West Hollywood,12,30,do,Halloween Carnaval,0.59,candidate,has description; high-value type; has external URL,,,Chateau Marmont,northamerica/unitedstates/california/westhollywood/chateau_marmont,0.424,,,missing_coordinates; has_external_url,https://www.visitwesthollywood.com/halloween-carnaval/,https://en.wikivoyage.org/wiki/West_Hollywood
africa/namibia/swakopmund,Swakopmund,Swakopmund,13,44,do,EHRA,0.59,candidate,has description; high-value type; has external URL,,,Woermannhaus,africa/namibia/swakopmund/woermannhaus,0.375,,,missing_coordinates; has_external_url,http://www.desertelephant.org,https://en.wikivoyage.org/wiki/Swakopmund
northamerica/canada/britishcolumbia/northvancouver,North Vancouver,North Vancouver,15,80,see,TransLink,0.59,candidate,has description; high-value type; has external URL,,,Lower Lonsdale,northamerica/canada/britishcolumbia/northvancouver/lower_lonsdale,0.348,,,missing_coordinates; has_external_url,https://www.translink.ca/,https://en.wikivoyage.org/wiki/North_Vancouver
northamerica/unitedstates/florida/naples,Naples,Naples (Florida),11,20,do,Mercato,0.59,candidate,has description; high-value type; has external URL,,,Sea Salt,northamerica/unitedstates/florida/naples/sea_salt,0.4,,,missing_coordinates; has_external_url,http://www.mercatoshops.com/,https://en.wikivoyage.org/wiki/Naples_%28Florida%29
africa/kenya/thecoast/mombasa,Mombasa,Mombasa,20,137,see,Oceania Cruises,0.59,candidate,has description; high-value type; has external URL,,,Mombasa Tusks,africa/kenya/thecoast/mombasa/mombasa_tusks,0.5,,,missing_coordinates; has_external_url,http://www.oceaniacruises.com/regions/africa/default.aspx,https://en.wikivoyage.org/wiki/Mombasa
europe/austria/vienna,Vienna,Vienna,67,134,see,Eurolines AT/Blaguss,0.59,candidate,has description; high-value type; has external URL,,,Kunst Haus Wien,europe/austria/vienna/kunst_haus_wien,0.457,,,missing_coordinates; has_external_url,http://www.eurolines.at/,https://en.wikivoyage.org/wiki/Vienna
northamerica/nicaragua/sanjuandelsur,San Juan del Sur,San Juan del Sur,10,19,do,Bodhin Adventure Services,0.59,candidate,has description; high-value type; has external URL,,,Big Wave Dave's,northamerica/nicaragua/sanjuandelsur/big_wave_dave,0.45,,,missing_coordinates; has_external_url,http://www.bodhin.com/,https://en.wikivoyage.org/wiki/San_Juan_del_Sur
northamerica/unitedstates/california/shastacascade/redding,Redding,Redding,6,32,see,Susanville Indian Rancheria Public Transportation Program (SIR),0.59,candidate,has description; high-value type; has external URL,,,Turtle Bay Exploration Park,northamerica/unitedstates/california/shastacascade/redding/turtle_bay_exploration_park,0.405,,,missing_coordinates; has_external_url,http://www.lassentransportation.com/resources/bus-routes/susanville-indian-rancheria-sir-public-transportation-program-schedule,https://en.wikivoyage.org/wiki/Redding
australiaandpacific/australia/australiancapitalterritory/canberra,Canberra,Canberra,42,34,do,Segways,0.59,candidate,has description; high-value type; has external URL,,,Old Bus Depot Markets,australiaandpacific/australia/australiancapitalterritory/canberra/kingston_markets,0.286,,,missing_coordinates; has_external_url,http://www.segglideride.com.au/hire-a-segway,https://en.wikivoyage.org/wiki/Canberra
europe/netherlands/heerlen,Heerlen,Heerlen,4,69,do,Cultura Nova,0.59,candidate,has description; high-value type; has external URL,,,Schelmentoren,europe/netherlands/heerlen/schelmentoren,0.32,,,missing_coordinates; has_external_url,http://www.cultura-nova.nl/,https://en.wikivoyage.org/wiki/Heerlen
southamerica/brazil/joinville,Joinville,Joinville,11,27,do,Joinville Dance Festival,0.59,candidate,has description; high-value type; has external URL,,,Mirante de Joinville,southamerica/brazil/joinville/mirante_de_joinville,0.439,,,missing_coordinates; has_external_url,http://www.festivaldedanca.com.br/,https://en.wikivoyage.org/wiki/Joinville
northamerica/unitedstates/colorado/vail,Vail,Vail,12,77,do,Black Mountain Colorado Dude Ranch,0.59,candidate,has description; high-value type; has external URL,,,Mountain Standard,northamerica/unitedstates/colorado/vail/mountain_standard,0.431,,,missing_coordinates; has_external_url,http://blackmtnranch.com,https://en.wikivoyage.org/wiki/Vail
europe/germany/northrhinewestphalia/bochum,Bochum,Bochum,12,93,do,Steam-Festival,0.59,candidate,has description; high-value type; has external URL,,,Starlight Express Theater,europe/germany/northrhinewestphalia/bochum/starlight_express_theater,0.41,,,missing_coordinates; has_external_url,http://www.dampf-festival.de/,https://en.wikivoyage.org/wiki/Bochum
