world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/poland/lodz,Łódź,Łódź,7,114,do,Łódź Marathon,0.59,candidate,has description; high-value type; has external URL,,,Manufaktura,europe/poland/lodz/manufaktura,0.381,,,missing_coordinates; has_external_url,http://www.lodzmaraton.pl/en,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA
australiaandpacific/australia/victoria/melbourne,Melbourne,Melbourne,60,30,see,NSW Trainlink,0.59,candidate,has description; high-value type; has external URL,,,Southbank,australiaandpacific/australia/victoria/melbourne/southbank,0.455,,,missing_coordinates; has_external_url,http://www.nswtrainlink.info/,https://en.wikivoyage.org/wiki/Melbourne
europe/poland/lodz,Łódź,Łódź,7,114,do,International Festival of Music Producers Soundedit,0.59,candidate,has description; high-value type; has external URL,,,Central Museum of Textiles,europe/poland/lodz/textile_museum,0.312,,,missing_coordinates; has_external_url,http://soundedit.pl/,https://en.wikivoyage.org/wiki/%C5%81%C3%B3d%C5%BA
europe/italy/sicily/agrigento,Agrigento,Agrigento,11,19,see,TUA,0.59,candidate,has description; high-value type; has external URL,,,Temple of Hera (Juno),europe/italy/sicily/agrigento/temple_of_hera,0.235,,,missing_coordinates; has_external_url,http://www.trasportiurbaniagrigento.it/orari-e-percorsi.html,https://en.wikivoyage.org/wiki/Agrigento
europe/germany/bavaria/rosenheim,Rosenheim,Rosenheim,3,10,do,Starbulls Rosenheim,0.59,candidate,has description; high-value type; has external URL,,,Max-Josefs-Platz,europe/germany/bavaria/rosenheim/max_josefs_platz,0.286,,,missing_coordinates; has_external_url,http://www.starbulls.de/,https://en.wikivoyage.org/wiki/Rosenheim
europe/unitedkingdom/wales/snowdonia/betwsycoed,Betws-y-Coed,Betws-y-Coed,11,14,do,Mountain Biking,0.59,candidate,has description; high-value type; has external URL,,,Waterloo Bridge,europe/unitedkingdom/wales/snowdonia/betwsycoed/waterloo_bridge,0.333,,,missing_coordinates; has_external_url,http://www.mbwales.com/,https://en.wikivoyage.org/wiki/Betws-y-Coed
northamerica/unitedstates/montana/bozeman,Bozeman,Bozeman,7,37,see,Classic Limo,0.59,candidate,has description; high-value type; has external URL,,,Hyalite Canyon,northamerica/unitedstates/montana/bozeman/hyalite_canyon,0.308,,,missing_coordinates; has_external_url,http://www.bozemanlimo.com,https://en.wikivoyage.org/wiki/Bozeman
northamerica/mexico/cozumel,Cozumel,Cozumel,15,49,do,Living Underwater,0.59,candidate,has description; high-value type; has external URL,,,San Gervasio,northamerica/mexico/cozumel/san_gervasio,0.345,,,missing_coordinates; has_external_url,http://www.living-underwater.com/,https://en.wikivoyage.org/wiki/Cozumel
europe/netherlands/leiden,Leiden,Leiden,36,62,see,Arriva,0.59,candidate,has description; high-value type; has external URL,,,De Waag (Weigh House),europe/netherlands/leiden/de_waag,0.4,,,missing_coordinates; has_external_url,https://www.arriva.nl/zuidholland/abonnementen-kaartjes/losse-kaartjes-etickets.htm,https://en.wikivoyage.org/wiki/Leiden
australiaandpacific/australia/northernterritory/ulurukata_tjuta_n,Uluru-Kata Tjuta National Park,Uluṟu-Kata Tjuṯa National Park,10,18,see,Uluru Hop On Hop Off,0.59,candidate,has description; high-value type; has external URL,,,Uluru,australiaandpacific/australia/northernterritory/ulurukata_tjuta_n/uluru,0.4,,,missing_coordinates; has_external_url,https://uluruhoponhopoff.com.au/,https://en.wikivoyage.org/wiki/Ulu%E1%B9%9Fu-Kata_Tju%E1%B9%AFa_National_Park
