world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
northamerica/unitedstates/michigan/traverse_city,Traverse City,Traverse City,26,76,do,Elmbrook Golf,0.59,candidate,has description; high-value type; has external URL,,,Leelanau Trail,northamerica/unitedstates/michigan/traverse_city/leelanau_trail,0.296,,,missing_coordinates; has_external_url,http://www.elmbrookgolf.com/,https://en.wikivoyage.org/wiki/Traverse_City
northamerica/unitedstates/louisiana/neworleans,New Orleans,New Orleans,33,29,see,Esoterica,0.59,candidate,has description; high-value type; has external URL,,,Garden District,northamerica/unitedstates/louisiana/neworleans/garden_district,0.5,,,missing_coordinates; has_external_url,http://onewitch.com/,https://en.wikivoyage.org/wiki/New_Orleans
europe/italy/puglia/taranto,Taranto,Taranto,7,17,see,Info-point,0.59,candidate,has description; high-value type; has external URL,,,Giardini Peripato,europe/italy/puglia/taranto/giardini_peripato,0.444,,,missing_coordinates; has_external_url,https://prolocoditaranto.wordpress.com/,https://en.wikivoyage.org/wiki/Taranto
northamerica/canada/quebec/hull,Gatineau (Hull),Gatineau,4,33,do,Festival Country du Grand Gatineau,0.59,candidate,has description; high-value type; has external URL,,,Gatineau Park,northamerica/canada/quebec/hull/gatineau_park,0.364,,,missing_coordinates; has_external_url,http://www.encanlarose.com/festival/,https://en.wikivoyage.org/wiki/Gatineau
australiaandpacific/australia/newsouthwales/sydney,Sydney,Sydney,47,43,see,Carols in the Domain,0.59,candidate,has description; high-value type; has external URL,,,The Domain,australiaandpacific/australia/newsouthwales/sydney/domain,0.545,,,missing_coordinates; has_external_url,http://www.carolsinthedomain.com/,https://en.wikivoyage.org/wiki/Sydney
northamerica/unitedstates/newmexico/losalamos,Los Alamos,Los Alamos,6,51,do,Los Alamos Events Calendar,0.59,candidate,has description; high-value type; has external URL,,,Los Alamos Historical Museum,northamerica/unitedstates/newmexico/losalamos/los_alamos_historical_museum,0.522,,,missing_coordinates; has_external_url,http://www.visitlosalamos.org/calendar/,https://en.wikivoyage.org/wiki/Los_Alamos
europe/germany/hessen/wiesbaden,Wiesbaden,Wiesbaden,16,66,do,Lamduan Massage,0.59,candidate,has description; high-value type; has external URL,,,Red Baron's Grave,europe/germany/hessen/wiesbaden/red_barons_grave,0.438,,,missing_coordinates; has_external_url,http://lamduan-massage.com/,https://en.wikivoyage.org/wiki/Wiesbaden
northamerica/unitedstates/virginia/roanoke,Roanoke,Roanoke,16,22,see,Roanoke Valley Convention & Visitors Bureau,0.59,candidate,has description; high-value type; has external URL,,,Roanoke Pinball Museum,northamerica/unitedstates/virginia/roanoke/roanoke_pinball_museum,0.448,,,missing_coordinates; has_external_url,http://www.visitroanokeva.com,https://en.wikivoyage.org/wiki/Roanoke
northamerica/canada/ontario/sudbury,Sudbury,Sudbury (Ontario),18,65,do,Dinosaur Valley Mini Golf,0.59,candidate,has description; high-value type; has external URL,,,Art Gallery of Sudbury,northamerica/canada/ontario/sudbury/art_gallery_of_sudbury,0.468,,,missing_coordinates; has_external_url,http://www.dinosaursudbury.com,https://en.wikivoyage.org/wiki/Sudbury_%28Ontario%29
southamerica/ecuador/montanita,Montañita,Montañita,3,12,do,Ecuador Spanish Schools,0.59,candidate,has description; high-value type; has external URL,,,Montañita Beach,southamerica/ecuador/montanita/montanita_beach,0.263,,,missing_coordinates; has_external_url,http://www.ecuadorspanishschools.com,https://en.wikivoyage.org/wiki/Monta%C3%B1ita
europe/austria/linz,Linz,Linz,11,63,do,City Express,0.59,candidate,has description; high-value type; has external URL,,,Linz Castle,europe/austria/linz/linz_castle,0.261,,,missing_coordinates; has_external_url,http://www.geigers.at/,https://en.wikivoyage.org/wiki/Linz
northamerica/canada/ontario/sudbury,Sudbury,Sudbury (Ontario),18,65,see,Propair,0.59,candidate,has description; high-value type; has external URL,,,Bell Park,northamerica/canada/ontario/sudbury/bell_park,0.375,,,missing_coordinates; has_external_url,https://propair.ca/en/,https://en.wikivoyage.org/wiki/Sudbury_%28Ontario%29
europe/greece/thassos_island,Thassos,Thasos,14,112,do,Horse riding,0.59,candidate,has description; high-value type; has external URL,,,Local Honey and Wine,europe/greece/thassos_island/thassos_honey_wine,0.438,,,missing_coordinates; has_external_url,http://www.pegasus-reiterhof.com/pages/en/riding-centre-and-environment.php?lang=EN,https://en.wikivoyage.org/wiki/Thasos
northamerica/unitedstates/arizona/phoenix,Phoenix,Phoenix,54,145,do,Cactus League Spring Training Baseball,0.59,candidate,has description; high-value type; has external URL,,,Arizona Mining and Mineral Museum,northamerica/unitedstates/arizona/phoenix/arizona_mining_and,0.423,,,missing_coordinates; has_external_url,http://cactusleague.com,https://en.wikivoyage.org/wiki/Phoenix
northamerica/unitedstates/california/shastacascade/redding,Redding,Redding,6,32,see,Amtrak,0.59,candidate,has description; high-value type; has external URL,,,Sacramento River Trail,northamerica/unitedstates/california/shastacascade/redding/sacramento_river_trail,0.357,,,missing_coordinates; has_external_url,https://www.amtrak.com/,https://en.wikivoyage.org/wiki/Redding
northamerica/canada/princeedwardisland/charlottetown,Charlottetown,Charlottetown,14,43,see,PAL Airlines,0.59,candidate,has description; high-value type; has external URL,,,Province House,northamerica/canada/princeedwardisland/charlottetown/province_house,0.462,,,missing_coordinates; has_external_url,https://www.palairlines.ca,https://en.wikivoyage.org/wiki/Charlottetown
europe/finland/mikkeli,Mikkeli,Mikkeli,5,34,see,Mannerheim's Salon Carriage,0.59,candidate,has description; high-value type; has external URL,,,Savilahti Stone Sacristy,europe/finland/mikkeli/savilahti_stone_sacristy,0.392,,,missing_coordinates; has_external_url,https://mikkeli.fi/palvelut/kulttuuri-ja-kirjasto/mikkelin-kaupungin-museot/mannerheimin-salonkivaunu/,https://en.wikivoyage.org/wiki/Mikkeli
europe/romania/bucharest,Bucharest,Bucharest,11,139,do,Movieplex,0.59,candidate,has description; high-value type; has external URL,,,Village Museum,europe/romania/bucharest/village_museum,0.348,,,missing_coordinates; has_external_url,http://www.movieplex.ro/?visLang=2,https://en.wikivoyage.org/wiki/Bucharest
africa/morocco/essaouira,Essaouira,Essaouira,14,23,do,World Music Festival,0.59,candidate,has description; high-value type; has external URL,,,Port Fish Grills,africa/morocco/essaouira/port_fish_grills,0.333,,,missing_coordinates; has_external_url,http://www.festival-gnaoua.co.ma/,https://en.wikivoyage.org/wiki/Essaouira
