world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/greece/thassos_island,Thassos,Thasos,14,112,do,between Scala Maries and Prinos,0.85,candidate,has coordinates; has description; high-value type,40.716,24.539,Local Honey and Wine,europe/greece/thassos_island/thassos_honey_wine,0.471,13.644,10.089,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
europe/spain/spanishcostas/denia,Dénia,Dénia,3,33,see,Torre del Gerro,0.85,candidate,has coordinates; has description; high-value type,38.81988,0.15956,Montgó Natural Park,europe/spain/spanishcostas/denia/montgo_massif,0.276,3.93,5.183,needs_external_source,,https://en.wikivoyage.org/wiki/D%C3%A9nia
asia/india/gujarat/junagadh,Junagadh,Junagadh,6,45,do,Damodar Kund,0.85,candidate,has coordinates; has description; high-value type,21.525556,70.486111,Mount Girnar,asia/india/gujarat/junagadh/mount_girnar,0.333,3.782,2.702,needs_external_source,,https://en.wikivoyage.org/wiki/Junagadh
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,Snuff Mill Lane,0.85,candidate,has coordinates; has description; high-value type,53.369762,-1.493277,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.357,2.574,1.955,needs_external_source,,https://en.wikivoyage.org/wiki/Sheffield
europe/slovakia/ruomberok,Ružomberok,Ruzomberok,7,29,do,Small animal shelter,0.85,candidate,has coordinates; has description; high-value type,49.0477,19.2705,Likava Castle,europe/slovakia/ruomberok/likava_castle,0.424,7.079,4.467,needs_external_source,,https://en.wikivoyage.org/wiki/Ruzomberok
europe/serbia/kosovoprovince/peja,Peja,Peja,8,64,do,Liqenat Lake in Rugova,0.85,candidate,has coordinates; has description; high-value type,42.684337,20.082115,Rugova Gorge,europe/serbia/kosovoprovince/peja/rugova_gorge,0.353,13.386,17.078,needs_external_source,,https://en.wikivoyage.org/wiki/Peja
northamerica/canada/quebec/longueuil,Longueuil,Longueuil,3,38,do,Aréna Olympia,0.85,candidate,has coordinates; has description; high-value type,45.51291,-73.46293,Parc Michel-Chartrand,northamerica/canada/quebec/longueuil/parc_michel_chartrand,0.353,3.82,1.007,needs_external_source,,https://en.wikivoyage.org/wiki/Longueuil
europe/italy/veneto/cortina_dampezzo,Cortina d'Ampezzo,Cortina d'Ampezzo,10,66,do,Bindelweg,0.85,candidate,has coordinates; has description; high-value type,46.4719,11.86661,Basilica dei Santi Filippo e Giacomo,europe/italy/veneto/cortina_dampezzo/basilica_santi_filippo_giacomo,0.311,21.895,21.998,needs_external_source,,https://en.wikivoyage.org/wiki/Cortina_d%27Ampezzo
asia/indonesia/java/bogor,Bogor,Bogor,6,30,see,Prasasti Batutulis,0.85,candidate,has coordinates; has description; high-value type,-6.62366,106.80903,Bogor Botanical Gardens (Kebun Raya Bogor),asia/indonesia/java/bogor/bogor_botanical_gardens,0.293,3.141,3.296,needs_external_source,,https://en.wikivoyage.org/wiki/Bogor
asia/malaysia/langkawi,Langkawi,Langkawi,4,57,see,Oriental Village,0.85,candidate,has coordinates; has description; high-value type,6.371,99.6721,Dataran Lang (Eagle Square),asia/malaysia/langkawi/dataran_lang,0.429,21.101,13.346,needs_external_source,,https://en.wikivoyage.org/wiki/Langkawi
northamerica/thecaribbean/cuba/vinales,Viñales,Viñales,11,39,see,Bike repair,0.85,candidate,has coordinates; has description; high-value type,22.61396,-83.71222,Cycling the Valley,northamerica/thecaribbean/cuba/vinales/cycling,0.375,0.625,0.625,needs_external_source,,https://en.wikivoyage.org/wiki/Vi%C3%B1ales
asia/srilanka/colombo,Colombo,Colombo,25,116,see,The Lighthouse.,0.85,candidate,has coordinates; has description; high-value type,6.9112,79.8659,Lotus Tower (Nelum Kuluna),asia/srilanka/colombo/lotus_tower,0.476,1.947,1.843,needs_external_source,,https://en.wikivoyage.org/wiki/Colombo
europe/belgium/antwerp,Antwerp,Antwerp,47,64,see,Maison Guiette,0.85,candidate,has coordinates; has description; high-value type,51.1835,4.3934,Diamond District,europe/belgium/antwerp/diamond_district,0.467,4.032,4.205,needs_external_source,,https://en.wikivoyage.org/wiki/Antwerp
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Nga Moe Yeik Bridge,0.85,candidate,has coordinates; has description; high-value type,16.80499,96.18729,Mohinga Breakfast,asia/myanmar/yangon/mohinga,0.389,4.32,2.947,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield,Sheffield,Sheffield,2,253,see,Charles Darwin,0.85,candidate,has coordinates; has description; high-value type,53.374552,-1.470089,Kelham Island,europe/unitedkingdom/england/leeds_sheffield_and_yorkshire/sheffield/kelham_island,0.37,1.673,0.684,needs_external_source,,https://en.wikivoyage.org/wiki/Sheffield
southamerica/chile/coquimbo,Coquimbo,Coquimbo,9,10,see,Mirador Los Navegantes,0.85,candidate,has coordinates; has description; high-value type,-29.96545,-71.357,Mohammed VI Center,southamerica/chile/coquimbo/mohammed_vi_center,0.389,2.097,1.905,needs_external_source,,https://en.wikivoyage.org/wiki/Coquimbo
europe/finland/turku,Turku,Turku,5,262,do,Nummenranta dog haven,0.85,candidate,has coordinates; has description; high-value type,60.4651,22.2952,Aura River,europe/finland/turku/aura_river,0.387,2.405,2.155,needs_external_source,,https://en.wikivoyage.org/wiki/Turku
