world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/greece/milos,Milos,Milos,13,29,see,Plathiena Beach,0.66,candidate,has coordinates; high-value type; strong travel term,36.75379,24.41266,Provatas Beach,europe/greece/milos/provatas_beach,0.69,11.608,9.74,needs_external_source,,https://en.wikivoyage.org/wiki/Milos
asia/vietnam/haiphong,Haiphong,Haiphong,15,19,see,Naval Museum,0.66,candidate,has coordinates; high-value type; strong travel term,20.826156,106.700125,Haiphong Museum,asia/vietnam/haiphong/haiphong_museum,0.593,4.37,4.537,needs_external_source,,https://en.wikivoyage.org/wiki/Haiphong
asia/indonesia/irianjaya/biak,Biak,Biak,7,13,see,Adoki Beach,0.66,candidate,has coordinates; high-value type; strong travel term,-1.14033,135.986426,Bosnik Beach,asia/indonesia/irianjaya/biak/bosnik_beach,0.696,21.996,11.623,needs_external_source,,https://en.wikivoyage.org/wiki/Biak
asia/india/maharashtra/nagpur,Nagpur,Nagpur,8,31,see,Telankhedi Garden,0.66,candidate,has coordinates; high-value type; strong travel term,21.155099,79.050171,Ambazari Lake and Garden,asia/india/maharashtra/nagpur/ambazari_lake,0.585,3.257,3.358,needs_external_source,,https://en.wikivoyage.org/wiki/Nagpur
europe/hungary/debrecen,Debrecen,Debrecen,17,130,see,Mester Street Reformed Church,0.66,candidate,has coordinates; high-value type; strong travel term,47.53415,21.61618,Reformed Great Church,europe/hungary/debrecen/reformed_great_church,0.6,0.631,0.798,needs_external_source,,https://en.wikivoyage.org/wiki/Debrecen
asia/india/tamilnadu/kodaikanal,Kodaikanal,Kodaikanal,12,40,see,St. Peters Church,0.66,candidate,has coordinates; high-value type; strong travel term,10.2288743,77.4930245,Coaker's Walk,asia/india/tamilnadu/kodaikanal/coakers_walk,0.565,0.435,0.55,needs_external_source,,https://en.wikivoyage.org/wiki/Kodaikanal
europe/moldova/orhei,Orhei,Orhei,3,9,see,Roman Catholic Church,0.66,candidate,has coordinates; high-value type; strong travel term,47.374064,28.823894,Central Park and Răut Embankment,europe/moldova/orhei/central_park,0.551,0.449,0.467,needs_external_source,,https://en.wikivoyage.org/wiki/Orhei
southamerica/peru/machupicchu,Machu Picchu,Machu Picchu,9,23,see,Moon Temple,0.66,candidate,has coordinates; high-value type; strong travel term,-13.152142,-72.546479,Huayna Picchu,southamerica/peru/machupicchu/huayna_picchu,0.567,0.433,1.366,needs_external_source,,https://en.wikivoyage.org/wiki/Machu_Picchu
asia/china/xinjiangprovince/tashkorgan,Tashkorgan,Tashkurgan,5,7,see,Eagle monument,0.66,candidate,has coordinates; high-value type; strong travel term,37.7752,75.22578,Tagharma Grasslands,asia/china/xinjiangprovince/tashkorgan/tagharma_grasslands,0.628,0.372,0.528,needs_external_source,,https://en.wikivoyage.org/wiki/Tashkurgan
africa/tunisia/carthage,Carthage,Carthage,18,22,see,Hill of the Odeon and park of the Roman villas,0.66,candidate,has coordinates; high-value type; strong travel term,36.8581,10.3308,Basilica of Damous El Karita,africa/tunisia/carthage/basilica_damous_el_karita,0.632,0.368,0.366,needs_external_source,,https://en.wikivoyage.org/wiki/Carthage
