world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/northampton,Northampton,Northampton (England),8,20,see,Delapré Abbey,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.2247,-0.8895,Althorp House,europe/unitedkingdom/england/leicester_nottingham_and_east_midlands/northampton/althorp_house,0.32,14.713,1.403,has_external_url,http://delapreabbey.org/,https://en.wikivoyage.org/wiki/Northampton_%28England%29
northamerica/unitedstates/indiana/indianapolis,Indianapolis,Indianapolis,42,225,do,Brickyard Crossing,0.89,candidate,has coordinates; has description; high-value type; has external URL,39.78839,-86.22899,Broad Ripple Village,northamerica/unitedstates/indiana/indianapolis/broad_ripple_village,0.421,11.694,6.433,has_external_url,http://www.brickyardcrossing.com/,https://en.wikivoyage.org/wiki/Indianapolis
australiaandpacific/australia/northernterritory/darwin,Darwin,Darwin,22,61,do,Aquascene,0.89,candidate,has coordinates; has description; high-value type; has external URL,-12.459422,130.832728,Bicentennial Park,australiaandpacific/australia/northernterritory/darwin/bicentennial_park,0.498,0.502,0.91,has_external_url,http://www.aquascene.com.au,https://en.wikivoyage.org/wiki/Darwin
northamerica/unitedstates/arizona/yuma,Yuma,Yuma,6,33,do,Midnight at the Oasis,0.89,candidate,has coordinates; has description; high-value type; has external URL,32.663819,-114.635437,Lute's Casino,northamerica/unitedstates/arizona/yuma/lutes_casino,0.4,6.905,7.004,has_external_url,http://www.midnightattheoasis.net/,https://en.wikivoyage.org/wiki/Yuma
europe/portugal/porto,Porto,Porto,51,65,see,She Changes,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.1734,-8.6887,Clérigos Church and Tower,europe/portugal/porto/clerigos_church,0.389,6.929,7.022,has_external_url,https://www.echelman.com/project/she-changes/,https://en.wikivoyage.org/wiki/Porto
asia/china/henan_province/zhengzhou,Zhengzhou,Zhengzhou,4,39,see,Zhongyuan Tower,0.89,candidate,has coordinates; has description; high-value type; has external URL,34.723890292,113.7229134088,Shaolin Monastery,asia/china/henan_province/zhengzhou/shaolin_monastery,0.438,77.234,9.819,has_external_url,http://www.zhongyuanfuta.com/,https://en.wikivoyage.org/wiki/Zhengzhou
northamerica/unitedstates/ohio/akron,Akron,Akron,16,72,see,St. Vincent de Paul Parish,0.89,candidate,has coordinates; has description; high-value type; has external URL,41.08774,-81.52336,Stan Hywet Hall & Gardens,northamerica/unitedstates/ohio/akron/stan_hywet_hall,0.49,4.52,0.661,has_external_url,https://stvincentchurch.com/,https://en.wikivoyage.org/wiki/Akron
europe/finland/naantali,Naantali,Naantali,8,25,see,Housing fair area,0.89,candidate,has coordinates; has description; high-value type; has external URL,60.4555,21.9701,Naantali Harbour,europe/finland/naantali/naantali_harbour,0.364,3.068,3.56,has_external_url,https://www.naantali.fi/fi/asuminen-ja-ymparisto/asuntomessut-naantalissa-2022,https://en.wikivoyage.org/wiki/Naantali
northamerica/unitedstates/utah/st_george,St. George,St. George (Utah),5,47,see,Tuacahn Amphitheater,0.89,candidate,has coordinates; has description; high-value type; has external URL,37.1903,-113.659,Snow Canyon State Park,northamerica/unitedstates/utah/st_george/snow_canyon_state_park,0.429,1.499,11.185,has_external_url,https://www.tuacahn.org/,https://en.wikivoyage.org/wiki/St._George_%28Utah%29
europe/poland/poznan,Poznan,Poznań,12,96,do,Malta Ski,0.89,candidate,has coordinates; has description; high-value type; has external URL,52.39945,16.97892,Ostrów Tumski,europe/poland/poznan/ostrow_tumski,0.455,2.539,3.725,has_external_url,https://maltaski.pl/,https://en.wikivoyage.org/wiki/Pozna%C5%84
