world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
asia/china/zhejiang/jiaxing,Jiaxing,Jiaxing,5,29,do,Dragon Boat Festival,0.79,candidate,has coordinates; has description; high-value type; has external URL,31.01067409728625,120.96463870368346,Jiaxing Catholic Church,asia/china/zhejiang/jiaxing/jiaxing_catholic_church,0.279,33.48,33.992,has_external_url; day_trip_review,http://guoqing.china.com.cn/2020-06/22/content_76189195.htm,https://en.wikivoyage.org/wiki/Jiaxing
asia/china/shanxiprovince/jincheng,Jincheng,Jincheng,8,29,see,Ancient City of Guoyu,0.79,candidate,has coordinates; has description; high-value type; has external URL,35.50961936098591,112.572669265944,Qinghua Ancient Town,asia/china/shanxiprovince/jincheng/qinghua_ancient_town,0.488,46.503,25.2,has_external_url; day_trip_review,http://www.gygcjq.com/,https://en.wikivoyage.org/wiki/Jincheng
europe/germany/saarland/saarbrucken,Saarbrücken,Saarbrücken,7,39,do,Deutsche Radio Philharmonie Saarbrücken Kaiserslautern,0.79,candidate,has coordinates; has description; high-value type; has external URL,49.45148,7.76853,Saarbrücken Castle,europe/germany/saarland/saarbrucken/saarbrucken_castle,0.444,61.382,60.927,has_external_url; day_trip_review,https://www.drp-orchester.de/drp/index.html,https://en.wikivoyage.org/wiki/Saarbr%C3%BCcken
asia/china/hubei/shiyan,Shiyan,Shiyan,3,10,see,Golden Hall,0.79,candidate,has coordinates; has description; high-value type; has external URL,32.40073973,111.00449972,Dongfeng Museum,asia/china/hubei/shiyan/dongfeng_museum,0.308,35.377,32.193,has_external_url; day_trip_review,http://ly.wudangshan.gov.cn/bdhxjq_33635/201701/t20170123_996408.shtml,https://en.wikivoyage.org/wiki/Shiyan
northamerica/unitedstates/montana/deer_lodge_1,Deer Lodge,Deer Lodge,2,17,see,Yesterday's Playthings,0.79,candidate,has coordinates; has description; high-value type; has external URL,46.391797,-112.735557,Old Montana Prison Museum,northamerica/unitedstates/montana/deer_lodge_1/old_montana_prison,0.389,0.611,44.475,has_external_url; day_trip_review,https://www.pcmaf.org/,https://en.wikivoyage.org/wiki/Deer_Lodge
asia/indonesia/wakatobi,Wakatobi,Wakatobi,0,26,see,Visitors Information Center Tomia,0.79,candidate,has coordinates; has description; high-value type; has external URL,-5.719892540825951,123.90476616013854,,,0.0,,57.206,has_external_url; day_trip_review,https://www.wakatobitourism.com/,https://en.wikivoyage.org/wiki/Wakatobi
northamerica/unitedstates/iowa/desmoines,Des Moines,Des Moines,20,131,see,National Balloon Classic,0.79,candidate,has coordinates; has description; high-value type; has external URL,41.3598,-93.51997,Iowa State Capitol,northamerica/unitedstates/iowa/desmoines/state_capitol,0.429,26.651,26.72,has_external_url; day_trip_review,https://www.nationalballoonclassic.com/,https://en.wikivoyage.org/wiki/Des_Moines
northamerica/unitedstates/kentucky/lexington,Lexington,Lexington (Kentucky),19,81,do,Four Roses,0.79,candidate,has coordinates; has description; high-value type; has external URL,37.97339,-84.89754,Woodford Reserve Distillery,northamerica/unitedstates/kentucky/lexington/woodford_reserve,0.378,14.664,36.015,has_external_url; day_trip_review,http://www.fourroses.us,https://en.wikivoyage.org/wiki/Lexington_%28Kentucky%29
northamerica/unitedstates/iowa/desmoines,Des Moines,Des Moines,20,131,see,Knoxville Raceway,0.79,candidate,has coordinates; has description; high-value type; has external URL,41.32513,-93.10997,East Village,northamerica/unitedstates/iowa/desmoines/east_village,0.414,51.234,51.854,has_external_url; day_trip_review,http://www.knoxvilleraceway.com/index.aspx,https://en.wikivoyage.org/wiki/Des_Moines
northamerica/unitedstates/nevada/reno,Reno,Reno,15,64,do,Palisades Tahoe,0.79,candidate,has coordinates; has description; high-value type; has external URL,39.196,-120.235,Fidgets,northamerica/unitedstates/nevada/reno/fidgets,0.364,49.781,51.636,has_external_url; day_trip_review,https://www.palisadestahoe.com/,https://en.wikivoyage.org/wiki/Reno
asia/china/sichuanprovince/leshan,Leshan,Leshan,4,18,see,Luocheng Ancient Town,0.79,candidate,has coordinates; has description; high-value type; has external URL,29.385962,104.029656,Leshan Giant Buddha,asia/china/sichuanprovince/leshan/leshan_giant_buddha,0.4,30.455,31.073,has_external_url; day_trip_review,http://en.lcgzly.com/,https://en.wikivoyage.org/wiki/Leshan
asia/india/karnataka/udupi,Udupi,Udupi,0,41,do,Seethanadi Nature Camp,0.79,candidate,has coordinates; has description; high-value type; has external URL,13.4714,75.0188,,,0.0,,33.262,has_external_url; day_trip_review,https://www.junglelodges.com/resort/seethanadi-nature-camp/,https://en.wikivoyage.org/wiki/Udupi
northamerica/unitedstates/virginia/lynchburg,Lynchburg,Lynchburg,6,54,do,Natural Bridge,0.79,candidate,has coordinates; has description; high-value type; has external URL,37.6298,-79.54416,Monument Terrace,northamerica/unitedstates/virginia/lynchburg/monument_terrace,0.333,42.65,42.819,has_external_url; day_trip_review,http://naturalbridgeva.com/,https://en.wikivoyage.org/wiki/Lynchburg
northamerica/unitedstates/oregon/eugene,Eugene,Eugene,20,105,see,Lost Valley Educational Center,0.79,candidate,has coordinates; has description; high-value type; has external URL,43.89116,-122.82574,McDonald Theatre,northamerica/unitedstates/oregon/eugene/mcdonald_theatre,0.391,27.638,27.9,has_external_url; day_trip_review,https://www.lostvalley.org/,https://en.wikivoyage.org/wiki/Eugene
northamerica/unitedstates/kentucky/lexington,Lexington,Lexington (Kentucky),19,81,do,Buffalo Trace,0.79,candidate,has coordinates; has description; high-value type; has external URL,38.21673,-84.8705,The Beer Cheese Trail,northamerica/unitedstates/kentucky/lexington/beer_cheese_trail,0.333,,37.758,has_external_url; day_trip_review,http://www.buffalotrace.com,https://en.wikivoyage.org/wiki/Lexington_%28Kentucky%29
northamerica/unitedstates/ohio/port_clinton,Port Clinton,Port Clinton (Ohio),5,24,see,Ottawa National Wildlife Refuge,0.79,candidate,has coordinates; has description; high-value type; has external URL,41.6156,-83.216,Camp Perry National Guard Base,northamerica/unitedstates/ohio/port_clinton/camp_perry,0.426,17.867,25.861,has_external_url; day_trip_review,https://www.fws.gov/refuge/ottawa,https://en.wikivoyage.org/wiki/Port_Clinton_%28Ohio%29
northamerica/unitedstates/iowa/dubuque,Dubuque,Dubuque,4,50,see,Field of Dreams,0.79,candidate,has coordinates; has description; high-value type; has external URL,42.497,-91.055,Dubuque Museum of Art,northamerica/unitedstates/iowa/dubuque/dubuque_museum_of_art,0.333,31.729,31.992,has_external_url; day_trip_review,http://www.fieldofdreamsmoviesite.com/,https://en.wikivoyage.org/wiki/Dubuque
