world66_path,world66_title,wikivoyage_title,world66_pois,wikivoyage_listings,wv_type,wv_name,candidate_score,candidate_status,reason,wv_lat,wv_lng,best_w66_title,best_w66_path,best_match_score,best_distance_km,parent_distance_km,candidate_flags,external_url,source_url
europe/spain/basque_country_euskadi/bilbao,Bilbao,Bilbao,10,75,see,Iglesia de San Vicente Martir,0.74,candidate,has coordinates; has description; high-value type; strong travel term,43.2636,-2.9281,Zubizuri Bridge,europe/spain/basque_country_euskadi/bilbao/zubizuri,0.687,0.313,0.563,needs_external_source,,https://en.wikivoyage.org/wiki/Bilbao
europe/greece/thassos_island,Thassos,Thasos,14,112,do,Salonikos Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,40.5716,24.6434,Paradise Beach,europe/greece/thassos_island/paradise_beach,0.621,17.828,12.565,needs_external_source,,https://en.wikivoyage.org/wiki/Thasos
europe/slovakia/zilina,Žilina,Žilina,6,34,see,Strečno castle,0.74,candidate,has coordinates; has description; high-value type; strong travel term,49.1746,18.8625,Budatín Castle,europe/slovakia/zilina/budatin_castle,0.714,11.598,10.471,needs_external_source,,https://en.wikivoyage.org/wiki/%C5%BDilina
northamerica/honduras/comayagua,Comayagua,Comayagua,8,16,see,Iglesia de San Francisco,0.74,candidate,has coordinates; has description; high-value type; strong travel term,14.46197,-87.64078,San Francisco Church,northamerica/honduras/comayagua/san_francisco_church,0.634,1.293,1.194,needs_external_source,,https://en.wikivoyage.org/wiki/Comayagua
europe/estonia/tallinn,Tallinn,Tallinn,57,163,do,Stroomi Beach,0.74,candidate,has coordinates; has description; high-value type; strong travel term,59.44236,24.68381,Toompea Hill,europe/estonia/tallinn/toompea_hill,0.56,3.223,4.192,needs_external_source,,https://en.wikivoyage.org/wiki/Tallinn
asia/iran/kerman,Kerman,Kerman,13,15,see,Museum of Zoroastrianism and Temple,0.74,candidate,has coordinates; has description; high-value type; strong travel term,30.29627,57.08947,Moshtaghieh (Three Domes),asia/iran/kerman/moshtaghieh_dome,0.61,0.39,1.494,needs_external_source,,https://en.wikivoyage.org/wiki/Kerman
asia/palestinianauthority/jerico,Jericho,Jericho,4,18,see,Herod's Palace (ruins),0.74,candidate,has coordinates; has description; high-value type; strong travel term,31.85188,35.43623,Hisham's Palace,asia/palestinianauthority/jerico/hishams_palace,0.69,4.063,2.537,needs_external_source,,https://en.wikivoyage.org/wiki/Jericho
asia/iraq/basra,Basra,Basra,6,29,see,Imam Ali Mosque,0.74,candidate,has coordinates; has description; high-value type; strong travel term,30.399565,47.733162,Imam Mosa Al Kadhim Grand Mosque,asia/iraq/basra/imam_mosa_al_kadhim_mosque,0.638,12.226,12.89,needs_external_source,,https://en.wikivoyage.org/wiki/Basra
southamerica/chile/puntaarenas,Punta Arenas,Punta Arenas,28,58,see,Cerro de la Cruz,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-53.16018,-70.91579,Mirador Cerro de la Cruz,southamerica/chile/puntaarenas/cerro_de_la_cruz,0.714,0.74,0.594,needs_external_source,,https://en.wikivoyage.org/wiki/Punta_Arenas
asia/pakistan/lahore,Lahore,Lahore,68,87,see,Shakir Ali Museum,0.74,candidate,has coordinates; has description; high-value type; strong travel term,31.500329,74.329123,National History Museum,asia/pakistan/lahore/national_history_museum,0.6,10.631,7.404,needs_external_source,,https://en.wikivoyage.org/wiki/Lahore
asia/syria/aleppo,Aleppo,Aleppo,5,29,see,Mar Assia al-Hakim Church,0.74,candidate,has coordinates; has description; high-value type; strong travel term,36.206134,37.156167,Jdeide Quarter,asia/syria/aleppo/jdeide_quarter,0.629,0.371,1.025,needs_external_source,,https://en.wikivoyage.org/wiki/Aleppo
asia/china/guangxi/beihai,Beihai,Beihai,5,6,see,Beihai Jinhaiwan Mangrove Forest Ecotourism Area,0.74,candidate,has coordinates; has description; high-value type; strong travel term,21.424005,109.204319,Jinhaiwan Mangrove Reserve,asia/china/guangxi/beihai/jinhaiwan_mangroves,0.676,19.006,11.794,needs_external_source,,https://en.wikivoyage.org/wiki/Beihai
asia/india/gujarat/vadodara,Vadodara,Vadodara,15,63,see,Nazar Baug Palace,0.74,candidate,has coordinates; has description; high-value type; strong travel term,22.3007,73.2115,Laxmi Vilas Palace,asia/india/gujarat/vadodara/laxmi_vilas_palace,0.571,2.428,1.813,needs_external_source,,https://en.wikivoyage.org/wiki/Vadodara
northamerica/mexico/tulum,Tulum,Tulum,27,59,do,Playa Pescadores,0.74,candidate,has coordinates; has description; high-value type; strong travel term,20.205595,-87.430915,Playa Paraíso,northamerica/mexico/tulum/playa_paraiso,0.69,0.377,3.656,needs_external_source,,https://en.wikivoyage.org/wiki/Tulum
asia/myanmar/yangon,Yangon,Yangon,21,140,see,Chauk Htat Gyi Pagoda,0.74,candidate,has coordinates; has description; high-value type; strong travel term,16.811758,96.163814,Chaukhtatgyi Buddha Temple,asia/myanmar/yangon/chaukhtatgyi_pagoda,0.638,1.866,1.7,needs_external_source,,https://en.wikivoyage.org/wiki/Yangon
asia/china/yunnanprovince/kunming,Kunming,Kunming,50,81,see,Baohai Park,0.74,candidate,has coordinates; has description; high-value type; strong travel term,25.017174,102.735085,Cuihu Park (Green Lake),asia/china/yunnanprovince/kunming/cuihupark,0.571,4.956,3.124,needs_external_source,,https://en.wikivoyage.org/wiki/Kunming
southamerica/brazil/manaus,Manaus,Manaus,48,62,see,Instituto Geográfico e Histórico do Amazonas,0.74,candidate,has coordinates; has description; high-value type; strong travel term,-3.13366,-60.02903,Catedral Metropolitana de Manaus,southamerica/brazil/manaus/cathedral_manaus,0.572,0.428,5.171,needs_external_source,,https://en.wikivoyage.org/wiki/Manaus
europe/armenia/alaverdi,Alaverdi,Alaverdi,3,16,see,Kayan Berd,0.74,candidate,has coordinates; has description; high-value type; strong travel term,41.0966,44.6975,Sanahin Bridge,europe/armenia/alaverdi/sanahin_bridge,0.583,3.354,4.31,needs_external_source,,https://en.wikivoyage.org/wiki/Alaverdi
asia/india/orissa/chilika,Chilika Lake,Chilika Lake,2,10,see,Nalabana Bird Sanctuary,0.74,candidate,has coordinates; has description; high-value type; strong travel term,19.6945,85.3087,Nalabana Island,asia/india/orissa/chilika/nalabana_island,0.684,2.607,2.607,needs_external_source,,https://en.wikivoyage.org/wiki/Chilika_Lake
